@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 10'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Lines_Nb_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_2_X_0 numeric
@attribute Airs_Contours_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Hough_Lines_Nb_0 numeric
@attribute Airs_Center_X_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Airs_Center_X_2 numeric
@attribute Airs_Triangle_2_X_2 numeric
@attribute Mass_Center_X_2 numeric
@attribute Hough_Lines_Vertical_2 numeric
@attribute Hough_Lines_DiagonalNeg_2 numeric
@attribute Airs_Center_X_3 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Black_Pixel_4 numeric
@attribute Airs_Center_X_4 numeric
@attribute Airs_Center_Y_4 numeric
@attribute Airs_Triangle_2_X_4 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Airs_Center_X_5 numeric
@attribute Mass_Center_X_5 numeric
@attribute Airs_Center_X_6 numeric
@attribute Airs_Triangle_1_X_6 numeric
@attribute Airs_Triangle_1_Y_6 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Center_Y_7 numeric
@attribute Airs_Triangle_1_X_7 numeric
@attribute Mass_Center_X_7 numeric
@attribute Hough_Lines_Vertical_7 numeric
@attribute Airs_Center_X_8 numeric
@attribute Airs_Contours_8 numeric
@attribute Harris_Corners_X_8 numeric
@attribute Mass_Center_Y_8 numeric
@attribute Black_Pixel_9 numeric
@attribute Airs_Center_X_9 numeric
@attribute Airs_Center_Y_9 numeric
@attribute Airs_Length_Contours_9 numeric
@attribute Mass_Center_X_9 numeric
@attribute Hough_Lines_Nb_9 numeric
@attribute Airs_Center_X_10 numeric
@attribute Mass_Center_X_10 numeric
@attribute Hough_Lines_Horizontal_10 numeric
@attribute Hough_Lines_Nb_10 numeric
@attribute Airs_Center_X_11 numeric
@attribute Airs_Contours_11 numeric
@attribute Mass_Center_Y_11 numeric
@attribute Airs_Center_X_12 numeric
@attribute Airs_Triangle_1_Y_12 numeric
@attribute Hough_Lines_Horizontal_12 numeric
@attribute Airs_Center_Y_13 numeric
@attribute Harris_Corners_X_13 numeric
@attribute Mass_Center_X_13 numeric
@attribute Mass_Center_Y_13 numeric
@attribute Hough_Lines_DiagonalPos_13 numeric
@attribute Black_Pixel_14 numeric
@attribute Airs_Center_X_14 numeric
@attribute Airs_Triangle_2_X_14 numeric
@attribute Mass_Center_X_14 numeric
@attribute Hough_Lines_Vertical_14 numeric
@attribute Black_Pixel_15 numeric
@attribute Airs_Center_X_15 numeric
@attribute Airs_Center_Y_15 numeric
@attribute Airs_Triangle_1_Y_15 numeric
@attribute Mass_Center_Y_15 numeric
@attribute Airs_Center_X_16 numeric
@attribute Airs_Center_Y_16 numeric
@attribute Mass_Center_Y_16 numeric
@attribute Hough_Lines_Horizontal_16 numeric
@attribute Airs_Center_X_17 numeric
@attribute Airs_Triangle_1_X_17 numeric
@attribute Harris_Corners_X_17 numeric
@attribute Mass_Center_Y_17 numeric
@attribute Airs_Center_X_18 numeric
@attribute Airs_Center_Y_18 numeric
@attribute Harris_Corners_X_18 numeric
@attribute Hough_Lines_Vertical_18 numeric
@attribute Airs_Center_X_19 numeric
@attribute Airs_Center_Y_19 numeric
@attribute Harris_Corners_X_19 numeric
@attribute Airs_Center_X_20 numeric
@attribute Mass_Center_X_20 numeric
@attribute Hough_Lines_Horizontal_20 numeric
@attribute Airs_Triangle_2_X_21 numeric
@attribute Airs_Contours_21 numeric
@attribute Mass_Center_X_21 numeric
@attribute Airs_Center_Y_22 numeric
@attribute Airs_Triangle_1_Y_22 numeric
@attribute Mass_Center_X_22 numeric
@attribute Hough_Lines_Vertical_22 numeric
@attribute Hough_Lines_Horizontal_22 numeric
@attribute Airs_Center_X_23 numeric
@attribute Airs_Center_Y_23 numeric
@attribute Mass_Center_Y_23 numeric
@attribute Black_Pixel_24 numeric
@attribute Airs_Center_X_24 numeric
@attribute Airs_Center_Y_24 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
47.4474,43.3561,0.463171,0.489779,63.8889,15.2778,8.33333,12.5,72,46.377,23.3972,0,0,0,0,0,0,0,74.3243,0,44.5946,238.617,0.319176,25,0,86.4865,131.483,100,0,0,23.0095,32.4324,131.483,-102.264,54.5455,0,0,0,41.8919,76.4241,255.998,18.9189,131.483,1.68006,0.074646,100,90.5405,36.476,97.2973,0.162162,13.0752,33.7838,127.831,166,0.163231,6,0,0,0,0,78.3784,157.468,0.310811,48.6487,-6.39153,0,131.483,75.6757,0.383368,0.642385,0,10.8108,48.6487,-20.2906,0.466216,0,21.8408,46.4238,124.22,233.747,0.094166,48.6487,193.572,0.373874,100,45.9459,122.576,63.5135,0.34821,21.6216,219.138,28.8288,0,0,0,0,0,0,0,-153.397,219.753,0.910911,171.658,-80.3506,0.339619,28.5714,14.2857,63.5135,109.569,0.335965,2.62966,9.45946,226.443,accident
49.6838,41.6705,0.404364,0.375124,78.3333,18.3333,0,3.33333,60,44.6667,20.2846,1,71.6667,311.111,104.296,58.3333,0.779437,2,50.9228,100,18.3333,-3.0303,0,100,0,70,151.367,75,25,0,27.8125,26.6667,151.367,83.3333,83.3333,0,0,0,56.6667,39.8413,224.144,15,151.367,3.33333,0.041667,100,80,83.9608,83.3333,0.027147,8.22917,30,151.367,95,0.194907,1,0,0,0,0,75,128.236,0.84375,43.3333,-30.5176,44.4444,102.539,53.3333,0.440348,0.369529,0,24.6875,54.6296,-33.9869,0.248765,28.5714,18.0208,48.3333,146.484,-57.1987,0.217593,48.3333,253.906,0,100,41.6667,103.476,60,0.464136,46.6667,185.547,33.3333,0,0,0,6.66667,41.6667,0.166667,0,224.074,126.481,0.890741,146.484,462.593,0.290296,50,0,88.3333,53.7109,0.1875,10.8333,23.3333,175.781,accident
48.1678,48.2131,0.461954,0.469593,87.7551,0,6.12245,6.12245,49,52.4954,18.7,1,0,0,0,0,0,0,78.125,0,87.5,253.906,0,100,0,15.625,96.875,100,0,0,36.875,48.4375,121.875,104.167,85.7143,0,3.125,0,29.6875,3.125,-64.9038,60.9375,121.875,11.0795,0.609933,50,0,0,96.875,0,28.2031,39.0625,121.875,19,0.133557,8,0,0,0,0,67.1875,165.863,0.33125,49.1947,110.642,33.3333,121.875,24.5536,0.252083,0.165,0,2.1875,92.1875,292.969,0.877083,100,15.1562,20.3125,103.125,-52.8409,0.414587,0,0,0,0,71.875,93.75,76.5625,0.581784,25,143.75,3.125,50,0,0,0,0,0,0,164.867,170.287,0.546875,176.212,87.5,0.438929,28.5714,57.1429,43.6599,135.757,0.513103,2.73438,7.8125,212.5,accident
47.2626,40.3206,0.34695,0.473214,70.3704,5.55556,11.1111,12.963,54,54.5748,18.7884,1,0,0,0,97.1429,0,0,48.5714,0,47.1429,158.418,0.135714,100,0,75.7143,125,87.5,12.5,0,19.9286,32.8571,121.875,8.16327,77.7778,0,84.2857,0.876984,24.2857,54.6557,271.403,20,121.875,2.85714,0.021429,100,70,377.282,87.1429,0.341846,6.07143,14.2857,68.75,13,0.096429,1,0,0,0,0,62.8571,186.338,0.244486,48.5714,-25.75,14.2857,118.75,25.7143,0.218759,0.813207,0,17.7143,32.8571,6.2254,0.226786,62.5,0.714286,91.4286,237.5,237.5,0,52.8571,237.5,0,0,45.7143,107.835,47.619,0.755159,8.57143,228.125,11.4286,0,0,0,0,77.1429,0.871429,0,269.388,223.798,0.661139,125,154.167,0.369815,53.3333,0,42.8571,121.875,0.371737,3.57143,0,0,accident
49.4314,39.3627,0.384146,0.328166,71.9298,12.2807,7.01754,8.77193,57,50.8833,20.7174,1,0,0,0,91.6667,0,0,54.1667,0,55.5556,140.175,0.215278,66.6667,0,91.6667,90.625,100,0,0,21.0417,37.5,93.75,7.71605,77.7778,11.1111,0,0,50,28.4722,95.3125,22.2222,121.875,2.77778,0.226852,100,79.1667,128.368,82.9365,0.462921,10.1389,15.2778,171.875,10,0.119865,2,0,0,0,0,75,172.763,0.16875,40.2778,19.3234,20,106.25,60.1852,0.339005,0.472991,0,18.9583,53.9193,262.346,0.255208,40,16.3194,46.0869,137.539,237.891,0.074748,48.6111,215.625,0,100,47.2222,96.8583,82.4074,0.56586,30.5556,175,1.38889,0,0,0,16.6667,80.5556,0.825,0,7.71605,113.962,0.044239,121.875,6.25,0.311628,38.8889,0,70.8333,59.375,0.188775,7.91667,22.2222,162.5,accident
46.2621,98.0605,0.470543,0.600113,10.7143,25,32.1429,32.1429,28,53.1969,36.9309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,0,14.2667,71.6667,192,299.471,100,0,80,0.848333,26.6667,3.33333,88,0,0,0,0,50,0,0,10,0,4.13333,75,80,9.5,0.755556,0,0,0,0,0,65,142.458,0.315556,74.7843,-84.4651,0,247.818,45,0.438889,0.832,50,15.4667,48.3333,611.111,0,0,16.9333,83.0556,32,16,0.106667,0,0,0,100,45,-2.28071,63.3333,0.09,13.3333,296,1.66667,0,0,0,0,0,0,0,0,0,0,296,112,0.733333,100,0,43.3333,192,0.535442,7.06667,0,0,accident
45.5661,39.5072,0.443675,0.615369,24,36,8,32,25,60.1201,27.0567,0,0,0,0,0,0,0,72.7273,0,0,0,0,0,0,18.1818,231.481,100,0,0,10.6061,0,0,0,100,0,50,0.537949,4.54545,4.54545,493.827,72.7273,262.346,54.5455,0,100,0,0,4.54545,0,6.31313,59.0909,447.531,15,0,0,90.9091,0,0,0,47.7273,133.853,0.470085,31.8182,493.827,100,308.642,68.1818,0.425866,0.4375,0,21.7172,47.7273,805.785,0,0,20.202,0,0,0,0,0,0,0,0,20.4545,4.54545,22.7273,0,0,0,2.27273,0,0,0,0,0,0,0,130.854,75.7696,0.460606,316.453,508.911,0.56054,0,0,11.3636,416.667,0.759259,4.54545,0,0,accident
46.7306,72.001,0.318745,0.52738,36.8421,26.3158,21.0526,15.7895,19,56.9378,28.8304,0,0,0,0,0,0,0,75,0,81.8182,330.579,0.818182,0,0,15.9091,185.185,0,0,0,12.3737,27.2727,262.346,165.289,100,0,54.5455,0.583694,0,0,0,65.9091,262.346,56.4685,0.681818,100,0,0,75,0,2.77778,0,0,0,0,0,86.3636,0.886364,0,0,38.6364,78.8822,0.54626,38.6364,-95.3984,0,320.351,59.0909,0.342105,0.597953,0,19.697,47.7273,-278.434,0,0,21.7172,40.9091,123.457,202.822,0.229988,47.7273,231.481,0,100,45.4545,4.54545,81.8182,0.204321,0,0,8.44156,0,0,0,0,0,0,0,223.516,78.2064,0.459091,262.346,-97.7366,0.632576,0,0,18.1818,354.938,0.759259,0,0,0,accident
44.7157,86.7679,0.390961,0.504096,27.2727,27.2727,18.1818,27.2727,22,57.0076,25.431,0,0,0,0,0,0,0,86.5385,0,0,0,0,0,0,23.0769,189.036,50,50,0,14.5485,30.7692,207.939,58.0481,100,0,61.5385,0.668193,9.61539,3.84615,359.168,59.6154,207.939,17.3077,0.596154,33.3333,0,0,57.6923,0,8.69565,46.1538,302.457,39.5,0.436206,1,0,0,0,0,46.1538,152.328,0.446377,53.8462,443.784,0,240.514,23.0769,0.075321,0.045894,0,17.0569,48.0769,14.7929,0,0,15.8863,0,0,0,0,0,0,0,100,44.2308,-4.54545,84.6154,0,0,0,19.8718,0,0,0,0,0,0,0,118.343,141.924,0.614103,207.939,118.981,0.567308,100,0,25,236.295,0.645426,0.501672,0,0,accident
45.9089,69.104,0.400231,0.585106,20,32,20,28,25,45.9934,26.5871,0,0,0,0,0,0,0,86.3636,0,0,0,0,0,0,22.7273,207.756,0,0,0,15.7895,31.8182,249.307,185.95,0,0,59.0909,0.681818,6.81818,4.54545,443.213,59.0909,249.307,30.1768,0.568411,50,0,0,90.9091,0,1.67464,0,0,0,0,0,0,0,0,0,43.1818,105.267,0.506667,52.2727,-202.216,0,304.709,18.1818,0.143939,0.763158,0,21.0526,47.7273,20.6612,0,0,27.9904,47.7273,138.504,34.0933,0.2454,47.7273,249.307,0,100,47.7273,-81.8182,95.4545,0.230994,6.81818,429.363,2.27273,0,0,0,0,0,0,0,516.529,82.9828,0.605114,332.41,27.7008,0.170455,0,0,34.0909,249.307,0.486842,0,0,0,accident
