@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 10'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_2_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_2_X_0 numeric
@attribute Airs_Contours_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Hough_Lines_Nb_0 numeric
@attribute Black_Pixel_1 numeric
@attribute Airs_Center_X_1 numeric
@attribute Hough_Lines_Vertical_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Black_Pixel_2 numeric
@attribute Airs_Center_X_2 numeric
@attribute Mass_Center_X_2 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Hough_Lines_Horizontal_2 numeric
@attribute Hough_Lines_Nb_2 numeric
@attribute Airs_Center_X_3 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Airs_Contours_3 numeric
@attribute Mass_Center_Y_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Airs_Center_X_4 numeric
@attribute Airs_Center_Y_4 numeric
@attribute Mass_Center_X_4 numeric
@attribute Mass_Center_Y_4 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Hough_Lines_DiagonalPos_4 numeric
@attribute Hough_Lines_DiagonalNeg_4 numeric
@attribute Black_Pixel_5 numeric
@attribute Airs_Center_X_5 numeric
@attribute Airs_Center_Y_5 numeric
@attribute Airs_Triangle_1_Y_5 numeric
@attribute Airs_Triangle_2_X_5 numeric
@attribute Mass_Center_X_5 numeric
@attribute Mass_Center_Y_5 numeric
@attribute Hough_Lines_Vertical_5 numeric
@attribute Hough_Lines_Horizontal_5 numeric
@attribute Hough_Lines_DiagonalNeg_5 numeric
@attribute Airs_Center_X_6 numeric
@attribute Airs_Triangle_1_X_6 numeric
@attribute Mass_Center_X_6 numeric
@attribute Mass_Center_Y_6 numeric
@attribute Hough_Lines_Horizontal_6 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Triangle_1_Y_7 numeric
@attribute Airs_Triangle_2_X_7 numeric
@attribute Harris_Corners_X_7 numeric
@attribute Mass_Center_X_7 numeric
@attribute Mass_Center_Y_7 numeric
@attribute Hough_Lines_DiagonalNeg_7 numeric
@attribute Airs_Center_X_8 numeric
@attribute Airs_Center_Y_8 numeric
@attribute Airs_Triangle_1_Y_8 numeric
@attribute Mass_Center_Y_8 numeric
@attribute Hough_Lines_Vertical_8 numeric
@attribute Hough_Lines_Horizontal_8 numeric
@attribute Hough_Lines_DiagonalNeg_8 numeric
@attribute Airs_Center_X_9 numeric
@attribute Airs_Center_Y_9 numeric
@attribute Airs_Triangle_1_X_9 numeric
@attribute Mass_Center_Y_9 numeric
@attribute Hough_Lines_Vertical_9 numeric
@attribute Hough_Lines_DiagonalPos_9 numeric
@attribute Black_Pixel_10 numeric
@attribute Airs_Center_X_10 numeric
@attribute Airs_Triangle_2_X_10 numeric
@attribute Mass_Center_X_10 numeric
@attribute Mass_Center_Y_10 numeric
@attribute Hough_Lines_Vertical_10 numeric
@attribute Hough_Lines_DiagonalPos_10 numeric
@attribute Hough_Lines_DiagonalNeg_10 numeric
@attribute Airs_Center_X_11 numeric
@attribute Airs_Triangle_2_X_11 numeric
@attribute Airs_Length_Contours_11 numeric
@attribute Harris_Corners_X_11 numeric
@attribute Mass_Center_Y_11 numeric
@attribute Hough_Lines_Vertical_11 numeric
@attribute Hough_Lines_Horizontal_11 numeric
@attribute Airs_Center_X_12 numeric
@attribute Airs_Center_Y_12 numeric
@attribute Mass_Center_X_12 numeric
@attribute Mass_Center_Y_12 numeric
@attribute Hough_Lines_Horizontal_12 numeric
@attribute Hough_Lines_DiagonalNeg_12 numeric
@attribute Airs_Center_X_13 numeric
@attribute Airs_Triangle_1_Y_13 numeric
@attribute Airs_Triangle_2_X_13 numeric
@attribute Mass_Center_Y_13 numeric
@attribute Airs_Center_X_14 numeric
@attribute Airs_Center_Y_14 numeric
@attribute Airs_Triangle_1_X_14 numeric
@attribute Mass_Center_Y_14 numeric
@attribute Hough_Lines_Vertical_14 numeric
@attribute Hough_Lines_DiagonalPos_14 numeric
@attribute Hough_Lines_DiagonalNeg_14 numeric
@attribute Black_Pixel_15 numeric
@attribute Airs_Center_X_15 numeric
@attribute Airs_Center_Y_15 numeric
@attribute Airs_Triangle_1_Y_15 numeric
@attribute Mass_Center_X_15 numeric
@attribute Hough_Lines_Vertical_15 numeric
@attribute Hough_Lines_Horizontal_15 numeric
@attribute Hough_Lines_DiagonalNeg_15 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
47.4474,64.1077,43.3561,0.463171,0.489779,63.8889,15.2778,8.33333,12.5,23.3972,0,90.4255,178.491,22.8995,97.8723,0,0,0,7.3543,48.9362,0,20,12.766,0,0,0,0,0,72.3404,106.333,207.137,0.306983,66.6667,0,33.3333,48.9362,106.333,0.203747,0.478619,50,16.6667,0,33.3333,16.9288,48.9362,122.873,-53.5602,203.712,0.375534,0.255343,14.2857,14.2857,7.14286,46.9778,109.411,0.312057,0.264493,100,47.8723,-7.14705,201.081,69.1489,0.615743,0.467991,0,44.6809,129.962,80.7548,0.622474,0,16.6667,83.3333,0,0,0,0,0,0,4.57909,0,0,0,0,100,0,0,70.2128,203.712,351.5,51.0638,0.534425,94.1176,0,48.9362,77.9773,0.625447,0.124055,0,0,28.7234,207.939,136.074,0.53574,19.1489,106.333,-8.86525,0.21798,33.3333,66.6667,0,20.5365,68.0851,82.1125,4.7259,0.736705,46.6667,0,40,accident
49.6838,-17.3333,41.6705,0.404364,0.375124,78.3333,18.3333,0,3.33333,20.2846,1,63.5135,144.469,148.095,69.5946,0.708705,0,4,17.7983,47.5886,46.1538,23.0769,0.329598,2.7027,0,0,0,0,81.0811,118.977,85.2843,0,100,0,0,51.3513,89.2326,0.339885,0.447154,25,25,0,50,23.9288,53.434,136.625,170.148,-38.6506,0.288643,0.151661,23.0769,38.4615,0,48.6487,131.081,0.027027,0.406504,100,45.9459,-61.9932,297.182,87.8378,0.582104,0.544128,0,37.2205,121.035,5.94884,0.456045,42.8571,28.5714,28.5714,13.5135,178.465,2.7027,0.756098,100,0,10.0857,25.6757,61.8743,0.101351,0.219512,100,0,0,62.1622,87.6552,422.5,66.2162,0.215439,77.7778,0,6.75676,118.977,0.054054,0.146341,0,0,43.2432,-35.1522,22.5779,0.337805,10.8108,118.977,20.837,0,100,0,0,22.5445,63.678,88.9965,5.94884,0.704282,33.3333,11.1111,22.2222,accident
48.1678,31.5951,48.2131,0.461954,0.469593,87.7551,0,6.12245,6.12245,18.7,1,0,0,0,91.25,0,0,0,8.9,57.5,50,0,9.85,15,0.128125,0.1,0,4,62.5,98,216.366,0.3775,80,0,20,25,98,0.232008,0.274848,66.6667,0,33.3333,0,15.3,75,86,-122.5,237.5,0.640712,0.296456,90,0,0,0,0,0,0,0,75,237.193,147.039,80.8333,0.860435,0.661628,0,48.75,98,252.32,0.426393,40,20,40,0,0,0,0,0,0,3.8,87.5,200,0.46875,0.3,100,0,0,53.75,-150,448,72.5,0.307986,87.5,0,51.25,98,0.282289,0.496872,0,11.1111,25,156.585,128.201,0.40127,61.25,98,87.5,0.728,100,0,0,18.55,80,98,-60,0.429167,100,0,0,accident
47.2626,-5.09602,40.3206,0.34695,0.473214,70.3704,5.55556,11.1111,12.963,18.7884,1,82.5581,162.25,95.3259,84.8837,0.870801,0,1,12.3256,61.9339,22.2222,33.3333,8.55814,0,0,0,0,0,55.814,98,196.208,0.378874,0,0,100,47.6744,98,0.334625,0.610556,60,20,0,20,13.0698,36.1664,85.5876,300,28.5166,0.303537,0.387983,77.7778,0,11.1111,52.3256,9.30233,0,0,100,47.6744,-40,239.002,59.6899,0.669804,0.804478,0,37.2093,142,192,0.750962,0,0,100,0,0,0,0,0,0,9.86047,56.9767,152.062,0.674419,0.135,66.6667,33.3333,0,63.9535,-18.9292,310,46.5116,0.628612,40,0,39.5349,94,0.484946,0.137647,0,0,15.1163,85.3333,5.40833,0.771612,22.093,98,60.2177,0.17,100,0,0,33.3953,56.9767,98,4,0.469099,69.2308,0,0,accident
49.4314,-7.1798,39.3627,0.384146,0.328166,71.9298,12.2807,7.01754,8.77193,20.7174,1,87.7778,174.635,59.6985,97.7778,0.914815,0,1,10,55.6485,66.6667,8.33333,0.266667,2.22222,0,0,0,0,72.2222,98,244.68,0.49,60,0,40,50,94,0.265441,0.563896,0,40,0,60,22.5778,50,108.522,188,217.766,0.380833,0.127778,57.1429,28.5714,7.14286,48.8889,2.22222,0,0,100,47.7778,-28.6667,223.182,86.6667,0.623631,0.658952,0,50.0632,101.225,-8.3913,0.688032,50,0,50,5.55556,186,2.22222,0.934667,0,0,9.2,63.3333,201.44,0.701852,0.29,33.3333,66.6667,0,71.1111,93.8272,501.5,73.3333,0.413333,83.3333,0,14.4444,98,0.127627,0.292621,0,0,32.2222,-51.2756,-28.4242,0.204574,26.6667,98,-16,0.525,100,0,0,11.8667,67.7778,98,4,0.524056,33.3333,66.6667,0,accident
46.2621,70.1724,98.0605,0.470543,0.600113,10.7143,25,32.1429,32.1429,36.9309,0,0,0,0,0,0,0,0,4.18483,0,100,0,7.75937,18.9189,0.207207,0.673835,0,1,54.0541,156.087,166.936,0.411353,0,0,100,46.9711,212.961,0.37988,0.856631,16.6667,50,33.3333,0,11.5083,48.6487,234.131,232.316,-37.0327,0,0,0,100,0,28.3784,51.3513,0.275216,0.26207,100,50,243.026,-84.1207,70.2703,0.783498,0.235194,0,37.8378,156.087,124.222,0.311828,50,0,50,0,0,0,0,0,0,1.22058,0,0,0,0,0,0,0,0,0,0,24.3243,0,0,0,45.9248,168.842,0.358408,0.393369,0,25,13.5135,187.305,7.3046,0.814516,0,0,0,0,0,100,0,2.09241,0,0,0,0,0,0,0,accident
45.5661,33.1361,39.5072,0.443675,0.615369,24,36,8,32,27.0567,0,0,0,0,20.3704,0,0,0,21.256,50,33.3333,0,3.05958,88.8889,0.888889,0.108696,0,0,46.2963,207.939,214.437,0.545194,0,0,66.6667,47.0626,272.472,0.356996,0.540459,0,50,50,0,16.5862,48.1481,189.036,132.325,13.7174,0,0,0,100,0,11.1111,3.7037,0,0,100,48.1481,18.9036,452.675,88.8889,0.382716,0.181159,0,12.963,330.813,255.198,0.837359,0,0,0,0,0,0,0,0,0,3.05958,0,0,0,0,0,0,0,50.1852,-30.1134,2,81.4815,0.292271,100,0,50,207.939,0.494919,0.498038,0,100,0,0,0,0,64.8148,207.939,109.524,0,50,50,0,4.50886,0,0,0,0,100,0,0,accident
46.7306,38.1648,72.001,0.318745,0.52738,36.8421,26.3158,21.0526,15.7895,28.8304,0,0,0,0,88.8889,0,0,0,22.2222,57.4074,33.3333,0,3.19865,87.037,0.87037,0.136364,0,0,35.1852,216.942,97.7817,0.574105,66.6667,0,33.3333,46.5608,265.643,0.318376,0.653846,0,0,100,0,17.0034,48.1481,289.256,413.223,13.7174,0,0,0,100,0,3.7037,3.7037,0,0,100,48.1481,300.934,-35.387,96.2963,0.730395,0.289703,0,18.5185,309.917,200.708,0.773019,0,0,0,0,0,0,0,0,0,4.3771,85.1852,288.066,0.87037,0.727273,0,0,0,51.555,-233.196,17.5,62.963,0.232323,100,0,53.7037,216.942,0.539095,0.468855,0,100,0,0,0,0,62.963,216.942,59.9327,0.454966,100,0,0,5.55556,0,0,0,0,0,0,0,accident
44.7157,-7.30537,86.7679,0.390961,0.504096,27.2727,27.2727,18.1818,27.2727,25.431,0,0,0,0,84.8485,0,0,0,14.5246,57.5758,20,0,1.77638,48.4848,0.483165,0.47318,0,0,42.4242,166.468,155.179,0.526367,0,0,100,44.4553,166.787,0.076217,0.060258,33.3333,66.6667,0,0,14.5246,48.4848,130.797,-17.3786,284.665,0.49495,0.218391,0,100,0,0,0,0,0,0,45.4545,-27.7447,266.299,71.7172,0.503367,0.163793,0,22.7273,214.031,321.046,0.655534,100,0,0,0,0,0,0,0,0,2.40334,89.3939,257.117,0.893939,0.804598,0,0,0,48.0056,-37.5657,35,79.798,0.300493,75,0,62.1212,154.578,0.649512,0.478236,0,100,0,0,0,0,66.6667,166.468,65.1515,0.508521,0,100,0,7.628,78.7879,166.468,-219.976,0.558201,100,0,0,accident
45.9089,42.5987,69.104,0.400231,0.585106,20,32,20,28,26.5871,0,0,0,0,88.8889,0,0,0,15.4321,64.8148,0,0,0.617284,0,0,0,0,0,40.7407,199.653,123.743,0.556524,0,0,100,47.5805,234.155,0.117284,0.8125,50,50,0,0,19.4444,48.1481,234.375,318.287,342.936,0.419753,0.206944,0,100,0,11.8519,40.7407,0,0,100,48.1481,-17.3611,260.631,85.1852,0.686082,0.252255,0,31.4815,208.333,440.972,0.51341,33.3333,0,66.6667,0,0,0,0,0,0,2.46914,0,0,0,0,0,0,0,46.2963,-26.5203,37,88.8889,0.263047,100,0,66.6667,199.653,0.738889,0.470833,0,50,0,0,0,0,61.1111,199.653,22.0459,0.493954,25,75,0,6.17284,87.037,112.847,17.3611,0.843621,0,0,0,accident
