@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 10'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_2_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_2_X_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Hough_Lines_Vertical_0 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Hough_Lines_DiagonalPos_0 numeric
@attribute Hough_Lines_DiagonalNeg_0 numeric
@attribute Hough_Circles_Radius_0 numeric
@attribute Black_Pixel_1 numeric
@attribute Airs_Center_X_1 numeric
@attribute Airs_Center_Y_1 numeric
@attribute Mass_Center_Y_1 numeric
@attribute Hough_Lines_Vertical_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Hough_Lines_DiagonalNeg_1 numeric
@attribute Airs_Center_X_2 numeric
@attribute Airs_Triangle_1_Y_2 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Hough_Lines_Vertical_2 numeric
@attribute Hough_Lines_DiagonalPos_2 numeric
@attribute Hough_Lines_DiagonalNeg_2 numeric
@attribute Black_Pixel_3 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Airs_Triangle_1_X_3 numeric
@attribute Mass_Center_X_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Hough_Lines_Nb_3 numeric
@attribute Black_Pixel_4 numeric
@attribute Airs_Center_X_4 numeric
@attribute Airs_Triangle_1_X_4 numeric
@attribute Airs_Triangle_1_Y_4 numeric
@attribute Mass_Center_Y_4 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Hough_Lines_DiagonalPos_4 numeric
@attribute Hough_Lines_Nb_4 numeric
@attribute Airs_Center_X_5 numeric
@attribute Airs_Triangle_1_Y_5 numeric
@attribute Mass_Center_Y_5 numeric
@attribute Hough_Lines_Vertical_5 numeric
@attribute Hough_Lines_Horizontal_5 numeric
@attribute Hough_Lines_DiagonalPos_5 numeric
@attribute Hough_Lines_DiagonalNeg_5 numeric
@attribute Black_Pixel_6 numeric
@attribute Airs_Triangle_1_Y_6 numeric
@attribute Mass_Center_X_6 numeric
@attribute Mass_Center_Y_6 numeric
@attribute Hough_Lines_Vertical_6 numeric
@attribute Hough_Lines_DiagonalPos_6 numeric
@attribute Hough_Lines_DiagonalNeg_6 numeric
@attribute Hough_Circles_Radius_6 numeric
@attribute Black_Pixel_7 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Center_Y_7 numeric
@attribute Airs_Triangle_1_Y_7 numeric
@attribute Airs_Triangle_2_X_7 numeric
@attribute Airs_Contours_7 numeric
@attribute Mass_Center_X_7 numeric
@attribute Mass_Center_Y_7 numeric
@attribute Hough_Lines_Vertical_7 numeric
@attribute Hough_Lines_Horizontal_7 numeric
@attribute Hough_Lines_DiagonalNeg_7 numeric
@attribute Airs_Center_X_8 numeric
@attribute Airs_Triangle_1_Y_8 numeric
@attribute Mass_Center_X_8 numeric
@attribute Mass_Center_Y_8 numeric
@attribute Hough_Lines_Vertical_8 numeric
@attribute Hough_Lines_Horizontal_8 numeric
@attribute Hough_Lines_DiagonalPos_8 numeric
@attribute Hough_Lines_DiagonalNeg_8 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
47.4474,64.1077,43.3561,0.463171,0.489779,63.8889,15.2778,8.33333,12.5,46.377,23.3972,0,76.6129,67.6379,95.1613,0.943164,33.3333,0,66.6667,0,0,10.8741,39.3004,78.6933,0.475019,8.33333,66.6667,25,19.3548,156.087,0.765926,0,0,100,1.92508,105.359,-3.58423,0.129368,0,100,0,4,19.693,35.4839,-3.51906,2.60146,0.442293,40,5,35,20,62.0968,-88.0206,0.413227,0,0,0,100,9.13111,162.387,0.227523,0.769593,60,0,10,42.7419,12.3569,46.7633,85.2646,-48.984,34.7744,703.389,0.17058,0.180065,68.75,18.75,0,47.5806,-9.20145,0.717232,0.580981,16.6667,33.3333,50,0,accident
49.6838,-17.3333,41.6705,0.404364,0.375124,78.3333,18.3333,0,3.33333,44.6667,20.2846,1,57,0.089888,98,0.707832,42.8571,14.2857,42.8571,0,31.4815,21.7037,40.4328,89.6194,0.266491,50,18.1818,4.54545,29,74.8545,0.493584,40,0,60,7.92593,96.0818,-2.82353,0.075,100,0,0,3,27.037,29,40.7692,305.213,0.409356,78.2609,4.34783,13.0435,23,69,31.6263,0.1893,100,0,0,0,12,-7.82731,0.47232,0.539789,40,0,20,30.5556,15.4074,53.7019,93.9686,178.772,205.005,487.195,0.226333,0.389996,25,41.6667,8.33333,47,-18.7573,0.669581,0.674693,14.2857,28.5714,57.1429,0,accident
48.1678,31.5951,48.2131,0.461954,0.469593,87.7551,0,6.12245,6.12245,52.4954,18.7,1,87.7358,149.519,98.1132,0.457547,50,0,50,0,0,10.0629,62.2641,74.6097,0.470424,25,41.6667,16.6667,18.8679,68.8705,0.783838,0,0,100,7.48999,74.6097,33.6411,0.471698,75,25,0,4,20.9834,55.6604,41.6891,237.877,0.42267,85.7143,0,10.7143,28,53.7736,2.29568,0.416093,100,0,0,0,7.37564,168.618,0.247838,0.325758,66.6667,33.3333,0,32.8283,13.0932,37.7359,70.0184,67.2308,140.365,593.622,0.216077,0.277566,78.5714,0,0,81.1321,-35.7471,0.584685,0.554204,100,0,0,0,accident
47.2626,-5.09602,40.3206,0.34695,0.473214,70.3704,5.55556,11.1111,12.963,54.5748,18.7884,1,68.9655,39.239,62.931,0.718633,40,0,60,0,34.7015,13.5358,38.8096,75.3936,0.457136,30,20,45,11.2069,106.928,0.833955,50,0,50,9.95883,83.4679,56.1422,0.280172,66.6667,33.3333,0,3,23.4689,33.6207,1.72414,2.22767,0.534245,75,0,21.4286,28,49.1379,178.122,0.571642,57.1429,0,0,42.8571,17.756,25.9895,0.413455,0.529333,26.087,21.7391,17.3913,29.8507,6.30468,49.1379,72.3992,146.796,2.97265,353.069,0.053257,0.253952,87.5,12.5,0,43.9655,145.655,0.762069,0.78026,40,40,20,0,accident
49.4314,-7.1798,39.3627,0.384146,0.328166,71.9298,12.2807,7.01754,8.77193,50.8833,20.7174,1,72.5,44.7589,61.6667,0.764026,40,0,60,0,32.6226,16.4925,39.6797,76.2682,0.55169,68.9655,10.3448,13.7931,29.1667,144.798,0.728045,0,0,100,7.06468,73.513,3.33333,0.391667,85.7143,14.2857,0,7,16.4925,42.5,86,2.22767,0.345291,60,0,40,20,70.8333,46.0062,0.722886,50,0,0,50,10.7463,-25.2627,0.197265,0.642984,58.3333,0,0,66.4179,16.8657,48.4238,84.8586,143.775,2.77778,739.507,0.118159,0.203343,70,25,0,46.6667,129.582,0.725202,0.721544,33.3333,22.2222,44.4444,0,accident
46.2621,70.1724,98.0605,0.470543,0.600113,10.7143,25,32.1429,32.1429,53.1969,36.9309,0,0,0,95,0,0,0,0,0,0,9.60976,76,107.079,0.337345,14.2857,0,42.8571,7,179.952,0.843902,0,0,0,4.78049,0,0,0,40,60,0,5,7.7561,59,68,5.94884,0.077236,100,0,0,4,44,251.662,0.512969,0,14.2857,0,85.7143,12.7317,242.444,0.281111,0.891599,37.5,37.5,0,39.0244,9.85366,47.2956,142.691,-2.43362,137.636,223.768,0.705786,0.443319,0,100,0,60,-18.4984,0.849984,0.288872,20,60,20,0,accident
45.5661,33.1361,39.5072,0.443675,0.615369,24,36,8,32,60.1201,27.0567,0,86.4865,255.661,94.5946,0.901464,100,0,0,0,0,17.1752,43.2432,156.087,0.474497,0,0,100,0,0,0,0,0,0,8.45684,156.087,91.6462,0.606178,100,0,0,2,9.2415,54.0541,20.8313,344.369,0.142266,100,0,0,2,33.7838,382.277,0.653147,0,25,0,75,13.8622,322.073,0.262387,0.655242,25,25,0,0,12.816,54.0541,87.1488,72.8408,204.529,17.2426,0,0,0,100,0,47.2973,-34.9338,0.672673,0.219406,0,100,0,0,accident
46.7306,38.1648,72.001,0.318745,0.52738,36.8421,26.3158,21.0526,15.7895,56.9378,28.8304,0,87.5,223.765,88.8889,0.909144,0,0,0,0,0,22.3148,52.7778,161.111,0.502377,0,0,75,0,0,0,0,0,0,11.4815,161.111,27.7778,0.630648,66.6667,33.3333,0,3,10.2778,58.3333,28.1746,11.1111,0.038683,100,0,0,2,29.1667,437.427,0.615492,0,0,0,100,16.5741,-35.249,0.267857,0.62619,33.3333,33.3333,0,43.3333,11.7593,50,172.222,155.556,154.321,19.4853,0.490741,0.544444,0,100,0,48.6111,-27.7778,0.754454,0.36834,0,80,0,20,accident
44.7157,-7.30537,86.7679,0.390961,0.504096,27.2727,27.2727,18.1818,27.2727,57.0076,25.431,0,90.9091,196.281,95.4545,0.920455,0,0,0,0,0,16.6866,52.0472,152.449,0.579386,14.2857,0,57.1429,0,0,0,0,0,0,8.13397,128.116,56.6845,0.653075,0,100,0,2,9.0311,61.3636,29.458,6.92521,0.30848,100,0,0,2,31.8182,273.576,0.60341,25,0,0,75,14.6531,201.243,0.082424,0.090059,16.6667,50,0,0,11.1842,48.8636,162.742,9.72641,106.73,242.007,0.214707,0.310153,0,100,0,46.5909,-16.97,0.705742,0.204555,0,80,20,0,accident
45.9089,42.5987,69.104,0.400231,0.585106,20,32,20,28,45.9934,26.5871,0,91.8919,241.052,94.5946,0.918919,0,0,0,0,0,21.9595,47.6672,183.691,0.497322,42.8571,0,42.8571,0,0,0,0,0,0,9.20608,151.367,109.076,0.659412,0,100,0,4,8.61486,62.1622,98.8739,9.76562,0.419271,100,0,0,2,32.4324,338.647,0.577954,0,0,0,100,15.3716,-76.4667,0.188009,0.511781,50,0,0,43.75,14.1892,48.6487,239.258,129.173,138.179,199.454,0.468249,0.551956,0,80,0,46.3197,-22.9227,0.684685,0.296977,0,50,16.6667,33.3333,accident
