@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.GeneticSearch -Z 20 -G 20 -C 0.6 -M 0.033 -R 20 -S 1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_1_Y_GLOBAL numeric
@attribute Airs_Triangle_3_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Y_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Airs_Center_X_0_4 numeric
@attribute Airs_Triangle_1_X_0_4 numeric
@attribute Airs_Triangle_2_Y_0_4 numeric
@attribute Harris_Corners_X_0_4 numeric
@attribute Hough_Lines_Vertical_0_4 numeric
@attribute Hough_Lines_Horizontal_0_4 numeric
@attribute Hough_Lines_DiagonalPos_0_4 numeric
@attribute Hough_Lines_DiagonalNeg_0_4 numeric
@attribute Hough_Circles_Radius_0_4 numeric
@attribute Airs_Center_X_1_4 numeric
@attribute Airs_Triangle_1_Y_1_4 numeric
@attribute Airs_Triangle_2_X_1_4 numeric
@attribute Harris_Corners_X_1_4 numeric
@attribute Hough_Lines_Vertical_1_4 numeric
@attribute Hough_Lines_Horizontal_1_4 numeric
@attribute Hough_Lines_DiagonalPos_1_4 numeric
@attribute Hough_Lines_DiagonalNeg_1_4 numeric
@attribute Hough_Lines_Nb_1_4 numeric
@attribute Airs_Center_X_2_4 numeric
@attribute Airs_Triangle_1_X_2_4 numeric
@attribute Airs_Triangle_3_Y_2_4 numeric
@attribute Mass_Center_X_2_4 numeric
@attribute Mass_Center_Y_2_4 numeric
@attribute Hough_Lines_Vertical_2_4 numeric
@attribute Hough_Lines_Horizontal_2_4 numeric
@attribute Hough_Lines_DiagonalPos_2_4 numeric
@attribute Hough_Lines_DiagonalNeg_2_4 numeric
@attribute Hough_Circles_Radius_2_4 numeric
@attribute Airs_Center_X_3_4 numeric
@attribute Airs_Triangle_1_Y_3_4 numeric
@attribute Airs_Length_Contours_3_4 numeric
@attribute Harris_Corners_X_3_4 numeric
@attribute Mass_Center_X_3_4 numeric
@attribute Mass_Center_Y_3_4 numeric
@attribute Hough_Lines_Vertical_3_4 numeric
@attribute Hough_Lines_Horizontal_3_4 numeric
@attribute Hough_Lines_DiagonalPos_3_4 numeric
@attribute Airs_Center_X_0_9 numeric
@attribute Mass_Center_Y_0_9 numeric
@attribute Hough_Lines_Vertical_0_9 numeric
@attribute Hough_Lines_DiagonalPos_0_9 numeric
@attribute Hough_Lines_DiagonalNeg_0_9 numeric
@attribute Airs_Center_X_1_9 numeric
@attribute Airs_Triangle_1_X_1_9 numeric
@attribute Airs_Triangle_1_Y_1_9 numeric
@attribute Mass_Center_Y_1_9 numeric
@attribute Hough_Lines_Horizontal_1_9 numeric
@attribute Hough_Lines_DiagonalNeg_1_9 numeric
@attribute Black_Pixel_2_9 numeric
@attribute Airs_Center_X_2_9 numeric
@attribute Mass_Center_X_2_9 numeric
@attribute Mass_Center_Y_2_9 numeric
@attribute Hough_Lines_DiagonalPos_2_9 numeric
@attribute Hough_Lines_DiagonalNeg_2_9 numeric
@attribute Airs_Center_X_3_9 numeric
@attribute Airs_Triangle_1_Y_3_9 numeric
@attribute Airs_Length_Contours_3_9 numeric
@attribute Harris_Corners_X_3_9 numeric
@attribute Mass_Center_X_3_9 numeric
@attribute Mass_Center_Y_3_9 numeric
@attribute Hough_Lines_Vertical_3_9 numeric
@attribute Hough_Lines_DiagonalPos_3_9 numeric
@attribute Hough_Lines_DiagonalNeg_3_9 numeric
@attribute Black_Pixel_4_9 numeric
@attribute Airs_Triangle_1_Y_4_9 numeric
@attribute Airs_Triangle_2_X_4_9 numeric
@attribute Airs_Length_Contours_4_9 numeric
@attribute Mass_Center_Y_4_9 numeric
@attribute Hough_Lines_Vertical_4_9 numeric
@attribute Hough_Lines_Nb_4_9 numeric
@attribute Airs_Center_X_5_9 numeric
@attribute Airs_Triangle_1_Y_5_9 numeric
@attribute Airs_Triangle_3_X_5_9 numeric
@attribute Mass_Center_Y_5_9 numeric
@attribute Hough_Lines_Horizontal_5_9 numeric
@attribute Hough_Lines_DiagonalPos_5_9 numeric
@attribute Hough_Lines_DiagonalNeg_5_9 numeric
@attribute Airs_Triangle_1_X_6_9 numeric
@attribute Airs_Triangle_3_Y_6_9 numeric
@attribute Hough_Lines_Horizontal_6_9 numeric
@attribute Black_Pixel_7_9 numeric
@attribute Airs_Triangle_1_Y_7_9 numeric
@attribute Airs_Triangle_2_X_7_9 numeric
@attribute Airs_Length_Contours_7_9 numeric
@attribute Harris_Corners_Y_7_9 numeric
@attribute Mass_Center_Y_7_9 numeric
@attribute Hough_Lines_Vertical_7_9 numeric
@attribute Hough_Lines_DiagonalPos_7_9 numeric
@attribute Hough_Lines_DiagonalNeg_7_9 numeric
@attribute Hough_Circles_Radius_7_9 numeric
@attribute Airs_Center_X_8_9 numeric
@attribute Airs_Triangle_2_Y_8_9 numeric
@attribute Hough_Lines_DiagonalPos_8_9 numeric
@attribute Hough_Lines_DiagonalNeg_8_9 numeric
@attribute Airs_Center_X_0_16 numeric
@attribute Airs_Triangle_1_X_0_16 numeric
@attribute Harris_Corners_X_0_16 numeric
@attribute Mass_Center_X_0_16 numeric
@attribute Mass_Center_Y_0_16 numeric
@attribute Mass_Center_X_1_16 numeric
@attribute Hough_Lines_DiagonalPos_1_16 numeric
@attribute Black_Pixel_2_16 numeric
@attribute Airs_Triangle_1_Y_2_16 numeric
@attribute Harris_Corners_X_2_16 numeric
@attribute Hough_Lines_Horizontal_2_16 numeric
@attribute Airs_Triangle_1_Y_3_16 numeric
@attribute Harris_Corners_X_3_16 numeric
@attribute Hough_Lines_DiagonalNeg_3_16 numeric
@attribute Airs_Center_X_4_16 numeric
@attribute Airs_Triangle_1_X_4_16 numeric
@attribute Mass_Center_X_4_16 numeric
@attribute Hough_Lines_Vertical_4_16 numeric
@attribute Hough_Lines_DiagonalPos_4_16 numeric
@attribute Airs_Center_Y_5_16 numeric
@attribute Airs_Triangle_1_Y_5_16 numeric
@attribute Mass_Center_X_5_16 numeric
@attribute Mass_Center_Y_5_16 numeric
@attribute Mass_Center_X_6_16 numeric
@attribute Mass_Center_Y_6_16 numeric
@attribute Hough_Lines_DiagonalNeg_6_16 numeric
@attribute Airs_Center_Y_7_16 numeric
@attribute Harris_Corners_X_7_16 numeric
@attribute Mass_Center_X_7_16 numeric
@attribute Mass_Center_Y_7_16 numeric
@attribute Black_Pixel_8_16 numeric
@attribute Airs_Triangle_1_Y_8_16 numeric
@attribute Mass_Center_Y_8_16 numeric
@attribute Hough_Lines_Horizontal_8_16 numeric
@attribute Airs_Center_X_9_16 numeric
@attribute Airs_Center_X_10_16 numeric
@attribute Mass_Center_Y_10_16 numeric
@attribute Hough_Lines_DiagonalPos_10_16 numeric
@attribute Mass_Center_X_11_16 numeric
@attribute Mass_Center_X_12_16 numeric
@attribute Mass_Center_Y_12_16 numeric
@attribute Hough_Lines_Horizontal_12_16 numeric
@attribute Airs_Center_X_13_16 numeric
@attribute Airs_Center_X_14_16 numeric
@attribute Airs_Center_Y_14_16 numeric
@attribute Airs_Center_X_15_16 numeric
@attribute Mass_Center_Y_15_16 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
43.8929,-13.4464,33.2954,48.4646,0.420708,0.576855,48.2759,20.6897,17.2414,13.7931,46.7153,44.9939,20.177,65.4412,27.0588,116.213,88.2353,44.4444,11.1111,44.4444,0,23.4127,31.6176,-35.302,2.16263,5.39216,66.6667,0,0,33.3333,9,48.5294,-18.43,112.257,0.40526,0.485291,64.2857,21.4286,14.2857,0,45.2381,39.2555,101.488,730,4.41176,0.469945,0.522779,69.5652,8.69565,8.69565,84.4444,0.78125,75,25,0,46.6667,-37.7778,26.7857,0.352181,0,37.5,2.77778,11.1111,0.088889,0.84375,0,0,57.7778,-104.521,66,75.5556,0.640741,0.279762,100,0,0,11.2302,3.18878,44.4444,251,0.299222,100,9,38.8889,155.453,96.2963,0.642411,0,0,100,2.22222,162.628,50,13.7698,-26.6794,178.93,375.5,42.2222,0.418377,53.8462,15.3846,7.69231,16.0714,35.5556,-7.83907,20,20,0,0,97.0588,0,0,0.504313,66.6667,6.65266,264.172,8.82353,0,5.66893,62.9412,100,46.6614,2.94118,0.072398,40,20,107.71,198.413,0.898944,0.358364,0.329511,0.264716,0,107.71,73.5294,0.763951,0.444088,10.7143,-42.517,0.319161,0,0,82.3529,0.761905,0,0.487745,0.572222,0.16455,0,11.7647,50,116.213,88.2353,0.202381,accident
48.6682,-11.5657,34.2527,58.3354,0.496419,0.693668,43.75,25,6.25,25,52.4123,52.911,17.2303,63.1579,92.4812,-110.715,89.4737,72.7273,0,9.09091,18.1818,18.4932,25.4386,133.233,87.5601,0.877193,71.4286,0,0,28.5714,7,54.8614,64.0266,-89.3552,0.672981,0.62636,65,15,15,5,16.4384,41.3253,-120.023,286.5,17.5439,0.303834,0.534731,85,5,5,81.5789,0,100,0,0,48.6842,-16.6667,-60.7639,0.464368,0,83.3333,6.4693,0,0,0,0,0,59.2105,0.93563,9.5,46.9925,0,0,100,0,0,20.0658,4.34028,83.1025,22.5,0.304365,85.7143,7,26.3158,243.284,167.663,0.574018,0,0,40,43.145,-10.3651,20,22.6425,209.105,3.38566,439,76.3158,0.348413,29.4118,23.5294,41.1765,22.9167,40.2632,-16.1985,0,25,0,0,89.2857,0,0,0.609855,25,11.1111,7.71605,96.4286,0,-27.0062,1.78571,50,44.9913,99.4377,0.335317,40,40,146.605,38.5802,0.59036,0.615676,0.225289,0.352974,28.5714,134.133,55.3571,0.682842,0.391103,8.63095,347.628,0.576389,0,0,83.9286,0,0,0.271429,0.480835,0.5155,0,0,64.2857,135.031,62.5,0.635417,accident
46.6279,-3.45506,26.5784,55.235,0.313533,0.648447,42.8571,17.8571,10.7143,28.5714,55.4239,46.5934,21.3187,64.7541,69.0453,-37.6909,70.4918,45.4545,0,18.1818,36.3636,20.4225,26.2295,136.878,93.9328,19.6721,0,0,0,100,3,48.2658,73.0345,-122.384,0.484908,0.598283,52.1739,13.0435,30.4348,4.34783,8.4507,43.5396,-7.17165,50.5,95.9016,0.489361,0.573105,27.2727,45.4545,0,84.1463,0,100,0,0,34.1463,46.005,108.49,0.463799,0,66.6667,0,0,0,0,0,0,62.1951,4.52694,12,75.1219,0,0,50,50,0,17.5921,-53.3146,49.3182,332.5,0.342756,60,5,20.7317,87.3052,5.94884,0.727356,0,0,100,43.0185,-15.7362,28.5714,16.191,-97.3991,34.9571,475,39.0244,0.162496,66.6667,0,8.33333,12.766,42.3477,186.32,11.1111,44.4444,0,0,88.8889,0,0,0.330908,0,6.09524,8.16327,96.6667,0,337.415,1.66667,50,38.6525,-9.77012,0.227315,75,0,159.184,6.2425,0.392927,0.245432,0.069444,0.407143,0,144.768,91.6667,0.728968,0.447959,0.857143,187.755,0,0,0,80,0,0,0.237654,0.360736,0.552484,0,0,70,138.776,68.3333,0.455714,accident
42.461,-1.7346,41.6802,50.4197,0.438765,0.66426,50,31.25,9.375,9.375,57.9415,50.6887,20.1889,74.1379,96.5517,-8.71423,96.5517,75,0,25,0,31.8182,25,2.52994,2.97265,12.069,50,0,0,50,4,50.8621,-16.4936,126.06,0.580368,0.483765,55.5556,22.2222,22.2222,0,26.6234,38.9232,-78.7716,618,15.5172,0.241495,0.455295,61.9048,9.52381,4.7619,0,0,0,0,0,50,46.3816,-19.2234,0.515795,0,16.6667,0.0516,0,0,0,0,0,71.0526,34.6021,11,97.3684,0.725911,0.661011,0,100,0,17.7503,3.84468,298.262,510,0.234749,100,6,23.6842,-1.28156,6.92521,0.472222,0,0,50,50.6865,-14.8772,33.3333,21.0526,-138.67,101.537,698.5,76.3158,0.364949,33.3333,13.3333,20,15.6863,42.0135,-10.4734,0,60,0,0,0,0,0,0.784483,0,18.0581,6.92521,31.0345,0,27.7008,1.72414,0,48.2759,-36.8353,0.128241,33.3333,0,148.892,239.44,0.557599,0.399586,0.412866,0.569746,0,104.793,86.2069,0.596658,0.366907,11.343,275.559,0.521617,0,0,0,0,0,0.313218,0.52682,0.488304,0,0,67.2414,135.042,44.8276,0.470212,accident
48.9835,62.0294,-0.652837,53.6461,0.407045,0.600527,52.5,22.5,7.5,17.5,49.972,47.0588,18.8375,69.2857,42.4286,116.213,92.8571,62.5,0,25,12.5,27.9762,28.5714,116.213,85.9462,0.714286,50,0,0,50,6,55.4467,2.02294,113.224,0.112991,0.419261,50,35.7143,14.2857,0,31.3492,38.6291,116.569,959.5,73.5714,0.273015,0.524262,50,30.7692,0,90.2174,0,100,0,0,56.5217,23.7368,-30.0533,0.355192,0,42.8571,0.232919,2.17391,0,0,0,0,71.7391,172.194,13,85.8696,0,0,66.6667,33.3333,0,15.7997,15.5558,30.6558,32,0.054828,80,10,36.9565,0.760238,15.6174,0.50549,0,0,100,99.0044,162.438,25,17.8183,-31.6667,127.552,384.5,65.2174,0.172992,21.4286,21.4286,14.2857,12.5,39.2036,-18.4136,0,22.2222,0,0,47.1429,0,0,0.655839,40,11.1565,-130.385,18.5714,0,204.597,1.42857,60,55.3842,98.4885,0.306508,0,66.6667,204.082,175.737,0,0,0.10179,0.135258,12.5,93.5374,47.1429,0.707107,0.571149,8.36735,273.999,0.718254,0,0,92.8571,0,0,0.182206,0.409029,0.381216,0,7.14286,72.8571,116.213,48.5714,0,accident
48.1441,51.0915,-3.10077,56.3315,0.416762,0.542678,31.5789,28.9474,28.9474,10.5263,44.6106,43.3482,21.8365,69.6629,12.9724,165.2,98.8764,0,0,100,0,37.8634,41.0112,-81.1249,1.26247,13.4831,52.9412,17.6471,0,29.4118,17,51.4031,-3.67922,94.9435,0.22328,0.353906,0,72.7273,27.2727,0,42.8295,51.1236,85.3357,1840,11.236,0.335982,0.433282,65,10,15,0,0,0,0,0,49.1525,-19.6126,169.283,0.302909,14.2857,0,6.8986,31.3559,0.298348,0.336061,0,71.4286,66.1017,249.307,135.5,91.5254,0.692618,0.435316,0,100,0,11.0913,3.07787,139.096,253.5,0.327973,100,5,68.6441,-117.798,73.6466,0,0,0,33.3333,104.809,143.709,57.1429,8.05828,160.049,163.746,117,74.5763,0.113262,25,0,0,31.1404,42.3729,-30.4367,30,0,0,0,0,0,0,0.786397,33.3333,7.92812,5.40833,22.7273,0,317.616,62.5,33.3333,50.7698,29.7366,0,0,25,151.433,145.767,0,0,0.113131,0.047649,25,110.871,57.9545,0.495529,0.732462,9.03805,82.6746,0.147565,50,20.4545,89.7727,0.893023,0,0.29285,0.258523,0.467054,0,47.7273,59.0909,113.575,0,0,accident
48.9446,60.232,-4.67697,87.6651,0.431128,0.597927,54,22,18,6,51.9157,43.9394,20.9812,67.2414,97.7011,2.17361,97.7011,45.4545,0,54.5455,0,30.0443,33.3333,-39.8843,1.32118,4.5977,41.6667,8.33333,0,50,12,49.4253,-26.4368,118.977,0.478109,0.335733,25,50,25,0,50.7622,46.8008,118.977,815.5,85.6322,0.333696,0.37224,57.8947,26.3158,0,89.6552,0.879541,100,0,0,45.9849,-21.4799,178.326,0.465643,0,40,3.4802,12.069,0.099425,0.789198,0,0,60.3448,178.452,39.5,36.2069,0.618754,0.455971,40,60,0,20.3384,-52.6714,95.7346,85.5,0.600823,100,11,41.3793,178.61,114.436,0.499807,0,0,100,97.7241,178.326,33.3333,11.0792,-9.75013,89.5293,467.5,53.4483,0.221288,75,0,0,33.3333,47.6994,178.326,0,16.6667,0,0,0,0,0,0.668605,80,13.84,5.94884,4.65116,0,-196.312,32.3643,33.3333,48.0715,-6.20155,0.212209,33.3333,16.6667,151.695,71.3861,0,0,0.092076,0.280036,0,130.894,73.2558,0.738649,0.458769,12.7056,5.94884,0.419456,0,0,84.8837,0.807782,100,0.123256,0.614249,0.217189,0,15.1163,55.814,118.977,91.8605,0.256098,accident
47.7209,53.9113,63.2021,83.4245,0.30247,0.593384,43.2432,27.027,16.2162,13.5135,50.7165,43.8469,19.7118,64.0449,97.7528,-58.5151,94.382,41.6667,0,58.3333,0,28.1008,32.0225,4.7871,16.6168,5.05618,30,0,0,70,10,51.3446,-26.2162,108.635,0.456085,0.496354,68.1818,22.7273,9.09091,0,25.436,44.5519,-92.9151,884,87.0787,0.318546,0.174476,21.4286,42.8571,0,84.7458,0.727339,0,100,0,52.5424,-11.9013,218.462,0.423288,18.1818,27.2727,2.08147,11.8644,0.060735,0.828947,0,0,52.5424,-163.127,32,73.8983,0.562507,0.390905,20,80,0,16.3842,169.283,30.5417,68.5,0.070175,91.6667,12,41.5254,335.488,211.668,0.486583,0,0,100,-5.85337,160.486,44.4444,10.11,-37.9991,72.321,83,38.1356,0.175097,57.1429,0,0,8.77193,44.8003,-5.34892,0,28.5714,0,0,0,0,0,0.46744,80,1.47992,173.067,50.8039,0,-25.4964,29.5455,100,53.6364,18.6887,0.09828,40,20,137.912,48.8173,0.452273,0.192636,0,0,0,100.054,73.8636,0.526925,0.276586,9.83087,416.441,0.473058,0,0,80.6818,0.663714,100,0.499053,0.856566,0.297416,0,13.6364,46.5909,113.575,86.3636,0.359173,accident
51.729,60.138,-5.73677,71.2919,0.48364,0.56192,53.3333,26.6667,11.1111,8.88889,52.4617,41.8781,22.6785,65.9091,96.2187,117.579,92.6136,36.3636,0,63.6364,0,32.8587,33.5227,63.59,23.487,25.5245,0,16.6667,0,83.3333,6,54.3687,97.7273,120.966,0.488867,0.469236,50,31.8182,18.1818,0,38.3534,48.2664,116.168,160,86.3636,0.808264,0.431772,25,58.3333,0,86.4407,0.831287,0,0,0,52.3827,41.2723,-77.6359,0.248726,0,40,1.26348,6.77966,0.042373,0.910909,0,0,57.6271,3.30578,43,77.1186,0.545097,0.46158,33.3333,66.6667,0,11.1864,-92.562,51.7093,4,0.839827,100,2,39.8305,-68.5334,-38.4604,0.411666,0,0,85.7143,-9.98095,157.785,37.5,9.67643,64.5432,64.2251,145,38.9831,0.176733,50,0,0,10.9091,48.58,165.442,0,11.1111,0,0,84.0909,0,0,0.576919,75,0.110865,0,1.13636,0,-87.8857,27.2727,60,45.3504,-6.50094,0.136785,0,33.3333,142.772,247.868,0.424093,0.191378,0,0,0,132.274,72.7273,0.817609,0.600709,10.643,5.94884,0.482971,0,0,81.8182,0.767184,0,0.36452,0.789062,0.311484,0,17.0455,47.7273,118.977,84.0909,0.277236,accident
48.747,-18.8228,37.188,97.0688,0.478734,0.616689,48.6486,27.027,10.8108,13.5135,49.1432,48.2542,22.1102,64.1975,97.5309,-25.0167,55.9671,55.5556,0,44.4444,0,31.6456,37.037,-59.2854,1.52416,24.9383,60,10,0,30,10,51.041,-10.5768,113.52,0.360418,0.530161,14.2857,42.8571,42.8571,0,39.557,45.6389,-96.9777,956,82.0988,0.447452,0.456893,50,31.25,6.25,86.1111,0.815241,100,0,0,51.3187,50.3193,186.715,0.324244,33.3333,0,7.058,22.2222,0.171605,0.486164,0,80,55.5556,12.0839,123.5,76.3889,0.558849,0.404299,25,75,0,4.71698,118.402,94.2438,0.5,0.586478,100,2,55.5556,108.395,85.1426,0.68239,0,0,33.3333,103.139,152.724,42.8571,12.2292,-17.8655,105.426,149.5,50,0.119399,62.5,0,0,11.3208,43.0459,198.103,0,16.6667,0,0,88.75,0,0,0.552231,50,4.35897,-157.791,7.5,0,6.57462,50.8333,33.3333,48.5776,2.5,0.15713,33.3333,0,112.002,2.19154,0.3125,0.042735,0.046296,0.053181,0,121.631,63.75,0.752094,0.511703,13.0128,6.57462,0.234724,25,5,81.25,0.740171,0,0.127083,0,0,0,25,45,124.918,95,0,accident
