@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 2 -N 15'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_1_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Y_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Airs_Center_X_0_4 numeric
@attribute Airs_Triangle_1_X_0_4 numeric
@attribute Harris_Corners_X_0_4 numeric
@attribute Hough_Lines_Vertical_0_4 numeric
@attribute Hough_Lines_Horizontal_0_4 numeric
@attribute Hough_Lines_DiagonalPos_0_4 numeric
@attribute Hough_Lines_DiagonalNeg_0_4 numeric
@attribute Hough_Circles_Radius_0_4 numeric
@attribute Airs_Center_X_1_4 numeric
@attribute Airs_Triangle_1_X_1_4 numeric
@attribute Airs_Triangle_1_Y_1_4 numeric
@attribute Harris_Corners_X_1_4 numeric
@attribute Mass_Center_X_1_4 numeric
@attribute Mass_Center_Y_1_4 numeric
@attribute Hough_Lines_Vertical_1_4 numeric
@attribute Hough_Lines_Horizontal_1_4 numeric
@attribute Hough_Lines_DiagonalPos_1_4 numeric
@attribute Hough_Lines_DiagonalNeg_1_4 numeric
@attribute Hough_Circles_Radius_1_4 numeric
@attribute Airs_Center_X_2_4 numeric
@attribute Airs_Triangle_1_X_2_4 numeric
@attribute Airs_Triangle_1_Y_2_4 numeric
@attribute Harris_Corners_X_2_4 numeric
@attribute Mass_Center_X_2_4 numeric
@attribute Mass_Center_Y_2_4 numeric
@attribute Hough_Lines_Vertical_2_4 numeric
@attribute Hough_Lines_Horizontal_2_4 numeric
@attribute Hough_Lines_DiagonalPos_2_4 numeric
@attribute Hough_Lines_DiagonalNeg_2_4 numeric
@attribute Hough_Circles_Radius_2_4 numeric
@attribute Airs_Center_X_3_4 numeric
@attribute Airs_Triangle_1_Y_3_4 numeric
@attribute Harris_Corners_X_3_4 numeric
@attribute Mass_Center_X_3_4 numeric
@attribute Mass_Center_Y_3_4 numeric
@attribute Hough_Lines_Vertical_3_4 numeric
@attribute Hough_Lines_Horizontal_3_4 numeric
@attribute Hough_Lines_DiagonalPos_3_4 numeric
@attribute Hough_Lines_DiagonalNeg_3_4 numeric
@attribute Hough_Circles_Radius_3_4 numeric
@attribute Airs_Center_X_0_9 numeric
@attribute Mass_Center_Y_0_9 numeric
@attribute Hough_Lines_Vertical_0_9 numeric
@attribute Hough_Lines_DiagonalPos_0_9 numeric
@attribute Hough_Lines_DiagonalNeg_0_9 numeric
@attribute Airs_Center_X_1_9 numeric
@attribute Airs_Triangle_1_X_1_9 numeric
@attribute Airs_Triangle_1_Y_1_9 numeric
@attribute Harris_Corners_X_1_9 numeric
@attribute Hough_Lines_Horizontal_1_9 numeric
@attribute Hough_Lines_DiagonalPos_1_9 numeric
@attribute Hough_Lines_DiagonalNeg_1_9 numeric
@attribute Airs_Center_X_2_9 numeric
@attribute Mass_Center_Y_2_9 numeric
@attribute Hough_Lines_Vertical_2_9 numeric
@attribute Hough_Lines_DiagonalPos_2_9 numeric
@attribute Hough_Lines_DiagonalNeg_2_9 numeric
@attribute Airs_Triangle_1_Y_3_9 numeric
@attribute Airs_Triangle_2_X_3_9 numeric
@attribute Airs_Length_Contours_3_9 numeric
@attribute Harris_Corners_X_3_9 numeric
@attribute Mass_Center_X_3_9 numeric
@attribute Mass_Center_Y_3_9 numeric
@attribute Hough_Lines_Horizontal_3_9 numeric
@attribute Hough_Lines_DiagonalPos_3_9 numeric
@attribute Hough_Lines_DiagonalNeg_3_9 numeric
@attribute Black_Pixel_4_9 numeric
@attribute Airs_Center_X_4_9 numeric
@attribute Airs_Triangle_1_Y_4_9 numeric
@attribute Mass_Center_Y_4_9 numeric
@attribute Hough_Lines_Vertical_4_9 numeric
@attribute Hough_Lines_Horizontal_4_9 numeric
@attribute Hough_Lines_Nb_4_9 numeric
@attribute Airs_Triangle_1_Y_5_9 numeric
@attribute Airs_Triangle_2_X_5_9 numeric
@attribute Harris_Corners_X_5_9 numeric
@attribute Mass_Center_Y_5_9 numeric
@attribute Hough_Lines_Vertical_5_9 numeric
@attribute Hough_Lines_Horizontal_5_9 numeric
@attribute Hough_Lines_DiagonalPos_5_9 numeric
@attribute Hough_Lines_DiagonalNeg_5_9 numeric
@attribute Black_Pixel_6_9 numeric
@attribute Airs_Triangle_1_X_6_9 numeric
@attribute Airs_Triangle_1_Y_6_9 numeric
@attribute Mass_Center_X_6_9 numeric
@attribute Hough_Lines_Vertical_6_9 numeric
@attribute Hough_Lines_Horizontal_6_9 numeric
@attribute Hough_Lines_DiagonalPos_6_9 numeric
@attribute Hough_Lines_DiagonalNeg_6_9 numeric
@attribute Black_Pixel_7_9 numeric
@attribute Airs_Center_X_7_9 numeric
@attribute Airs_Triangle_1_X_7_9 numeric
@attribute Airs_Length_Contours_7_9 numeric
@attribute Mass_Center_Y_7_9 numeric
@attribute Hough_Lines_Vertical_7_9 numeric
@attribute Hough_Lines_Horizontal_7_9 numeric
@attribute Hough_Lines_DiagonalNeg_7_9 numeric
@attribute Hough_Circles_Radius_7_9 numeric
@attribute Airs_Triangle_1_Y_8_9 numeric
@attribute Mass_Center_Y_8_9 numeric
@attribute Hough_Lines_DiagonalPos_8_9 numeric
@attribute Hough_Lines_DiagonalNeg_8_9 numeric
@attribute Airs_Center_X_0_16 numeric
@attribute Harris_Corners_X_0_16 numeric
@attribute Mass_Center_Y_0_16 numeric
@attribute Hough_Lines_DiagonalPos_1_16 numeric
@attribute Mass_Center_X_2_16 numeric
@attribute Mass_Center_Y_2_16 numeric
@attribute Hough_Lines_Horizontal_2_16 numeric
@attribute Airs_Triangle_2_X_3_16 numeric
@attribute Hough_Lines_DiagonalNeg_3_16 numeric
@attribute Mass_Center_Y_4_16 numeric
@attribute Hough_Lines_Horizontal_4_16 numeric
@attribute Airs_Triangle_1_X_5_16 numeric
@attribute Airs_Triangle_1_Y_5_16 numeric
@attribute Mass_Center_Y_5_16 numeric
@attribute Hough_Lines_Vertical_5_16 numeric
@attribute Mass_Center_X_6_16 numeric
@attribute Hough_Lines_Nb_6_16 numeric
@attribute Airs_Center_X_7_16 numeric
@attribute Mass_Center_X_7_16 numeric
@attribute Mass_Center_Y_8_16 numeric
@attribute Hough_Lines_Horizontal_8_16 numeric
@attribute Airs_Center_X_9_16 numeric
@attribute Mass_Center_Y_9_16 numeric
@attribute Airs_Center_Y_10_16 numeric
@attribute Mass_Center_X_10_16 numeric
@attribute Hough_Lines_DiagonalPos_10_16 numeric
@attribute Mass_Center_X_11_16 numeric
@attribute Harris_Corners_X_12_16 numeric
@attribute Mass_Center_Y_12_16 numeric
@attribute Hough_Lines_Horizontal_12_16 numeric
@attribute Airs_Triangle_1_Y_14_16 numeric
@attribute Mass_Center_X_14_16 numeric
@attribute Hough_Lines_Vertical_14_16 numeric
@attribute Hough_Lines_DiagonalPos_14_16 numeric
@attribute Airs_Center_X_15_16 numeric
@attribute Hough_Lines_Vertical_15_16 numeric
@attribute Airs_Center_X_0_25 numeric
@attribute Airs_Triangle_1_X_0_25 numeric
@attribute Harris_Corners_X_0_25 numeric
@attribute Mass_Center_X_0_25 numeric
@attribute Mass_Center_Y_1_25 numeric
@attribute Airs_Center_X_2_25 numeric
@attribute Airs_Center_X_3_25 numeric
@attribute Airs_Triangle_1_Y_3_25 numeric
@attribute Hough_Lines_Vertical_3_25 numeric
@attribute Black_Pixel_4_25 numeric
@attribute Airs_Center_X_4_25 numeric
@attribute Airs_Triangle_1_Y_4_25 numeric
@attribute Hough_Lines_Vertical_4_25 numeric
@attribute Airs_Center_X_5_25 numeric
@attribute Airs_Center_X_6_25 numeric
@attribute Airs_Center_X_7_25 numeric
@attribute Mass_Center_X_7_25 numeric
@attribute Mass_Center_Y_7_25 numeric
@attribute Airs_Center_X_8_25 numeric
@attribute Mass_Center_X_8_25 numeric
@attribute Mass_Center_Y_8_25 numeric
@attribute Black_Pixel_9_25 numeric
@attribute Airs_Center_Y_9_25 numeric
@attribute Airs_Triangle_1_X_9_25 numeric
@attribute Airs_Length_Contours_9_25 numeric
@attribute Mass_Center_X_9_25 numeric
@attribute Mass_Center_Y_9_25 numeric
@attribute Hough_Lines_Nb_9_25 numeric
@attribute Airs_Center_X_10_25 numeric
@attribute Mass_Center_X_10_25 numeric
@attribute Airs_Triangle_1_Y_11_25 numeric
@attribute Hough_Lines_Vertical_11_25 numeric
@attribute Airs_Center_X_12_25 numeric
@attribute Mass_Center_Y_12_25 numeric
@attribute Airs_Center_X_13_25 numeric
@attribute Mass_Center_X_13_25 numeric
@attribute Airs_Center_X_14_25 numeric
@attribute Mass_Center_X_14_25 numeric
@attribute Airs_Center_Y_15_25 numeric
@attribute Mass_Center_Y_15_25 numeric
@attribute Mass_Center_X_16_25 numeric
@attribute Mass_Center_Y_16_25 numeric
@attribute Airs_Center_X_17_25 numeric
@attribute Airs_Triangle_1_Y_17_25 numeric
@attribute Harris_Corners_X_17_25 numeric
@attribute Airs_Center_Y_18_25 numeric
@attribute Mass_Center_Y_19_25 numeric
@attribute Airs_Center_X_20_25 numeric
@attribute Airs_Triangle_1_X_21_25 numeric
@attribute Harris_Corners_X_21_25 numeric
@attribute Hough_Lines_Horizontal_21_25 numeric
@attribute Airs_Center_X_22_25 numeric
@attribute Airs_Triangle_1_X_22_25 numeric
@attribute Mass_Center_Y_22_25 numeric
@attribute Airs_Center_X_23_25 numeric
@attribute Mass_Center_Y_23_25 numeric
@attribute Airs_Center_X_24_25 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
43.8929,45.6147,48.4646,0.420708,0.576855,48.2759,20.6897,17.2414,13.7931,46.7153,44.9939,20.177,1,65.4412,27.0588,88.2353,44.4444,11.1111,44.4444,0,23.4127,31.6176,1.47059,-35.302,5.39216,0.150196,0.355373,66.6667,0,0,33.3333,27.8571,48.5294,-18.43,112.257,4.41176,0.40526,0.485291,64.2857,21.4286,14.2857,0,45.2381,39.2555,101.488,4.41176,0.469945,0.522779,69.5652,8.69565,8.69565,13.0435,24.5238,84.4444,0.78125,75,25,0,46.6667,-37.7778,26.7857,33.3333,0,37.5,37.5,11.1111,0.84375,100,0,0,-104.521,214.54,66,75.5556,0.640741,0.279762,0,0,0,11.2302,58.8889,3.18878,0.299222,100,0,9,155.453,96.2963,36.5079,0.642411,0,0,0,100,8.80952,2.22222,162.628,0.104678,25,50,25,0,13.7698,50.4953,80.5185,375.5,0.418377,53.8462,23.0769,7.69231,16.0714,-7.83907,0.496624,20,20,0,97.0588,0,66.6667,0.065234,0.19475,0,32.8211,100,0.374949,40,2.94118,198.413,0.358364,60,0.329511,6,39.7059,0.763951,0.319161,0,0,0,150.227,0.779412,0,0.487745,10.2941,0.16455,0,-113.379,0,60,40,88.2353,100,0,0,0,0,0.480087,79.6296,11.1111,8.34794,0,19.7531,55.2083,560.147,100,81.4815,14.8148,0,0,0,0,0,0,12.9068,146.924,40.7407,48,0.565411,0.509275,0,7.40741,0.074074,303.285,50,48.1481,0.161712,45.0142,0.064668,48.1481,0,148.622,0.250954,0.263374,0.343194,44.4444,279.418,96.2963,206.612,0,0,53.8784,30.3704,0,51.8519,68.5185,0.653811,50,0.441414,0,accident
48.6682,39.0481,58.3354,0.496419,0.693668,43.75,25,6.25,25,52.4123,52.911,17.2303,1,63.1579,92.4812,89.4737,72.7273,0,9.09091,18.1818,18.4932,25.4386,49.9093,133.233,0.877193,0.151211,0.59464,71.4286,0,0,28.5714,41.7808,54.8614,64.0266,-89.3552,82.4561,0.672981,0.62636,65,15,15,5,16.4384,41.3253,-120.023,17.5439,0.303834,0.534731,85,5,5,5,20.5479,81.5789,0,100,0,0,48.6842,-16.6667,-60.7639,34.2105,0,0,83.3333,0,0,0,0,0,0.93563,222.56,9.5,46.9925,0,0,0,0,0,20.0658,52.6316,4.34028,0.304365,85.7143,0,7,243.284,167.663,1.8797,0.574018,60,0,0,40,15.0219,43.145,-10.3651,0.326289,40,20,20,20,22.6425,48.6842,1.28655,439,0.348413,29.4118,5.88235,41.1765,22.9167,-16.1985,0.452257,0,25,0,89.2857,0,25,0.061905,0.291667,0,12.7551,50,0.598655,20,92.8571,38.5802,0.615676,50,0.225289,7,38.2574,0.682842,0.576389,0,0,0,165.895,0,0,0.271429,41.7857,0.5155,0,163.139,0,100,0,62.5,100,0,0,0,0,0.143678,86.3636,13.6364,11.8906,100,29.7806,38.6364,321.046,100,63.6364,4.54545,70.4545,0,0,0,0,0,26.0188,166.468,-18.1818,30,0.613333,0.684751,3,0,0,-16.2145,100,43.1818,0.44751,31.8182,0.296465,47.7273,0.443182,170.604,0.367688,0.090909,0.310345,37.4633,-48.3551,40.9091,0,0,0,27.2727,31.8182,0,54.5455,47.669,0.348851,27.2727,0.610345,0,accident
46.6279,32.6914,55.235,0.313533,0.648447,42.8571,17.8571,10.7143,28.5714,55.4239,46.5934,21.3187,1,64.7541,69.0453,70.4918,45.4545,0,18.1818,36.3636,20.4225,26.2295,57.299,136.878,19.6721,0.180835,0.767472,0,0,0,100,16.9014,48.2658,73.0345,-122.384,93.4426,0.484908,0.598283,52.1739,13.0435,30.4348,4.34783,8.4507,43.5396,-7.17165,95.9016,0.489361,0.573105,27.2727,45.4545,0,27.2727,26.7606,84.1463,0,100,0,0,34.1463,46.005,108.49,6.09756,0,0,66.6667,0,0,0,0,0,4.52694,169.4,12,75.1219,0,0,0,50,0,17.5921,43.9024,-53.3146,0.342756,60,0,5,87.3052,5.94884,1.21951,0.727356,0,0,0,100,16.0872,43.0185,-15.7362,0.21608,57.1429,28.5714,14.2857,0,16.191,52.439,14.3324,475,0.162496,66.6667,25,8.33333,12.766,186.32,0.41956,11.1111,44.4444,0,88.8889,0,0,0.841667,0.155952,0,188.889,50,0.560516,25,93.3333,6.2425,0.245432,20,0.069444,2,39.8936,0.728968,0,0,0,0,159.184,0,0,0.237654,33.8095,0.552484,0,8.16327,0,100,0,68.3333,75,0,0,83.3333,0,0.128307,77.0833,14.5833,12.7551,100,21.7262,47.9167,12.7551,100,43.75,0,66.6667,0,0,89.5833,0.893519,0.468254,11.756,92.3798,43.3333,12.5,0.096451,0.126984,0,79.1667,0.854167,331.633,100,22.9167,0.71627,33.3333,0.284144,47.9167,0,146.684,0.233442,0,0,39.8438,210.004,89.5833,0,0,0,37.5,37.5,0,43.75,37.9808,0.547924,4.16667,0,0,accident
42.461,48.349,50.4197,0.438765,0.66426,50,31.25,9.375,9.375,57.9415,50.6887,20.1889,1,74.1379,96.5517,96.5517,75,0,25,0,31.8182,25,1.72414,2.52994,12.069,0.140166,0.489658,50,0,0,50,36.7965,50.8621,-16.4936,126.06,92.2414,0.580368,0.483765,55.5556,22.2222,22.2222,0,26.6234,38.9232,-78.7716,15.5172,0.241495,0.455295,61.9048,9.52381,4.7619,23.8095,19.4805,0,0,0,0,0,50,46.3816,-19.2234,52.6316,0,16.6667,16.6667,0,0,0,0,0,34.6021,249.307,11,97.3684,0.725911,0.661011,0,100,0,17.7503,48.6842,3.84468,0.234749,100,0,6,-1.28156,6.92521,1.31579,0.472222,50,0,0,50,14.1383,50.6865,-14.8772,0.13585,33.3333,33.3333,33.3333,0,21.0526,40.7895,38.5839,698.5,0.364949,33.3333,33.3333,20,15.6863,-10.4734,0.460688,0,60,0,0,0,0,0.319444,0.397076,0,11.8906,0,0.142523,66.6667,-13.0794,239.44,0.399586,20,0.412866,4,42.1601,0.596658,0.521617,0,0,0,0,0,0,0.313218,24.1379,0.488304,0,20.7756,0.708046,100,0,44.8276,100,0,0,0,0,0,0,39.1304,9.98117,33.3333,25.7971,63.0435,-203.175,100,63.0435,0,65.2174,0.704348,0.552917,8.69565,0.086957,0.1,22.8986,105.556,80.9436,80.5,0.366063,0.255648,2,84.7826,0.891304,22.2222,100,45.6522,0.638393,45.2174,0.128364,47.8261,0,155.556,0.22717,0.597826,0.516667,46.3439,171.003,86.9565,272.222,0,0,60.6138,95.6522,0,45.6522,92.0605,0.202778,26.087,0.583333,0,accident
48.9835,-0.913971,53.6461,0.407045,0.600527,52.5,22.5,7.5,17.5,49.972,47.0588,18.8375,1,69.2857,42.4286,92.8571,62.5,0,25,12.5,27.9762,28.5714,60.1623,116.213,0.714286,0.161667,0.632316,50,0,0,50,35.5442,55.4467,2.02294,113.224,11.4286,0.112991,0.419261,50,35.7143,14.2857,0,31.3492,38.6291,116.569,73.5714,0.273015,0.524262,50,30.7692,0,19.2308,25.7143,90.2174,0,100,0,0,56.5217,23.7368,-30.0533,52.1739,0,14.2857,42.8571,2.17391,0,0,0,0,172.194,107.008,13,85.8696,0,0,0,33.3333,0,15.7997,57.6087,15.5558,0.054828,80,20,10,0.760238,15.6174,1.08696,0.50549,0,0,0,100,13.0435,99.0044,162.438,0.262365,37.5,25,37.5,0,17.8183,45.6894,58.6741,384.5,0.172992,21.4286,42.8571,14.2857,12.5,-18.4136,0.478296,0,22.2222,0,47.1429,0,40,0.124868,0.774251,0,115.77,60,0.540476,33.3333,2.85714,175.737,0,0,0.10179,8,41.4286,0.707107,0.718254,0,0,0,209.751,0,0,0.182206,55.7143,0.381216,0,-28.3447,0.757143,100,0,48.5714,100,0,0,58.9286,0,0.515152,0,26.7857,20.9891,100,23.1602,42.8571,9.18274,100,69.6429,12.5,75,0.407738,0.333333,7.14286,0,0,18.0736,119.646,86.9048,20,0.644643,0.579509,3,0,0,-247.934,40,48.2143,0.48616,56.5389,0.350529,48.2143,0,146.924,0.149711,0.035714,0.076389,44.6429,220.386,33.9286,0,0,0,71.4286,47.619,0,48.2143,-61.7347,0.331184,30.3571,0.605142,0,accident
48.1441,-5.55039,56.3315,0.416762,0.542678,31.5789,28.9474,28.9474,10.5263,44.6106,43.3482,21.8365,0,69.6629,12.9724,98.8764,0,0,100,0,37.8634,41.0112,1.1236,-81.1249,13.4831,0.252288,0.370918,52.9412,17.6471,0,29.4118,26.0797,51.4031,-3.67922,94.9435,10.1124,0.22328,0.353906,0,72.7273,27.2727,0,42.8295,51.1236,85.3357,11.236,0.335982,0.433282,65,10,15,10,35.1163,0,0,0,0,0,49.1525,-19.6126,169.283,72.8814,14.2857,85.7143,0,31.3559,0.336061,28.5714,0,71.4286,249.307,18.6435,135.5,91.5254,0.692618,0.435316,0,100,0,11.0913,40.678,3.07787,0.327973,100,0,5,-117.798,73.6466,67.1186,0,66.6667,0,0,33.3333,8.44484,104.809,143.709,0.128614,0,57.1429,42.8571,0,8.05828,52.0578,96.6102,117,0.113262,25,75,0,31.1404,-30.4367,0.606406,30,0,0,0,0,33.3333,0.192677,0.21292,0,212.246,33.3333,0,75,-76.8398,145.767,0,0,0.113131,4,44.3182,0.495529,0.147565,50,20.4545,0.607747,200.108,0.920455,0,0.29285,27.2727,0.467054,0,5.40833,0.596235,0,100,0,0,0,0,0,0,0,84.2857,25.7143,84.146,50,19.916,81.4286,-51.9031,100,2.85714,47.1429,54.2857,0.565476,0.422386,0,0,0,5.04202,233.564,88.8312,12,0.844445,0.776961,0,4.28571,0,-80.7382,100,51.4286,0.456421,48.5714,0,48.5714,0,116.782,0.01634,0,0,48.5714,-25.9516,5.71429,129.758,0.852941,0,94.2857,97.1429,0,48.5714,-65.7143,0.436625,0,0,22.8571,accident
48.9446,-8.13793,87.6651,0.431128,0.597927,54,22,18,6,51.9157,43.9394,20.9812,0,67.2414,97.7011,97.7011,45.4545,0,54.5455,0,30.0443,33.3333,1.14943,-39.8843,4.5977,0.223147,0.474313,41.6667,8.33333,0,50,32.9268,49.4253,-26.4368,118.977,98.8506,0.478109,0.335733,25,50,25,0,50.7622,46.8008,118.977,85.6322,0.333696,0.37224,57.8947,26.3158,0,15.7895,31.7073,89.6552,0.879541,100,0,0,45.9849,-21.4799,178.326,56.8966,0,50,40,12.069,0.789198,100,0,0,178.452,55.8278,39.5,36.2069,0.618754,0.455971,0,60,0,20.3384,56.0345,-52.6714,0.600823,100,0,11,178.61,114.436,18.1034,0.499807,0,0,0,100,10.8557,97.7241,178.326,0.200862,50,33.3333,16.6667,0,11.0792,49.1379,51.927,467.5,0.221288,75,25,0,33.3333,178.326,0.500525,0,16.6667,0,0,0,80,0.109232,0.644494,0,-22.8352,33.3333,0.27439,50,95.3488,71.3861,0,0,0.092076,6,46.4831,0.738649,0.419456,0,0,0,187.388,0.881506,100,0.123256,9.30233,0.217189,0,5.94884,0.578073,25,75,91.8605,100,0,0,0,0,0.885417,83.8235,17.6471,9.76562,100,38.1434,57.3529,292.969,75,80.8824,14.7059,55.8824,0.549224,0.459852,0,0,0,12.5,75.0732,84.9673,2.5,0.587203,0.322917,0,0,0,-253.906,100,48.5294,0.297592,48.5294,0.215686,0,0,179.993,0.188261,0,0,44.2962,-34.6441,66.1765,200.195,0,0,-19.6429,97.0588,0,54.4118,23.5294,0.642857,58.8235,0.481739,0,accident
47.7209,113.132,83.4245,0.30247,0.593384,43.2432,27.027,16.2162,13.5135,50.7165,43.8469,19.7118,0,64.0449,97.7528,94.382,41.6667,0,58.3333,0,28.1008,32.0225,14.7889,4.7871,5.05618,0.320387,0.46012,30,0,0,70,36.1434,51.3446,-26.2162,108.635,94.382,0.456085,0.496354,68.1818,22.7273,9.09091,0,25.436,44.5519,-92.9151,87.0787,0.318546,0.174476,21.4286,42.8571,0,35.7143,35,84.7458,0.727339,0,100,0,52.5424,-11.9013,218.462,42.3729,18.1818,45.4545,27.2727,11.8644,0.828947,100,0,0,-163.127,186.728,32,73.8983,0.562507,0.390905,0,80,0,16.3842,39.8305,169.283,0.070175,91.6667,0,12,335.488,211.668,16.3842,0.486583,0,0,0,100,10.11,-5.85337,160.486,0.129314,44.4444,44.4444,11.1111,0,10.11,46.4879,42.6694,83,0.175097,57.1429,42.8571,0,8.77193,-5.34892,0.21006,0,28.5714,0,0,0,80,0,0,0,24.3507,100,0.536557,40,95.4545,48.8173,0.192636,33.3333,0,3,42.0455,0.526925,0.473058,0,0,0,146.025,0.834055,100,0.499053,96.2121,0.297416,0,221.741,0.4441,100,0,86.3636,100,0,0,0,0,0.635212,77.1429,7.14286,8.65052,0,29.1597,35.7143,283.537,83.3333,80,18.5714,42.8571,0.434127,0.49326,0,0,0,13.2773,91.263,69.5238,74.5,0.360714,0.377451,2,0,0,8.65052,50,44.2857,0.191619,54.2857,0.087964,48.5714,0,171.321,0.080754,0,0,45.7143,-52.4798,67.1429,216.263,0,0,-27.1429,22.8571,0,38.5714,35.4178,0.64951,48.5714,0.455112,0,accident
51.729,-10.1541,71.2919,0.48364,0.56192,53.3333,26.6667,11.1111,8.88889,52.4617,41.8781,22.6785,0,65.9091,96.2187,92.6136,36.3636,0,63.6364,0,32.8587,33.5227,20.6686,63.59,25.5245,0.348844,0.550655,0,16.6667,0,83.3333,36.6466,54.3687,97.7273,120.966,94.3182,0.488867,0.469236,50,31.8182,18.1818,0,38.3534,48.2664,116.168,86.3636,0.808264,0.431772,25,58.3333,0,16.6667,39.4578,86.4407,0.831287,0,0,0,52.3827,41.2723,-77.6359,98.3051,0,60,40,6.77966,0.910909,0,0,0,3.30578,113.865,43,77.1186,0.545097,0.46158,0,66.6667,0,11.1864,41.5254,-92.562,0.839827,100,0,2,-68.5334,-38.4604,14.4068,0.411666,14.2857,0,0,85.7143,10.5393,-9.98095,157.785,0.240584,25,37.5,25,12.5,9.67643,49.1525,37.8928,145,0.176733,50,50,0,10.9091,165.442,0.713203,0,11.1111,0,84.0909,0,75,0,0,0,18.2247,60,0.407558,33.3333,95.4545,247.868,0.191378,33.3333,0,4,48.8636,0.817609,0.482971,0,0,0,166.568,0.834366,0,0.36452,97.7273,0.311484,0,5.94884,0.487835,66.6667,33.3333,84.0909,0,0,0,0,0,0.732143,77.1429,10,9.18274,0,20.2597,32.8571,-266.299,100,80,24.2857,42.8571,0.395918,0.523809,0,0,0,4.58874,43.0441,47.619,0.5,0.328571,0.237374,0,0,0,9.18274,100,48.5714,0.24373,48.5714,0.140952,48.5714,0.114286,171.877,0.121212,0,0,48.5714,247.934,65.7143,247.934,0,0,-14.2857,17.1429,0,32.8571,35.6901,0.671717,40,0.502707,0,accident
48.747,60.6164,97.0688,0.478734,0.616689,48.6486,27.027,10.8108,13.5135,49.1432,48.2542,22.1102,0,64.1975,97.5309,55.9671,55.5556,0,44.4444,0,31.6456,37.037,1.23457,-59.2854,24.9383,0.206401,0.133872,60,10,0,30,30.538,51.041,-10.5768,113.52,51.5432,0.360418,0.530161,14.2857,42.8571,42.8571,0,39.557,45.6389,-96.9777,82.0988,0.447452,0.456893,50,31.25,6.25,12.5,36.8495,86.1111,0.815241,100,0,0,51.3187,50.3193,186.715,20.3704,33.3333,11.1111,0,22.2222,0.486164,20,0,80,12.0839,118.047,123.5,76.3889,0.558849,0.404299,0,75,0,4.71698,49.0741,118.402,0.586478,100,0,2,108.395,85.1426,63.5802,0.68239,66.6667,0,0,33.3333,10.6569,103.139,152.724,0.155859,42.8571,42.8571,14.2857,0,12.2292,52.2398,56.9299,149.5,0.119399,62.5,37.5,0,11.3208,198.103,0.61989,0,16.6667,0,88.75,0,50,0.0875,0.130342,0,130,33.3333,0.373884,66.6667,95,2.19154,0.042735,0,0.046296,3,41.25,0.752094,0.234724,25,5,0.923077,180.802,0.84125,0,0.127083,2.85714,0,0,302.433,0.471862,0,100,95,0,0,0,0,0,0.747312,76.5625,12.5,10.4058,0,8.97177,50,234.662,100,0,21.875,39.0625,0.356399,0.548643,0,0,0,13.1048,227.302,26.875,80.5,0.382812,0.43181,2,0,0,593.132,100,48.4375,0.248146,50,0.14429,48.4375,0,239.334,0,0,0,42.1875,-18.2102,54.6875,166.493,0,0,59.1667,34.375,0,48.4375,40.625,0.204301,81.25,0.336021,7.8125,accident
