@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 2 -N 15-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 50'

@attribute Airs_Center_X_0_9 numeric
@attribute Airs_Center_X_0_16 numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Airs_Center_X_0_4 numeric
@attribute Hough_Lines_DiagonalPos_3_4 numeric
@attribute Airs_Center_X_2_9 numeric
@attribute Airs_Center_X_0_25 numeric
@attribute Hough_Lines_Horizontal_4_9 numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Airs_Center_X_7_16 numeric
@attribute Hough_Lines_Vertical_4_9 numeric
@attribute Airs_Center_Y_9_25 numeric
@attribute Mass_Center_Y_0_9 numeric
@attribute Mass_Center_Y_2_9 numeric
@attribute Airs_Center_X_14_25 numeric
@attribute Airs_Center_X_17_25 numeric
@attribute Airs_Center_X_20_25 numeric
@attribute Airs_Center_X_9_16 numeric
@attribute Mass_Center_Y_0_16 numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Airs_Center_X_4_25 numeric
@attribute Hough_Lines_DiagonalNeg_1_4 numeric
@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_1_X_9_25 numeric
@attribute Mass_Center_X_0_25 numeric
@attribute Airs_Center_X_7_25 numeric
@attribute Mass_Center_X_7_16 numeric
@attribute Mass_Center_Y_7_9 numeric
@attribute Airs_Center_X_4_9 numeric
@attribute Harris_Corners_X_0_16 numeric
@attribute Airs_Center_X_12_25 numeric
@attribute Hough_Lines_Horizontal_1_9 numeric
@attribute Hough_Lines_DiagonalNeg_3_4 numeric
@attribute Mass_Center_Y_8_9 numeric
@attribute Harris_Corners_X_0_25 numeric
@attribute Airs_Center_X_8_25 numeric
@attribute Airs_Center_X_1_4 numeric
@attribute Airs_Triangle_1_X_0_25 numeric
@attribute Airs_Center_X_15_16 numeric
@attribute Black_Pixel_4_9 numeric
@attribute Airs_Center_X_2_4 numeric
@attribute Airs_Center_X_2_25 numeric
@attribute Mass_Center_Y_9_16 numeric
@attribute Hough_Lines_DiagonalPos_0_4 numeric
@attribute Airs_Center_X_5_25 numeric
@attribute Airs_Triangle_1_Y_4_9 numeric
@attribute Airs_Center_X_7_9 numeric
@attribute Airs_Center_X_24_25 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
84.4444,0,20.6897,65.4412,8.69565,11.1111,0,0,20.177,17.2414,39.7059,100,146.924,0.78125,0.84375,48.1481,44.4444,0,0,0,48.2759,13.7931,55.2083,33.3333,43.8929,40.7407,0,0,0.763951,0.418377,58.8889,97.0588,48.1481,0,13.0435,0.496624,0,0,31.6176,0,88.2353,11.2302,48.5294,79.6296,0,44.4444,81.4815,3.18878,50.4953,0,accident
81.5789,0,25,63.1579,5,0,0,0,17.2303,6.25,38.2574,85.7143,166.468,0,0,47.7273,37.4633,0,0,0,43.75,25,38.6364,28.5714,48.6682,-18.1818,0,70.4545,0.682842,0.348413,52.6316,89.2857,43.1818,0,5,0.452257,0,0,25.4386,0,62.5,20.0658,54.8614,86.3636,0,9.09091,63.6364,4.34028,48.6842,0,accident
84.1463,0,17.8571,64.7541,0,0,0,0,21.3187,10.7143,39.8936,60,92.3798,0,0,47.9167,39.8438,0,0,0,42.8571,28.5714,47.9167,100,46.6279,43.3333,0,66.6667,0.728968,0.162496,43.9024,88.8889,22.9167,0,27.2727,0.41956,83.3333,89.5833,26.2295,0,68.3333,17.5921,48.2658,77.0833,0,18.1818,43.75,-53.3146,52.439,0,accident
0,0,31.25,74.1379,4.7619,0,0,0,20.1889,9.375,42.1601,100,105.556,0,0,47.8261,46.3439,0,0,0,50,9.375,63.0435,50,42.461,80.9436,0,65.2174,0.596658,0.364949,48.6842,0,45.6522,0,23.8095,0.460688,0,8.69565,25,0,44.8276,17.7503,50.8621,0,0,25,63.0435,3.84468,40.7895,0,accident
90.2174,0,22.5,69.2857,0,2.17391,0,20,18.8375,7.5,41.4286,80,119.646,0,0,48.2143,44.6429,0,0,0,52.5,17.5,42.8571,50,48.9835,86.9048,0,75,0.707107,0.172992,57.6087,47.1429,48.2143,0,19.2308,0.478296,58.9286,7.14286,28.5714,0,48.5714,15.7997,55.4467,0,0,25,69.6429,15.5558,45.6894,0,accident
0,0,28.9474,69.6629,15,31.3559,0,0,21.8365,28.9474,44.3182,100,233.564,0,0.336061,48.5714,48.5714,0,20.4545,0,31.5789,10.5263,81.4286,29.4118,48.1441,88.8312,0,54.2857,0.495529,0.113262,40.678,0,51.4286,14.2857,10,0.606406,0,0,41.0112,0,0,11.0913,51.4031,84.2857,0.607747,100,2.85714,3.07787,52.0578,22.8571,accident
89.6552,0,22,67.2414,0,12.069,0,0,20.9812,18,46.4831,100,75.0732,0.879541,0.789198,0,44.2962,0,0,0,54,6,57.3529,50,48.9446,84.9673,0,55.8824,0.738649,0.221288,56.0345,0,48.5294,0,15.7895,0.500525,0,0,33.3333,0,91.8605,20.3384,49.4253,83.8235,0,54.5455,80.8824,-52.6714,49.1379,0,accident
84.7458,0,27.027,64.0449,0,11.8644,0,0,19.7118,16.2162,42.0455,91.6667,91.263,0.727339,0.828947,48.5714,45.7143,0,0,0,43.2432,13.5135,35.7143,70,47.7209,69.5238,0,42.8571,0.526925,0.175097,39.8305,0,44.2857,18.1818,35.7143,0.21006,0,0,32.0225,0,86.3636,16.3842,51.3446,77.1429,0,58.3333,80,169.283,46.4879,0,accident
86.4407,0,26.6667,65.9091,0,6.77966,0,0,22.6785,11.1111,48.8636,100,43.0441,0.831287,0.910909,48.5714,48.5714,0,0,0,53.3333,8.88889,32.8571,83.3333,51.729,47.619,0,42.8571,0.817609,0.176733,41.5254,84.0909,48.5714,0,16.6667,0.713203,0,0,33.5227,0,84.0909,11.1864,54.3687,77.1429,0,63.6364,80,-92.562,49.1525,0,accident
86.1111,0,27.027,64.1975,6.25,22.2222,0,0,22.1102,10.8108,41.25,100,227.302,0.815241,0.486164,48.4375,42.1875,0,5,0,48.6486,13.5135,50,30,48.747,26.875,0,39.0625,0.752094,0.119399,49.0741,88.75,48.4375,33.3333,12.5,0.61989,0,0,37.037,0,95,4.71698,51.041,76.5625,0.923077,44.4444,0,118.402,52.2398,7.8125,accident
