@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 50'

@attribute Airs_Center_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Airs_Center_X_2 numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Airs_Center_X_8 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Mass_Center_Y_0 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Airs_Center_X_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Airs_Triangle_1_X_0 numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Airs_Triangle_1_Y_4 numeric
@attribute Black_Pixel_4 numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Airs_Center_X_GLOBAL numeric
@attribute Mass_Center_Y_8 numeric
@attribute Mass_Center_X_2 numeric
@attribute Airs_Center_X_5 numeric
@attribute Mass_Center_X_8 numeric
@attribute Mass_Center_Y_7 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Mass_Center_Y_4 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Center_X_3 numeric
@attribute Hough_Lines_Nb_4 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Airs_Center_X_1 numeric
@attribute Hough_Lines_DiagonalPos_6 numeric
@attribute Mass_Center_X_6 numeric
@attribute Airs_Triangle_1_Y_8 numeric
@attribute Airs_Center_Y_7 numeric
@attribute Black_Pixel_7 numeric
@attribute Airs_Length_Contours_4 numeric
@attribute Mass_Center_Y_3 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Airs_Triangle_1_X_GLOBAL numeric
@attribute Hough_Lines_Horizontal_7 numeric
@attribute Hough_Lines_Horizontal_6 numeric
@attribute Airs_Center_X_6 numeric
@attribute Mass_Center_X_7 numeric
@attribute Airs_Triangle_1_Y_7 numeric
@attribute Mass_Center_Y_1 numeric
@attribute Hough_Lines_DiagonalPos_8 numeric
@attribute Airs_Triangle_1_X_7 numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_DiagonalNeg_7 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
84.4444,0.838889,20.6897,11.1111,20.177,17.2414,35.5556,100,0.78125,0.84375,58.8889,0,100.084,13.7931,3.18878,11.2302,48.2759,43.8929,0.496624,0.088889,38.8889,0.77767,0.418377,0,0.299222,96.6667,50.4953,57.7778,9,86.0969,46.6667,25,0.104678,-7.83907,114.22,13.7698,251,0.279762,0,45.6147,23.0769,50,48.3676,0.66913,-26.6794,0.352181,20,80.5185,0.576855,7.69231,accident
81.5789,0,25,0,17.2303,6.25,40.2632,85.7143,0,0,52.6316,0,100,25,4.34028,20.0658,43.75,48.6682,0.452257,0,26.3158,0.703673,0.348413,0,0.304365,96.1538,48.6842,59.2105,7,101.997,48.6842,20,0.326289,-16.1985,105.227,22.6425,22.5,0,0,39.0481,5.88235,20,49.8763,0.43803,209.105,0.464368,0,1.28655,0.693668,41.1765,accident
84.1463,0,17.8571,0,21.3187,10.7143,42.3477,60,0,0,43.9024,0,95.1219,28.5714,-53.3146,17.5921,42.8571,46.6279,0.41956,0,20.7317,0.670126,0.162496,0,0.342756,97.561,52.439,62.1951,5,104.12,34.1463,14.2857,0.21608,186.32,101.856,16.191,332.5,0,0,32.6914,25,28.5714,43.5413,0.222326,-97.3991,0.463799,11.1111,14.3324,0.648447,8.33333,accident
0,0,31.25,0,20.1889,9.375,42.0135,100,0,0,48.6842,0,0,9.375,3.84468,17.7503,50,42.461,0.460688,0,23.6842,0.621704,0.364949,0,0.234749,97.3684,40.7895,71.0526,6,111.496,50,33.3333,0.13585,-10.4734,90.3499,21.0526,510,0.661011,0,48.349,33.3333,33.3333,44.195,0.383946,-138.67,0.515795,0,38.5839,0.66426,20,accident
90.2174,0,22.5,2.17391,18.8375,7.5,39.2036,80,0,0,57.6087,20,84.7826,17.5,15.5558,15.7997,52.5,48.9835,0.478296,0,36.9565,0.787769,0.172992,0,0.054828,97.1014,45.6894,71.7391,10,87.6913,56.5217,37.5,0.262365,-18.4136,93.258,17.8183,32,0,0,-0.913971,42.8571,25,55.5586,0.380665,-31.6667,0.355192,0,58.6741,0.600527,14.2857,accident
0,0,28.9474,31.3559,21.8365,28.9474,42.3729,100,0,0.336061,40.678,0,0,10.5263,3.07787,11.0913,31.5789,48.1441,0.606406,0.298348,68.6441,0.472042,0.113262,14.2857,0.327973,85.5932,52.0578,66.1017,5,86.1804,49.1525,42.8571,0.128614,-30.4367,116.262,8.05828,253.5,0.435316,0,-5.55039,75,57.1429,51.2681,0.249821,160.049,0.302909,30,96.6102,0.542678,0,accident
89.6552,0.920238,22,12.069,20.9812,18,47.6994,100,0.879541,0.789198,56.0345,0,82.7586,6,-52.6714,20.3384,54,48.9446,0.500525,0.099425,41.3793,0.75373,0.221288,0,0.600823,93.9655,49.1379,60.3448,11,90.8779,45.9849,16.6667,0.200862,178.326,113.904,11.0792,85.5,0.455971,0,-8.13793,25,33.3333,48.8923,0.358768,-9.75013,0.465643,0,51.927,0.597927,0,accident
84.7458,0.865819,27.027,11.8644,19.7118,16.2162,44.8003,91.6667,0.727339,0.828947,39.8305,0,96.6102,13.5135,169.283,16.3842,43.2432,47.7209,0.21006,0.060735,41.5254,0.401626,0.175097,18.1818,0.070175,97.6271,46.4879,52.5424,12,86.1804,52.5424,11.1111,0.129314,-5.34892,104.314,10.11,68.5,0.390905,0,113.132,42.8571,44.4444,53.2567,0.206095,-37.9991,0.423288,0,42.6694,0.593384,0,accident
86.4407,0.88829,26.6667,6.77966,22.6785,11.1111,48.58,100,0.831287,0.910909,41.5254,0,96.6102,8.88889,-92.562,11.1864,53.3333,51.729,0.713203,0.042373,39.8305,0.85573,0.176733,0,0.839827,78.8136,49.1525,57.6271,2,89.2562,52.3827,25,0.240584,165.442,161.983,9.67643,4,0.46158,0,-10.1541,50,37.5,50.2646,0.127847,64.5432,0.248726,0,37.8928,0.56192,0,accident
86.1111,0.87963,27.027,22.2222,22.1102,10.8108,43.0459,100,0.815241,0.486164,49.0741,0,69.8873,13.5135,118.402,4.71698,48.6486,48.747,0.61989,0.171605,55.5556,0.786651,0.119399,33.3333,0.586478,98.1481,52.2398,55.5556,2,92.5596,51.3187,14.2857,0.155859,198.103,112.03,12.2292,0.5,0.404299,0,60.6164,37.5,42.8571,50.2878,0.266686,-17.8655,0.324244,0,56.9299,0.616689,0,accident
0,0,32.1429,10,39.5763,14.2857,48.75,100,0,0.794872,76.25,0,0,14.2857,39.4477,7.88462,39.2857,47.24,0.413082,0.05625,35,0.724908,0,0,0.497182,0,48.75,0,2,0,50,42.8571,0.03125,-8.80935,203.813,11.859,111.5,0,0,-3.48152,100,42.8571,44.5246,0,165.377,0.346382,0,95,0.335504,0,accident
0,0,28,0,25.4673,24,47.2992,100,0,0,52.9412,0,0,8,294.223,14.3697,40,48.6604,0.521447,0,17.6471,0.561256,0.20233,0,0.273016,95.5882,48.2665,77.9412,2,179.592,51.4706,60,0.150735,-40.8163,218.196,13.7815,135,0.659552,0,58.087,100,40,47.0588,0.277117,68.6699,0.471799,0,58.4984,0.470957,0,accident
93.0233,0.930233,40,0,26.5289,24,47.7449,75,0.888889,0,53.4884,0,90.6977,20,-91.3148,13.5013,16,47.4728,0.327511,0,19.7674,0.596202,0,0,0.335709,91.8605,48.8372,68.6047,4,135.031,40.6977,33.3333,0.118182,-27.1306,192.901,12.5323,136,0.494542,0,45.4871,100,33.3333,46.6551,0,162.037,0.573106,0,17.8295,0.634195,0,accident
