@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_1_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Y_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_1_X_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Mass_Center_Y_0 numeric
@attribute Hough_Lines_Vertical_0 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Hough_Lines_DiagonalPos_0 numeric
@attribute Hough_Lines_DiagonalNeg_0 numeric
@attribute Hough_Circles_Radius_0 numeric
@attribute Airs_Center_X_1 numeric
@attribute Airs_Triangle_1_X_1 numeric
@attribute Airs_Triangle_1_Y_1 numeric
@attribute Harris_Corners_X_1 numeric
@attribute Mass_Center_Y_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Hough_Lines_DiagonalPos_1 numeric
@attribute Hough_Lines_DiagonalNeg_1 numeric
@attribute Airs_Center_X_2 numeric
@attribute Harris_Corners_X_2 numeric
@attribute Mass_Center_X_2 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Hough_Lines_Vertical_2 numeric
@attribute Hough_Lines_DiagonalPos_2 numeric
@attribute Hough_Lines_DiagonalNeg_2 numeric
@attribute Airs_Center_X_3 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Airs_Triangle_1_Y_3 numeric
@attribute Airs_Length_Contours_3 numeric
@attribute Harris_Corners_X_3 numeric
@attribute Mass_Center_X_3 numeric
@attribute Mass_Center_Y_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Black_Pixel_4 numeric
@attribute Airs_Center_X_4 numeric
@attribute Airs_Triangle_1_Y_4 numeric
@attribute Airs_Length_Contours_4 numeric
@attribute Mass_Center_Y_4 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Hough_Lines_Nb_4 numeric
@attribute Airs_Center_X_5 numeric
@attribute Airs_Triangle_1_Y_5 numeric
@attribute Airs_Triangle_2_X_5 numeric
@attribute Harris_Corners_X_5 numeric
@attribute Mass_Center_Y_5 numeric
@attribute Hough_Lines_Vertical_5 numeric
@attribute Hough_Lines_Horizontal_5 numeric
@attribute Hough_Lines_DiagonalPos_5 numeric
@attribute Hough_Lines_DiagonalNeg_5 numeric
@attribute Black_Pixel_6 numeric
@attribute Airs_Center_X_6 numeric
@attribute Airs_Triangle_1_X_6 numeric
@attribute Airs_Triangle_1_Y_6 numeric
@attribute Mass_Center_X_6 numeric
@attribute Mass_Center_Y_6 numeric
@attribute Hough_Lines_Vertical_6 numeric
@attribute Hough_Lines_Horizontal_6 numeric
@attribute Hough_Lines_DiagonalPos_6 numeric
@attribute Hough_Lines_DiagonalNeg_6 numeric
@attribute Black_Pixel_7 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Center_Y_7 numeric
@attribute Airs_Triangle_1_X_7 numeric
@attribute Airs_Triangle_1_Y_7 numeric
@attribute Airs_Length_Contours_7 numeric
@attribute Mass_Center_X_7 numeric
@attribute Mass_Center_Y_7 numeric
@attribute Hough_Lines_Vertical_7 numeric
@attribute Hough_Lines_Horizontal_7 numeric
@attribute Hough_Lines_DiagonalNeg_7 numeric
@attribute Airs_Center_X_8 numeric
@attribute Airs_Triangle_1_Y_8 numeric
@attribute Mass_Center_X_8 numeric
@attribute Mass_Center_Y_8 numeric
@attribute Hough_Lines_Vertical_8 numeric
@attribute Hough_Lines_DiagonalPos_8 numeric
@attribute Hough_Lines_DiagonalNeg_8 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
43.8929,45.6147,48.4646,0.420708,0.576855,48.2759,20.6897,17.2414,13.7931,46.7153,44.9939,20.177,1,84.4444,100.084,96.6667,0.838889,0.78125,75,0,25,0,46.4286,46.6667,-37.7778,26.7857,33.3333,0.352181,0,37.5,37.5,11.1111,1.11111,0.088889,0.84375,100,0,0,57.7778,86.0969,-104.521,66,75.5556,0.640741,0.279762,100,0,0,11.2302,58.8889,3.18878,251,0.299222,100,0,9,38.8889,155.453,96.2963,36.5079,0.642411,0,0,0,100,8.80952,48.3676,2.22222,162.628,0.104678,0.624608,25,50,25,0,13.7698,50.4953,114.22,80.5185,-26.6794,375.5,0.66913,0.418377,53.8462,23.0769,7.69231,35.5556,-7.83907,0.77767,0.496624,20,20,20,accident
48.6682,39.0481,58.3354,0.496419,0.693668,43.75,25,6.25,25,52.4123,52.911,17.2303,1,81.5789,100,96.1538,0,0,100,0,0,0,50,48.6842,-16.6667,-60.7639,34.2105,0.464368,0,0,83.3333,0,17.1053,0,0,0,0,0,59.2105,101.997,0.93563,9.5,46.9925,0,0,100,0,0,20.0658,52.6316,4.34028,22.5,0.304365,85.7143,0,7,26.3158,243.284,167.663,1.8797,0.574018,60,0,0,40,15.0219,49.8763,43.145,-10.3651,0.326289,0.705124,40,20,20,20,22.6425,48.6842,105.227,1.28655,209.105,439,0.43803,0.348413,29.4118,5.88235,41.1765,40.2632,-16.1985,0.703673,0.452257,25,0,25,accident
46.6279,32.6914,55.235,0.313533,0.648447,42.8571,17.8571,10.7143,28.5714,55.4239,46.5934,21.3187,1,84.1463,95.1219,97.561,0,0,100,0,0,0,57.4468,34.1463,46.005,108.49,6.09756,0.463799,0,0,66.6667,0,0,0,0,0,0,0,62.1951,104.12,4.52694,12,75.1219,0,0,50,50,0,17.5921,43.9024,-53.3146,332.5,0.342756,60,0,5,20.7317,87.3052,5.94884,1.21951,0.727356,0,0,0,100,16.0872,43.5413,43.0185,-15.7362,0.21608,0.814618,57.1429,28.5714,14.2857,0,16.191,52.439,101.856,14.3324,-97.3991,475,0.222326,0.162496,66.6667,25,8.33333,42.3477,186.32,0.670126,0.41956,22.2222,11.1111,44.4444,accident
42.461,48.349,50.4197,0.438765,0.66426,50,31.25,9.375,9.375,57.9415,50.6887,20.1889,1,0,0,97.3684,0,0,0,0,0,0,0,50,46.3816,-19.2234,52.6316,0.515795,0,16.6667,16.6667,0,1.31579,0,0,0,0,0,71.0526,111.496,34.6021,11,97.3684,0.725911,0.661011,0,100,0,17.7503,48.6842,3.84468,510,0.234749,100,0,6,23.6842,-1.28156,6.92521,1.31579,0.472222,50,0,0,50,14.1383,44.195,50.6865,-14.8772,0.13585,0.177613,33.3333,33.3333,33.3333,0,21.0526,40.7895,90.3499,38.5839,-138.67,698.5,0.383946,0.364949,33.3333,33.3333,20,42.0135,-10.4734,0.621704,0.460688,0,0,60,accident
48.9835,-0.913971,53.6461,0.407045,0.600527,52.5,22.5,7.5,17.5,49.972,47.0588,18.8375,1,90.2174,84.7826,97.1014,0,0,100,0,0,0,0,56.5217,23.7368,-30.0533,52.1739,0.355192,0,14.2857,42.8571,2.17391,1.08696,0,0,0,0,0,71.7391,87.6913,172.194,13,85.8696,0,0,66.6667,33.3333,0,15.7997,57.6087,15.5558,32,0.054828,80,20,10,36.9565,0.760238,15.6174,1.08696,0.50549,0,0,0,100,13.0435,55.5586,99.0044,162.438,0.262365,0.596287,37.5,25,37.5,0,17.8183,45.6894,93.258,58.6741,-31.6667,384.5,0.380665,0.172992,21.4286,42.8571,14.2857,39.2036,-18.4136,0.787769,0.478296,33.3333,0,22.2222,accident
48.1441,-5.55039,56.3315,0.416762,0.542678,31.5789,28.9474,28.9474,10.5263,44.6106,43.3482,21.8365,0,0,0,85.5932,0,0,0,0,0,0,0,49.1525,-19.6126,169.283,72.8814,0.302909,14.2857,85.7143,0,31.3559,42.0339,0.298348,0.336061,28.5714,0,71.4286,66.1017,86.1804,249.307,135.5,91.5254,0.692618,0.435316,0,100,0,11.0913,40.678,3.07787,253.5,0.327973,100,0,5,68.6441,-117.798,73.6466,67.1186,0,66.6667,0,0,33.3333,8.44484,51.2681,104.809,143.709,0.128614,0.121087,0,57.1429,42.8571,0,8.05828,52.0578,116.262,96.6102,160.049,117,0.249821,0.113262,25,75,0,42.3729,-30.4367,0.472042,0.606406,30,30,0,accident
48.9446,-8.13793,87.6651,0.431128,0.597927,54,22,18,6,51.9157,43.9394,20.9812,0,89.6552,82.7586,93.9655,0.920238,0.879541,100,0,0,0,0,45.9849,-21.4799,178.326,56.8966,0.465643,0,50,40,12.069,1.23153,0.099425,0.789198,100,0,0,60.3448,90.8779,178.452,39.5,36.2069,0.618754,0.455971,40,60,0,20.3384,56.0345,-52.6714,85.5,0.600823,100,0,11,41.3793,178.61,114.436,18.1034,0.499807,0,0,0,100,10.8557,48.8923,97.7241,178.326,0.200862,0.361883,50,33.3333,16.6667,0,11.0792,49.1379,113.904,51.927,-9.75013,467.5,0.358768,0.221288,75,25,0,47.6994,178.326,0.75373,0.500525,33.3333,0,16.6667,accident
47.7209,113.132,83.4245,0.30247,0.593384,43.2432,27.027,16.2162,13.5135,50.7165,43.8469,19.7118,0,84.7458,96.6102,97.6271,0.865819,0.727339,0,0,100,0,49.7076,52.5424,-11.9013,218.462,42.3729,0.423288,18.1818,45.4545,27.2727,11.8644,0.847458,0.060735,0.828947,100,0,0,52.5424,86.1804,-163.127,32,73.8983,0.562507,0.390905,20,80,0,16.3842,39.8305,169.283,68.5,0.070175,91.6667,0,12,41.5254,335.488,211.668,16.3842,0.486583,0,0,0,100,10.11,53.2567,-5.85337,160.486,0.129314,0.49878,44.4444,44.4444,11.1111,0,10.11,46.4879,104.314,42.6694,-37.9991,83,0.206095,0.175097,57.1429,42.8571,0,44.8003,-5.34892,0.401626,0.21006,14.2857,0,28.5714,accident
51.729,-10.1541,71.2919,0.48364,0.56192,53.3333,26.6667,11.1111,8.88889,52.4617,41.8781,22.6785,0,86.4407,96.6102,78.8136,0.88829,0.831287,0,0,0,0,0,52.3827,41.2723,-77.6359,98.3051,0.248726,0,60,40,6.77966,0.847458,0.042373,0.910909,0,0,0,57.6271,89.2562,3.30578,43,77.1186,0.545097,0.46158,33.3333,66.6667,0,11.1864,41.5254,-92.562,4,0.839827,100,0,2,39.8305,-68.5334,-38.4604,14.4068,0.411666,14.2857,0,0,85.7143,10.5393,50.2646,-9.98095,157.785,0.240584,0.495791,25,37.5,25,12.5,9.67643,49.1525,161.983,37.8928,64.5432,145,0.127847,0.176733,50,50,0,48.58,165.442,0.85573,0.713203,44.4444,0,11.1111,accident
48.747,60.6164,97.0688,0.478734,0.616689,48.6486,27.027,10.8108,13.5135,49.1432,48.2542,22.1102,0,86.1111,69.8873,98.1481,0.87963,0.815241,100,0,0,0,0,51.3187,50.3193,186.715,20.3704,0.324244,33.3333,11.1111,0,22.2222,0.925926,0.171605,0.486164,20,0,80,55.5556,92.5596,12.0839,123.5,76.3889,0.558849,0.404299,25,75,0,4.71698,49.0741,118.402,0.5,0.586478,100,0,2,55.5556,108.395,85.1426,63.5802,0.68239,66.6667,0,0,33.3333,10.6569,50.2878,103.139,152.724,0.155859,0.437568,42.8571,42.8571,14.2857,0,12.2292,52.2398,112.03,56.9299,-17.8655,149.5,0.266686,0.119399,62.5,37.5,0,43.0459,198.103,0.786651,0.61989,33.3333,0,16.6667,accident
