%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE black_pixel NUMERIC
@ATTRIBUTE HarrisCorners NUMERIC
@ATTRIBUTE Airs NUMERIC
@ATTRIBUTE Taille_coutours NUMERIC
@ATTRIBUTE class {accident, bomb, car, casualty, electricity, fire-brigade, flood, gas, injury, paramedics, person police, road-block}

@DATA
1465,57550,114,917.796,accident
1420,58574,480.5,792.482,accident
1316,57901,882,422.191,accident
1271,58825,73,756.274,accident
1331,58613,889.5,444.86,accident
1270,59093,381.5,813.37,accident
1519,14,916,430.877,accident
1521,404,99.5,552.34,accident
1423,112,84,812.5,accident
1533,57816,974,466.818,accident
1226,58,768.5,348.978,accident
1273,57054,274.5,800.257,accident
1333,48,83.5,417.22,accident
1296,57018,912,695.436,accident
1771,77,1004.5,473.061,accident
1439,56602,952.5,476.434,accident
1526,57038,953.5,439.061,accident
1868,32,1176.5,542.659,accident
1806,56943,173.5,990.825,accident
1607,58424,854.5,430.777,accident
1505,26,127,911.176,accident
1406,57095,863,418.735,accident
1377,59208,116,804.441,accident
1333,58037,847.5,372.635,accident
831,109,97.5,666.482,accident
1083,147,267,660.299,accident
1139,22,297,573.428,accident
1057,58871,1494.5,455.63,accident
895,58043,622.5,256.066,accident
429,59144,225,164.51,bomb
538,57987,35.5,249.179,bomb
578,58366,114,254.25,bomb
606,58659,155.5,301.22,bomb
596,58254,30,207.823,bomb
1123,58385,49.5,347.747,bomb
1000,58484,3357,512.014,bomb
1138,58611,125.5,791.193,bomb
1267,58127,67,426.073,bomb
1132,58058,2233,397.546,bomb
1074,58427,91.5,580.34,bomb
1266,58455,4350,372.333,bomb
1124,58239,201.5,320.676,bomb
1296,58091,239,1043.02,bomb
1398,57288,207,405.161,bomb
1821,59448,130,999.744,bomb
1898,59285,88,695.21,bomb
1911,58495,116.5,872.791,bomb
1843,59267,79.5,697.169,bomb
1907,58291,64.5,549.63,bomb
1124,59170,60,416.617,bomb
1112,57688,49,399.505,bomb
1367,58409,72,580.843,bomb
1732,65439,50.5,482.971,bomb
1198,54,313.5,614.683,bomb
888,58792,55.5,459.688,bomb
1011,57523,189,443.203,bomb
1048,57979,103,648.524,bomb
1012,59195,55,384.818,bomb
1219,57989,859,395.647,bomb
2237,58582,388.5,870.056,car
2303,3,1084.5,506.291,car
2286,58266,1041,463.563,car
2174,22,641,1051.16,car
1831,203,129.5,1048.16,car
2205,18,947.5,692.274,car
2378,56898,347,1388.55,car
2298,57127,297.5,1651.07,car
2188,114,145.5,1573.33,car
2397,56501,123.5,895.026,car
1575,59517,1575,647.245,car
1354,78,65.5,939.11,car
1509,58283,962.5,833.997,car
1550,58460,63,839.186,car
1647,7,1594.5,683.914,car
2235,57926,1082,499.304,car
1914,18,1290,589.505,car
2049,161,6069.5,670.073,car
1983,58834,143.5,1414.93,car
2032,58223,218.5,1091.74,car
2135,7,1079.5,474.576,car
2052,57750,201,835.068,car
1933,14,889.5,890.08,car
1772,56909,171,502.333,car
2044,84,4404.5,467.362,car
2675,59513,1474,660.416,car
3586,55921,1231,2558.03,car
3348,57232,925,2410.11,car
3424,59380,79,1249.01,car
3303,56239,984,1889.3,car
1049,59107,58,631.73,car
1285,54,102.5,1126.25,car
1357,57810,470.5,631.269,car
1476,31,64,538.843,car
1670,184,667.5,282.693,car
1952,59703,184,967.436,car
1852,77,491,824.08,car
1947,53,348,558.5,car
2052,138,233,971.661,car
2000,58713,69,693.387,car
1541,10,697.5,606.423,casualty
1401,7,148.5,817.703,casualty
1217,7,137,557.151,casualty
1379,214,622.5,400.434,casualty
1212,58082,68.5,601.914,casualty
