%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel  NUMERIC
@ATTRIBUTE  White_Pixel  NUMERIC
@ATTRIBUTE  Airs  NUMERIC
@ATTRIBUTE  Contours_size  NUMERIC
@ATTRIBUTE  Harris_Corners  NUMERIC
@ATTRIBUTE  Length_Area  NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
1645,-1645,301,639,109,639,accident
2565,-2565,212,860,217,860,accident
1507,-1507,127,584,12,584,accident
1798,-1798,543,457,98,457,accident
1999,-1999,76,816,26,816,accident
3035,-3035,120,438,19577,438,accident
2219,-2219,178,744,18924,744,accident
2208,-2208,126,1213,19347,1213,accident
1571,-1571,146,761,19466,761,accident
2270,-2270,130,1293,19543,1293,accident
1300,-1300,99,476,52,476,accident
1496,-1496,222,524,19443,524,accident
1432,-1432,84,612,17,612,accident
1735,-1735,86,894,19360,894,accident
1651,-1651,175,832,19152,832,accident
1312,-1312,130,986,8,986,accident
1301,-1301,75,920,18901,920,accident
1095,-1095,54,624,18775,624,accident
1305,-1305,56,557,10,557,accident
1398,-1398,63,881,10,881,accident
2816,-2816,46,381,19583,381,accident
2289,-2289,153,1073,19470,1073,accident
1996,-1996,180,925,19590,925,accident
2414,-2414,75,761,19270,761,accident
2504,-2504,283,576,19546,576,accident
1168,-1168,28,350,19347,350,accident
1108,-1108,111,574,22,574,accident
1135,-1135,139,260,30,260,accident
1241,-1241,59,459,5,459,accident
1428,-1428,115,780,19415,780,accident
1538,-1538,63,1067,19514,1067,accident
1299,-1299,35,306,10,306,accident
1651,-1651,53,583,19242,583,accident
1557,-1557,47,378,19038,378,accident
2114,-2114,333,989,5,989,accident
1853,-1853,92,714,19396,714,accident
1934,-1934,61,1416,19130,1416,accident
1687,-1687,47,745,19536,745,accident
2408,-2408,106,557,17951,557,accident
2360,-2360,266,739,18933,739,accident
1664,-1664,126,1660,6,1660,accident
1364,-1364,47,808,6,808,accident
1781,-1781,133,662,19277,662,accident
1648,-1648,167,1530,19279,1530,accident
1751,-1751,124,882,19065,882,accident
763,-763,86,580,19431,580,bomb
875,-875,87,613,19585,613,bomb
796,-796,2962,822,19271,822,bomb
904,-904,64,430,19382,430,bomb
823,-823,43,322,19378,322,bomb
942,-942,47,277,19508,277,bomb
779,-779,88,384,18850,384,bomb
929,-929,3871,379,19401,379,bomb
874,-874,3778,715,19380,715,bomb
949,-949,126,764,26,764,bomb
751,-751,58,420,19310,420,bomb
877,-877,98,606,19566,606,bomb
804,-804,117,779,19569,779,bomb
634,-634,67,430,3,430,bomb
730,-730,55,383,19361,383,bomb
773,-773,61,361,19406,361,bomb
715,-715,780,532,19416,532,bomb
945,-945,41,225,19533,225,bomb
904,-904,1670,445,19435,445,bomb
991,-991,53,322,19585,322,bomb
1391,-1391,3287,993,19493,993,bomb
914,-914,46,230,19564,230,bomb
1537,-1537,89,543,19586,543,bomb
1116,-1116,65,433,14,433,bomb
1014,-1014,42,291,19593,291,bomb
1045,-1045,81,729,19592,729,bomb
941,-941,2035,522,19459,522,bomb
758,-758,74,510,19580,510,bomb
759,-759,1747,751,19472,751,bomb
908,-908,150,861,19564,861,bomb
1238,-1238,3233,475,19469,475,bomb
1073,-1073,82,741,19580,741,bomb
1006,-1006,2767,611,19252,611,bomb
939,-939,70,694,19521,694,bomb
915,-915,208,1069,19518,1069,bomb
763,-763,84,298,19553,298,bomb
523,-523,72,330,20,330,bomb
837,-837,75,415,19442,415,bomb
658,-658,44,343,19137,343,bomb
817,-817,82,560,19572,560,bomb
1496,-1496,825,901,19593,901,bomb
1219,-1219,70,299,19563,299,bomb
1175,-1175,1329,720,19581,720,bomb
1494,-1494,30,234,19587,234,bomb
1403,-1403,1489,372,19580,372,bomb
1369,-1369,2406,547,19548,547,bomb
1452,-1452,2696,678,19512,678,bomb
1163,-1163,48,459,19553,459,bomb
1764,-1764,86,582,19525,582,bomb
1765,-1765,101,542,19487,542,bomb
964,-964,3543,995,19528,995,bomb
1111,-1111,2843,789,19323,789,bomb
1066,-1066,112,682,19548,682,bomb
855,-855,87,545,19436,545,bomb
907,-907,48,311,19514,311,bomb
