%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
42,216,67,29,365,138,173,264,154,4,20.5,14.5,3,18,19,8.5,24,13.5,11,1701,1785,1836,15,1787,1798,24,1725,accident
147,393,140,136,532,152,235,233,188,13.5,16,17.5,0,79.5,4,7.5,26.5,10.5,1805,1749,1750,1831,138,1841,1830,1821,1816,accident
33,223,51,118,336,121,107,208,121,0,11,7.5,2,14,3,5,110,5.5,1829,1775,1789,1802,8,1784,1793,1811,5,accident
102,248,31,121,429,125,172,160,116,11,20.5,4,0,12,18,7,2,7.5,1792,13,1797,1806,30,1782,1691,1842,1733,accident
90,325,88,129,286,124,189,311,177,12,12,20,0,9,2,11.5,22,12.5,1795,2,17,1762,1503,1819,1822,4,1823,accident
3,215,6,164,149,220,216,178,133,0,25.5,0,0,4.5,34,0,23,7.5,2,1689,4,24,1812,1833,1682,7,1774,accident
64,255,67,178,182,199,227,215,162,5.5,24,0,14,12,25.5,10,0,17,11,1806,3,67,1787,1650,9,5,1704,accident
47,302,0,218,208,212,196,193,214,4,26.5,0,16,8,26.5,11.5,2.5,10,1831,1825,0,1763,1767,1623,1809,1838,1690,accident
19,266,65,149,161,199,235,187,156,1.5,61,0,19,4,28.5,22.5,41.5,9,2,1752,1835,1815,1816,25,76,27,37,accident
61,336,301,194,184,239,267,255,244,2,68,0,0,4,25.5,6,58,13.5,24,1803,2,1740,1826,1687,1750,27,1736,accident
98,294,125,203,253,303,504,382,378,0,22.5,6,18,11.5,7,13,21.5,22,32,1727,1824,1790,1819,1829,1786,1477,1768,accident
