%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
42,216,67,29,365,138,173,264,154,4,20.5,14.5,3,18,19,8.5,24,13.5,39.625,22.4938,7.90531,3.33333,7.21762,23.6786,4.43627,8.96465,31.1728,8.91667,25.5131,33.3418,37.5833,11.6108,12.75,17.2402,7.22955,26.0247,accident
147,393,140,136,532,152,235,233,188,13.5,16,17.5,0,79.5,4,7.5,26.5,10.5,21.8427,15.7037,11.6881,0,9.27037,25.5,11.3963,4.05889,29.3421,12.3654,17.4764,21.0905,0,17.8624,3.75,26.937,13.1585,32.804,accident
33,223,51,118,336,121,107,208,121,0,11,7.5,2,14,3,5,110,5.5,0,23.0476,4.36111,14,14.5702,17,19.2,15.1871,15.5948,0,20.6167,34.7222,19.25,9.98255,22.5,12.6,20.7267,16.357,accident
102,248,31,121,429,125,172,160,116,11,20.5,4,0,12,18,7,2,7.5,35.3273,23.9436,2.5,0,9.73264,18.0226,19.1151,4.0787,26.7422,19.4045,28.7364,36.625,0,14.2966,24.2318,25.2738,14.1065,37.1695,accident
90,325,88,129,286,124,189,311,177,12,12,20,0,9,2,11.5,22,12.5,35.9107,22.8476,10.5375,0,13.4648,31,14.6425,4.33333,27.7026,21.0952,23.5071,30.725,0,13.6847,36.75,30.989,6.86905,33.1991,accident
3,215,6,164,149,220,216,178,133,0,25.5,0,0,4.5,34,0,23,7.5,0,30.5625,0,0,21.9583,13.3971,0,24.0833,38.3009,0,23.2861,0,0,18.875,17.4737,0,16.0833,9.21197,accident
64,255,67,178,182,199,227,215,162,5.5,24,0,14,12,25.5,10,0,17,39.1288,17.0863,0,32.35,28.5812,14.0445,8.66667,0,28.559,37.0606,26.6288,0,9.5,5.56517,28.9345,24.5,0,8.59615,accident
47,302,0,218,208,212,196,193,214,4,26.5,0,16,8,26.5,11.5,2.5,10,38.75,19.6131,0,23.6042,25.6667,12.7968,7.33333,22,23.6282,36,26.646,0,24.0986,3.04167,26.7481,14.5833,17.5,7.08414,accident
19,266,65,149,161,199,235,187,156,1.5,61,0,19,4,28.5,22.5,41.5,9,39.2222,21.7508,0,27.4521,18,14.3406,4.56341,9.65714,33.6547,40.2222,23.5394,0,22.2146,12,25.9528,4.52899,2.87013,6.80882,accident
61,336,301,194,184,239,267,255,244,2,68,0,0,4,25.5,6,58,13.5,40,16.0181,0,0,13.3333,12.6351,3,16,29.3228,39,19.4746,0,0,1.66667,25.405,1.65,19,13.6226,accident
