%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
1427,72,590.257,52.5972,64.6877,accident
2180,125,799.269,63.4745,55.0907,accident
1313,9,333.421,60.6691,67.7356,accident
1582,198,301.279,49.6652,63.75,accident
1709,6,756.725,52.2915,39.2982,accident
2602,16875,293.137,41.6482,75.1151,accident
1921,16425,550.458,67.7,73.3313,accident
1915,16748,1257.77,61.8771,74.2429,accident
1364,16665,701.72,50.4316,56.0136,accident
1953,16672,1201.79,55.8991,35.6432,accident
1138,59,635.879,34.9204,52.5626,accident
1292,16642,806.08,30.7666,50.4431,accident
1246,121,568.399,42.9667,50.8699,accident
1491,16536,781.938,71.1246,58.5467,accident
1426,15319,1297.35,52.6321,63.8029,accident
1137,5,1211.08,45.3642,72.6662,accident
1107,16169,564.475,55.3572,72.1849,accident
939,16148,579.245,37.1431,41.4112,accident
1127,14,845.796,49.9387,51.495,accident
1191,11,853.21,44.0273,50.1809,accident
2427,16873,784.708,63.671,77.5018,accident
1974,10,539.144,53.852,72.4972,accident
1720,16562,864.029,59.9693,66.852,accident
2065,16620,701.169,64.8823,60.2371,accident
2174,16857,671.269,47.1186,58.7161,accident
1012,16197,321.137,64.4432,71.9058,accident
936,8,527.068,58.205,66.7737,accident
978,33,398.25,46.3874,69.5231,accident
1071,3,426.96,52.116,69.6829,accident
1226,16688,728.465,45.2342,62.6225,accident
1302,16861,991.127,78.8412,52.4823,accident
1159,12,411.245,57.377,58.0984,accident
1467,16186,427.706,57.2779,48.2009,accident
1320,84,352.191,40.3457,57.1243,accident
1833,11,949.536,63.622,46.1835,accident
1612,16490,664.624,67.3399,80.5221,accident
1628,16672,840.683,77.3183,96.472,accident
1469,16582,490.333,59.2527,67.8104,accident
2072,14734,516.676,50.8627,90.3303,accident
2054,16600,946.514,48.5174,67.9196,accident
1436,10,1343.33,37.253,60.2416,accident
1168,46,538.718,38.4281,39.6515,accident
1531,16433,867.217,66.1783,84.5602,accident
1433,68,1264.6,50.433,70.1873,accident
1514,44,800.524,66.6114,72.0251,accident
655,16696,534.985,69.9692,60.9665,bomb
758,16862,439.161,64.1725,67.117,bomb
677,16530,767.495,60.3952,70.6749,bomb
770,16645,393.688,59.7947,75.6816,bomb
686,16788,427.931,57.5079,69.8086,bomb
797,16778,258.735,73.393,79.1364,bomb
650,24,605.051,56.657,83.9411,bomb
798,16775,363.747,71.0428,71.4892,bomb
766,16654,447.144,74.7927,69.2832,bomb
823,187,473.186,67.7934,71.6188,bomb
641,16665,388.718,66.4035,71.8016,bomb
747,16850,565.855,70.3479,63.3025,bomb
717,16875,555.713,66.5745,71.0675,bomb
550,3,384.718,66.3287,63.4803,bomb
623,16717,539.47,61.1525,57.0868,bomb
629,16696,330.818,64.9381,78.754,bomb
644,45,384.032,55.7676,66.1226,bomb
774,16726,211.522,56.8101,72.956,bomb
801,16706,708.909,66.5244,69.5657,bomb
