%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Black_Pixel_10 NUMERIC
@ATTRIBUTE  Black_Pixel_11 NUMERIC
@ATTRIBUTE  Black_Pixel_12 NUMERIC
@ATTRIBUTE  Black_Pixel_13 NUMERIC
@ATTRIBUTE  Black_Pixel_14 NUMERIC
@ATTRIBUTE  Black_Pixel_15 NUMERIC
@ATTRIBUTE  Black_Pixel_16 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE  Harris_Corners_10 NUMERIC
@ATTRIBUTE  Harris_Corners_11 NUMERIC
@ATTRIBUTE  Harris_Corners_12 NUMERIC
@ATTRIBUTE  Harris_Corners_13 NUMERIC
@ATTRIBUTE  Harris_Corners_14 NUMERIC
@ATTRIBUTE  Harris_Corners_15 NUMERIC
@ATTRIBUTE  Harris_Corners_16 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Length_Area_9 NUMERIC
@ATTRIBUTE  Length_Area_10 NUMERIC
@ATTRIBUTE  Length_Area_11 NUMERIC
@ATTRIBUTE  Length_Area_12 NUMERIC
@ATTRIBUTE  Length_Area_13 NUMERIC
@ATTRIBUTE  Length_Area_14 NUMERIC
@ATTRIBUTE  Length_Area_15 NUMERIC
@ATTRIBUTE  Length_Area_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
20,77,141,87,128,187,89,102,96,45,45,220,37,94,54,205,2,12,7,958,968,28,979,935,940,5,96,22,13,915,1012,17,0,19.0711,0,67.1127,90.1838,58.8284,61.3137,79.8406,72.8112,0,0,91.6985,13.6569,66.0833,39.3137,253.137,0,8.66428,0,18,8.87255,13.5079,0,20.1728,14.0564,0,0,16.4708,14.25,8.4,3.25,21.0084,0,8.80376,0,2.5,23.4804,6.22127,0,15.0247,19.5021,0,0,10.5417,1.5,16.959,15.75,12.83,accident
104,134,17,110,147,254,18,145,184,51,104,299,74,117,96,244,1001,914,10,1015,1010,983,1021,985,978,989,1006,32,1008,1009,998,75,72.669,53.9411,2,0,91.0122,110.711,0,87.8406,70.1838,35.799,62.9706,124.569,43.3137,68.7696,61.3137,151.397,21.8427,20.287,0,0,12.8778,7.10603,0,17.9435,14.8296,3.4,0,14.8333,1.75,11.8571,0,18.4835,12.3654,15.9546,0,0,18.9889,6.05651,0,22.1614,12.9785,24.45,0,9.64167,2.75,10.1111,0,8.75242,accident
0,86,67,89,78,139,47,87,103,8,2,145,164,50,82,170,0,1005,4,1005,989,1019,12,7,11,4,2,7,962,954,973,950,0,71.0122,54.9706,66.2843,64.6274,60.4264,0,65.2132,83.598,0,0,65.4558,68.0416,38.1421,67.1127,59.6569,0,19.8819,0,9.375,16.5833,20.219,0,16.237,15.4481,0,0,9.67727,13.8403,2.25,24.4167,16.2889,0,9.375,0,10.5,7.91667,10.1034,0,27.3926,16.1648,0,0,5.45189,12.9258,12.5,21.1667,9.04445,accident
14,125,1,87,75,143,15,81,75,0,93,202,141,29,92,298,1013,963,4,998,961,1015,1020,931,5,0,968,32,913,996,1011,13,9.65685,53.1127,0,70.4264,50.3848,113.497,0,60.8701,55.0122,0,64.6274,85.397,65.2132,23.3137,64.6274,62.1421,29.5,7.91042,0,12.6591,9.57738,12.9162,0,15.7422,7.90222,0,14.75,16.9751,15.197,1.5,0,9.70168,28,13.5866,0,12.0341,14.2976,9.09869,0,26.1695,15.3311,0,1.5,13.779,5.89394,12.75,0,7.02249,accident
7,123,4,91,124,222,99,117,171,3,92,228,121,96,96,107,4,3,6,1016,976,962,1002,968,8,5,929,1007,983,990,975,7,2,62.4264,0,65.4558,87.8406,64.0416,60.4853,82.1838,80.468,0,66.2843,63.9411,82.2843,69.3553,65.4558,35.2132,0,12.3044,0,9.25,14.6425,12.8719,0,16.7026,12.4392,0,26.25,15.6667,1.72222,6.87255,0,23.2161,0,19.9447,0,7.75,20.0366,4.56494,0,22.1991,19.9788,0,10.25,10.5185,4.66667,6.35172,0,15.6332,accident
124,169,275,130,227,240,259,273,212,176,202,156,182,216,103,138,13,1019,56,1002,917,961,1016,965,1021,1013,1018,13,20,993,4,1014,44.2843,32.6274,0,0,75.3553,76.2843,65.799,75.4975,0,0,72.1838,98.4264,0,0,43.799,101.941,24.8222,4.36667,0,0,7.63191,13.9556,7,18.2254,0,0,12,15.7857,0,0,4.5,9.75,20.6889,9.61667,0,0,22.9082,12.0074,12.8333,12.5057,0,0,26.5,16.5,0,0,10.4,9.25,accident
65,46,42,175,167,176,181,35,126,143,162,159,65,181,153,172,1010,1018,1013,910,953,1008,1006,1019,966,4,1002,53,1001,1018,996,964,29.5563,0,22.4853,79.4975,70.5269,62.9706,67.9411,20.4853,0,0,67.1127,135.983,0,72.3259,64.6274,68.9706,21.5923,0,4.08333,24.2228,10.1537,6,18.7222,5.33333,0,0,10.625,18.0952,0,23.0513,1.25,18.2917,25.869,0,27.6667,15.657,4.48268,6.16667,8.78704,2.5,0,0,22.875,21.2024,0,24.3333,4.25,20.6042,accident
10,169,50,148,104,215,251,82,217,12,142,179,85,104,179,18,1020,1006,1004,1019,996,977,869,12,996,10,996,1010,1015,1001,1000,1004,0,70.5269,15.8995,67.6985,40.3848,69.3553,73.2548,34.6274,0,0,62.9706,40.4853,0,0,62.1421,0,0,9.58025,9.22222,3.25,25.463,13.1978,17.2861,5,0,0,0,0,0,0,0,0,0,19.4198,29.4444,14,8.80976,13.4769,13.5502,8.625,0,0,0,0,0,0,0,0,accident
0,108,141,22,27,249,129,0,117,0,19,222,170,81,50,113,0,997,1007,1019,1012,958,939,0,40,0,6,865,1008,1004,1001,994,0,56.1838,68.5269,0,23.8995,72.4264,62.3259,0,35.4558,0,0,68.7696,0,0,46.4853,66.1421,0,24.6,25.6225,0,29.1111,13.1398,10.1058,0,8.58025,0,0,5.825,0,0,28.3333,13.2361,0,18.9231,26.0784,0,19.4444,14.5179,9.38105,0,17.3642,0,0,6.25357,0,0,20.6667,10.1667,accident
0,141,50,164,152,189,238,122,217,79,189,163,198,112,135,50,0,970,1012,1021,940,997,989,1002,947,22,6,977,955,970,947,1016,0,113.983,44.4853,62.1421,63.6985,66.2843,65.9411,50.5269,74.9117,0,0,69.3553,87.3553,53.799,67.1127,25.3137,0,22.6984,0,0,23.8969,16.6042,10.4097,6.16502,13.6882,0,0,8.36905,12.6429,2.83333,27.375,2.7,0,15.9841,0,0,16.3235,21.7083,9.77083,11.8794,16.0477,0,0,20.141,8.60318,12.6667,15.875,5.6,accident
