%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
351,233,586,273,23,6,43,4111,42.6334,17.317,33.9735,51.4486,32.3835,21.6213,24.5468,32.1831,accident
684,436,788,313,187,4089,149,3792,41.433,16.1296,35.8395,24.8283,21.9836,25.552,22.1639,27.2221,accident
261,323,488,245,7,4056,4155,14,30.8786,11.5031,46.7401,29.7184,15.7156,40.6772,26.8934,23.4747,accident
479,251,630,220,40,4002,4109,4114,43.3911,11.506,29.475,46.076,34.7699,33.5833,26.6495,35.2373,accident
459,396,557,306,4,41,6,4154,44.69,10.9608,39.3626,32.3621,29.2424,23.0797,28.9984,34.4609,accident
690,624,711,696,4206,4222,4204,4208,30.1014,0,22.1186,22.4762,31.5842,0,29.8423,37.8935,accident
441,383,670,451,4106,4219,3988,4142,33.9632,55.0513,24.9535,29.8927,44.4324,56.3333,24.7032,23.3398,accident
498,415,529,535,4120,4174,4177,4143,41.5556,0,49.13,18.0642,19.8667,0,44.2704,38.425,accident
363,300,453,290,4174,39,4078,4094,24.9948,10.8602,42.2795,15.5094,16.0365,20.5005,26.8708,35.8712,accident
316,537,555,570,4109,4104,3974,4181,23.26,14.8125,29.7906,15.5465,18.34,29.5911,28.6816,27.0061,accident
318,179,376,269,4220,4031,33,4107,35.7447,26.3631,10.3081,20.7716,23.2039,44.0915,20.664,9.48395,accident
362,209,381,361,4105,4138,3895,4146,20.8831,35.8434,14.1239,24.9833,13.0513,39.6989,22.1041,17.3333,accident
338,178,381,345,16,4101,3938,4088,31.5829,19.1244,14.117,49.9824,7.51337,37.7955,23.7316,25.6992,accident
311,337,446,397,3786,3887,4025,4161,36.5714,14.1373,18.664,20.2613,13.3364,31.1992,27.5561,25.8925,accident
418,184,459,376,4075,4079,3638,4143,49.6404,29.4372,14.3451,38.5457,26.1596,46.7186,23.9686,18.6684,accident
178,343,237,364,4046,4049,39,5,49.6589,12.0037,24.4049,15.2266,33.8851,3.53171,41.0181,44.3993,accident
217,278,331,281,4066,4157,3583,4080,52.5675,16.0148,23.6706,9.58333,25.7659,5.5082,27.2341,27.4167,accident
185,244,334,190,4078,33,4022,4204,49.9105,13.2782,14.6905,20.25,42.4779,4.93012,16.0952,19,accident
235,323,233,352,4146,4019,4176,10,45.2658,13.4319,24.1694,42.3201,29.7735,5.95297,18.2028,61.1931,accident
290,238,368,303,3967,4044,39,8,31.3563,17.7574,21.4639,20.2464,13.309,10.9583,32.5028,30.8331,accident
449,473,603,920,4157,4172,4171,4205,54.188,6.58393,22.024,22.0223,34.359,30.7217,25.7862,27.6323,accident
557,289,801,380,4173,4222,21,30,41.9322,0,44.1876,27.4245,35.6465,0,36.9963,23.937,accident
356,426,646,476,4213,12,4147,4193,52.6166,11.3904,36.8973,17.9753,46.0016,7.64474,28.0646,40.2998,accident
469,488,661,498,4205,4210,4190,4185,49.78,25.1288,32.782,34.7222,39.3956,26.291,30.4773,46.0357,accident
575,416,718,508,4194,6,4182,4136,31.6567,39.463,35.693,34.8536,35.414,47.4938,16.9439,21.9714,accident
291,288,282,152,4111,4112,3996,4106,47.1568,24.2691,17.9315,18.8365,29.1854,22.0662,27.2927,26.9,accident
260,190,268,220,8,4147,4005,3957,44.2754,20.814,18.8222,11.5523,22.7238,33.4749,35.6556,35.1902,accident
332,242,260,163,7,4003,49,15,19.2375,35.6491,14.0234,29.9092,7.025,37.4344,27.0927,44.4382,accident
288,219,245,320,3,4061,33,4035,45.0576,27.1667,13.0688,16.32,24.4127,34.9214,28.5661,17.2859,accident
324,238,361,319,16,4075,4116,3965,34.7929,31.6372,20.3184,41.1046,24.684,40.3269,27.5507,49.1595,accident
313,290,397,324,4129,6,4206,4211,28.0045,22.2367,13.9944,26.6217,10.5215,17.0754,33.6889,23.4641,accident
364,197,385,215,4170,4203,10,4163,34.122,17.75,26.2315,19.3453,29.5328,3.25,20.3327,29.121,accident
448,199,511,321,3761,4051,59,4219,28.5763,25.7507,27.5597,18.9508,20.8018,20.5299,36.5024,28.3574,accident
412,282,365,296,4120,4205,40,79,27.0073,35.5434,17.7588,20.365,24.2556,13.4277,25.6314,45.2533,accident
383,417,648,401,4066,5,53,3517,53.3742,12.686,20.923,28.8897,36.0787,23.8349,19.0938,36.0786,accident
537,207,453,423,4061,4102,4157,4095,34.6229,18.8465,25.3231,34.234,20.9963,45.4564,18.4741,29.8782,accident
287,417,387,552,4055,4177,31,4167,58.6042,8.25719,47.5377,16.179,22.375,8.5641,39.2024,37.3827,accident
259,448,291,476,6,4079,4,4198,59.5,8.56426,35.581,12.4098,14.5833,11.3861,18.3287,35.2493,accident
551,208,771,544,3971,4102,3598,3985,34.5356,8.20833,40.89,24.5398,22.6845,44.8667,32.9134,28.8989,accident
605,365,700,401,4185,3939,48,145,41.2952,22.9885,42.8815,16.0003,26.4048,40.8005,35.732,15.568,accident
255,378,435,396,4106,20,5,11,44.0624,12.9007,26.1041,15.3347,36.7041,18.9194,39.7919,15.7264,accident
391,169,281,323,4213,3960,4189,9,31.4304,9.53137,26.2037,20.4519,6.01272,33.9314,18.8426,44.3148,accident
157,464,498,380,4169,4200,4106,3945,56.3833,3.59829,36.14,19.1584,48.2,13.1179,41.3949,14.0285,accident
238,385,471,341,4058,3989,21,38,39.3611,15.0665,43.1827,18.1029,27.1296,11.162,41.8071,27.2346,accident
229,463,423,398,4053,3771,4152,8,51.4364,11.1936,28.5508,26.0079,41.8318,28.2355,23.3365,27.9603,accident
93,172,213,189,4199,4178,4162,4190,30,9.12714,45.2766,15.5342,12.5,39.4959,34.3417,35.1304,bomb
222,123,228,209,4189,4214,4116,4210,54.819,10.3856,37.3528,16.1865,36.4373,38.7222,31.146,49.5081,bomb
138,97,218,233,4178,4094,4167,4146,54.5318,3.37121,44.1061,12.3977,18.1349,34.9394,32.2477,48.8005,bomb
171,130,240,234,4181,4205,4149,4155,56.0374,4.53333,36.8397,18.3789,24.5825,45.125,31.6423,48.3497,bomb
199,22,249,214,4189,22,4152,4154,52.0974,0,51.7431,7.555,28.3692,0,26.9707,20.875,bomb
146,168,211,282,4111,4120,4153,41,60.7727,7.70126,35.5222,25.8043,18.0636,32.2761,27.5526,23.779,bomb
133,67,242,215,5,10,4017,74,58.25,4.55429,42.9364,15.9967,45.2557,29.6591,21.3576,43.5759,bomb
111,109,280,318,4115,4202,4163,4206,59.1869,4.66004,41.1048,15.4772,20.7929,24.8894,30.3775,22.0821,bomb
166,144,265,221,24,4198,4077,4176,41.1111,5.7037,25.6855,22.799,13.7778,17.6287,18.4532,21.04,bomb
105,209,254,288,16,32,4145,4188,61.8571,6.99621,39.6433,19.1125,43.5714,33.6449,29.34,21.0422,bomb
56,236,207,187,15,4165,4196,4197,0,8.65772,38.9055,18.7047,0,24.6268,36.3784,49.6364,bomb
