%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
351,233,586,273,23,6,43,4111,97.1127,157.037,247.238,227.439,42.6334,17.317,33.9735,51.4486,32.3835,21.6213,24.5468,32.1831,accident
684,436,788,313,187,4089,149,3792,193.581,179.581,217.64,227.439,41.433,16.1296,35.8395,24.8283,21.9836,25.552,22.1639,27.2221,accident
261,323,488,245,7,4056,4155,14,145.296,160.61,155.841,142.326,30.8786,11.5031,46.7401,29.7184,15.7156,40.6772,26.8934,23.4747,accident
479,251,630,220,40,4002,4109,4114,137.882,135.095,113.497,135.983,43.3911,11.506,29.475,46.076,34.7699,33.5833,26.6495,35.2373,accident
459,396,557,306,4,41,6,4154,143.196,161.137,217.782,220.953,44.69,10.9608,39.3626,32.3621,29.2424,23.0797,28.9984,34.4609,accident
690,624,711,696,4206,4222,4204,4208,136.853,0,143.841,208.267,30.1014,0,22.1186,22.4762,31.5842,0,29.8423,37.8935,accident
441,383,670,451,4106,4219,3988,4142,155.296,157.137,195.64,173.581,33.9632,55.0513,24.9535,29.8927,44.4324,56.3333,24.7032,23.3398,accident
498,415,529,535,4120,4174,4177,4143,199.397,0,186.125,181.581,41.5556,0,49.13,18.0642,19.8667,0,44.2704,38.425,accident
363,300,453,290,4174,39,4078,4094,135.782,115.782,189.823,137.338,24.9948,10.8602,42.2795,15.5094,16.0365,20.5005,26.8708,35.8712,accident
316,537,555,570,4109,4104,3974,4181,267.764,149.439,208.61,190.953,23.26,14.8125,29.7906,15.5465,18.34,29.5911,28.6816,27.0061,accident
318,179,376,269,4220,4031,33,4107,330.576,140.309,138.912,129.799,35.7447,26.3631,10.3081,20.7716,23.2039,44.0915,20.664,9.48395,accident
362,209,381,361,4105,4138,3895,4146,160.167,157.581,151.941,226.468,20.8831,35.8434,14.1239,24.9833,13.0513,39.6989,22.1041,17.3333,accident
338,178,381,345,16,4101,3938,4088,276.392,129.48,141.64,239.439,31.5829,19.1244,14.117,49.9824,7.51337,37.7955,23.7316,25.6992,accident
311,337,446,397,3786,3887,4025,4161,197.137,170.551,245.238,232.669,36.5714,14.1373,18.664,20.2613,13.3364,31.1992,27.5561,25.8925,accident
418,184,459,376,4075,4079,3638,4143,464.784,131.924,135.355,233.054,49.6404,29.4372,14.3451,38.5457,26.1596,46.7186,23.9686,18.6684,accident
178,343,237,364,4046,4049,39,5,125.681,202.711,263.723,290.569,49.6589,12.0037,24.4049,15.2266,33.8851,3.53171,41.0181,44.3993,accident
217,278,331,281,4066,4157,3583,4080,132.024,179.397,232.024,130.627,52.5675,16.0148,23.6706,9.58333,25.7659,5.5082,27.2341,27.4167,accident
185,244,334,190,4078,33,4022,4204,129.338,181.882,125.255,133.941,49.9105,13.2782,14.6905,20.25,42.4779,4.93012,16.0952,19,accident
235,323,233,352,4146,4019,4176,10,152.995,165.296,93.9411,307.338,45.2658,13.4319,24.1694,42.3201,29.7735,5.95297,18.2028,61.1931,accident
290,238,368,303,3967,4044,39,8,156.267,159.296,195.64,169.255,31.3563,17.7574,21.4639,20.2464,13.309,10.9583,32.5028,30.8331,accident
449,473,603,920,4157,4172,4171,4205,147.782,117.054,270.049,227.38,54.188,6.58393,22.024,22.0223,34.359,30.7217,25.7862,27.6323,accident
557,289,801,380,4173,4222,21,30,152.267,30.1421,281.764,150.51,41.9322,0,44.1876,27.4245,35.6465,0,36.9963,23.937,accident
356,426,646,476,4213,12,4147,4193,117.924,75.397,208.652,176.551,52.6166,11.3904,36.8973,17.9753,46.0016,7.64474,28.0646,40.2998,accident
469,488,661,498,4205,4210,4190,4185,151.924,161.823,223.196,180.468,49.78,25.1288,32.782,34.7222,39.3956,26.291,30.4773,46.0357,accident
575,416,718,508,4194,6,4182,4136,200.894,72.8701,217.296,158.309,31.6567,39.463,35.693,34.8536,35.414,47.4938,16.9439,21.9714,accident
291,288,282,152,4111,4112,3996,4106,148.61,195.581,96.2843,55.6569,47.1568,24.2691,17.9315,18.8365,29.1854,22.0662,27.2927,26.9,accident
260,190,268,220,8,4147,4005,3957,141.983,141.38,136.426,154.953,44.2754,20.814,18.8222,11.5523,22.7238,33.4749,35.6556,35.1902,accident
332,242,260,163,7,4003,49,15,258.51,170.693,70.8701,88.9117,19.2375,35.6491,14.0234,29.9092,7.025,37.4344,27.0927,44.4382,accident
288,219,245,320,3,4061,33,4035,234.451,153.723,71.4558,212.811,45.0576,27.1667,13.0688,16.32,24.4127,34.9214,28.5661,17.2859,accident
324,238,361,319,16,4075,4116,3965,197.037,153.723,162.953,203.095,34.7929,31.6372,20.3184,41.1046,24.684,40.3269,27.5507,49.1595,accident
313,290,397,324,4129,6,4206,4211,153.581,147.782,124.385,218.811,28.0045,22.2367,13.9944,26.6217,10.5215,17.0754,33.6889,23.4641,accident
364,197,385,215,4170,4203,10,4163,318.718,134.77,154.912,123.64,34.122,17.75,26.2315,19.3453,29.5328,3.25,20.3327,29.121,accident
