%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0.0202957,0.315323,0.00376344,0.0122312,0.110215,0.0680108,0.033871,0.110215,0.0133065,accident
0.0610197,0.170213,0.0158571,0.2222,0.151345,0.00782818,0.0636291,0.335006,0.0114412,accident
0.00228702,0.0746141,0.00285878,0.000714694,0.0567467,0.00871927,0.053745,0.0142939,0.0377358,accident
0.0151515,0.057224,0.00270563,0.111472,0.133387,0.0576299,0.22105,0.039908,0.0298972,accident
0.0486361,0.120304,0.0347401,0.00540401,0.0221307,0.00308801,0.184122,0.167138,0.0376994,accident
0,0.042439,0.00170732,0.00926829,0.00780488,0.0870732,0.00512195,0.0334146,0.034878,accident
0.0126417,0.0688753,0,0.0200523,0.266347,0.00392328,0.0584133,0.010898,0.043592,accident
0.00787037,0.14537,0,0.0111111,0.126389,0.0462963,0.0759259,0.0208333,0.0800926,accident
0.00122399,0.0982252,0,0.0229498,0.00734394,0.0299878,0.0960832,0.0241738,0.0348837,accident
0,0.311266,0,0.0246711,0.00904605,0.0209704,0.0847039,0.0160362,0.0427632,accident
0,0.040553,0,0.0184332,0.0175115,0.00414747,0.0903226,0.059447,0.116129,accident
0.0209302,0.054485,0,0.0192691,0.0681063,0.0249169,0.0089701,0.112625,0.0594684,accident
0.0467759,0.0235201,0,0.0132135,0.0721459,0.0364693,0.302854,0.0591966,0.00687104,accident
0,0.0071736,0,0.0215208,0.0512912,0.008967,0.0728121,0.115136,0.016858,accident
0.0142157,0.0191176,0,0.0789216,0.0176471,0,0.0622549,0.0985294,0.0338235,accident
0.0123326,0.0200846,0,0.0211416,0.0257223,0.0521494,0.00775194,0.00704722,0.042988,accident
0.003003,0.0720721,0,0.0205205,0.105105,0.00900901,0.0965966,0.0125125,0.0215215,accident
0.0123457,0.0210905,0,0.037037,0.0411523,0.0195473,0.386831,0.125514,0.0257202,accident
0.0145833,0.0786458,0,0.0411458,0.0489583,0.0338542,0.248438,0.170313,0.0322917,accident
0.019958,0.0514706,0,0.0241597,0.148459,0.0458683,0.0129552,0.00770308,0.101541,accident
0.0234375,0.0520833,0,0.234375,0.09375,0.0182292,0.0286458,0.0260417,0.0416667,accident
0.0034965,0.0559441,0,0.00699301,0.020979,0.0104895,0.0384615,0.0559441,0.381119,accident
0.025,0.0604167,0,0.0333333,0.025,0.0604167,0.0541667,0.00625,0.0354167,accident
0.0245098,0.0506536,0,0.00653595,0.0277778,0.0408497,0.0130719,0.0196078,0.00490196,accident
0.00598086,0.0657895,0,0.0777512,0.156699,0.0370813,0.135167,0.113636,0.107656,accident
0.026749,0.0260631,0.0336077,0.00617284,0.0624143,0.0294925,0.0486968,0.111797,0.0233196,accident
0.0191571,0.12931,0.0292146,0.0162835,0.026341,0.0268199,0.0517241,0.117337,0.0651341,accident
0.0439883,0.0535191,0.00733138,0.00806452,0.0139296,0.0124633,0.00513196,0.0711144,0.0285924,accident
0.00626566,0.152882,0.0319549,0.12782,0.0175439,0.0307018,0.230576,0.0350877,0.0269424,accident
0,0.0797511,0.0180995,0.0169683,0.0243213,0.0294118,0.0254525,0.277715,0.050905,accident
0,0.0850155,0,0.0314441,0.0531832,0.0568064,0.0269151,0.0306677,0.0194099,accident
0,0.0729527,0,0.00619954,0.024654,0.0348904,0.011534,0.00360438,0.0390715,accident
0.00340479,0.0778058,0,0.0498108,0.0363178,0.0706179,0.110467,0.014628,0.0640605,accident
0.0138288,0.0632516,0.000721501,0.0330688,0.00589226,0.0146705,0.139971,0.157287,0.00012025,accident
0,0.0354602,0.010555,0.0441176,0.0175522,0.0145873,0.271466,0.00533681,0.0349858,accident
0.0189753,0.038425,0,0.0464896,0.0199241,0.028463,0.16556,0.00474383,0.268975,accident
0.0207911,0.0522312,0,0.0248479,0.0507099,0.040568,0.143002,0.0273834,0.0385396,accident
0.0143639,0.00718194,0,0.0212038,0.0335157,0.0304378,0.118673,0.240082,0.0540356,accident
0.00467047,0.0568241,0,0.0775817,0.165023,0.0695381,0.170732,0.0217955,0.0368448,accident
0,0.0791053,0,0.0651937,0.000545554,0.0133661,0.218767,0.000272777,0.0163666,accident
0,0.0604839,0.000896057,0.0403226,0.0264337,0.0331541,0.0228495,0,0.0913978,accident
0.00218023,0.0348837,0,0.0792151,0.00835756,0.028343,0.102471,0.00508721,0.234375,accident
0,0.0419034,0,0.0216619,0.0365767,0.0269886,0.136364,0.0237926,0.0887784,accident
0.0155039,0.0794574,0,0.0113049,0.0313307,0.0277778,0.125,0.0200258,0.0587855,accident
0.00825826,0.0439189,0,0.0135135,0.000750751,0.0352853,0.00938438,0.00825826,0.0349099,accident
0.00239234,0.0403509,0.00590112,0.0429027,0.0529506,0.0100478,0.0200957,0.241946,0.110686,accident
0.00442308,0.0128846,0,0.00923077,0.0221154,0.0321154,0.0125,0.158654,0.0503846,accident
0.000472813,0.103073,0,0.0070922,0.120804,0.0205674,0.0929078,0.283688,0.120567,accident
0.0442797,0.0487288,0.00127119,0.0658898,0.0095339,0.00826271,0.160593,0.104237,0.0065678,accident
0.0238643,0.066705,0,0.0644048,0.0161012,0.020414,0.00920069,0.179126,0.197527,accident
0.0447761,0.0352113,0.000945974,0.00168173,0.0037839,0.0140845,0.0302712,0.258671,0.0392054,accident
0.0274525,0.00260213,0.010929,0.00494405,0.0152225,0.0111892,0.0714286,0.495706,0.193339,accident
0.0696157,0.0623814,0.00118596,0.00415085,0.00189753,0.0160104,0.0646347,0.0138757,0.0468454,accident
0.00138675,0.133128,0.0178737,0.00338983,0.00523883,0.0405239,0.00354391,0.224961,0.00385208,accident
0.0306972,0.0174298,0.000520291,0.00702393,0.00117066,0.0208117,0.226717,0.0219823,0.00949532,accident
0.0602911,0.0696466,0,0.011088,0.0564796,0.023562,0.0952876,0.012474,0.29799,accident
0.0168495,0.0458464,0,0.0105799,0.0768025,0.0160658,0.0289969,0.096395,0.122257,accident
0,0.11182,0.00892857,0.0182823,0.00085034,0.0165816,0.193452,0.233418,0.0191327,accident
0.0608059,0.00549451,0,0.0915751,0.0344322,0.0135531,0.234066,0.106593,0.0842491,accident
0.00868726,0.0112613,0.0045045,0.00997426,0.0785071,0.0109395,0.213964,0.0855856,0.0669241,accident
0.0009375,0.064375,0.0135937,0.00578125,0.0479687,0.003125,0.130469,0.0309375,0.158594,accident
0.00375094,0.0414479,0.000562641,0.00656414,0.00937734,0.014066,0.0425731,0.117967,0.0112528,accident
0.00120773,0.0496511,0.00389157,0.0111379,0.0267042,0.00496511,0.335212,0.250671,0.0033548,accident
0.00133824,0.10639,0.0058548,0.0016728,0.00552024,0.0115423,0.118267,0.0670793,0.150719,accident
0.030303,0.0728562,0.012089,0.000322373,0.0206319,0.00612508,0.295455,0.130561,0.186815,accident
0,0.022,0,0.026,0.034,0.027,0.01,0.028,0.026,accident
0.0553977,0.0830966,0,0.0795455,0.00426136,0.0667614,0.316051,0.0234375,0.0134943,accident
0,0.134194,0.00387097,0.0464516,0.0380645,0.0206452,0.0541935,0.345806,0.0206452,accident
0.000701262,0.045582,0.00701262,0.0497896,0.00701262,0.00420757,0.0546985,0.026648,0.0231417,accident
0.0509091,0.157273,0.0409091,0.0127273,0.0890909,0.0263636,0.184545,0.204545,0.0409091,accident
0.00826211,0.226353,0.0182336,0.00498575,0.051567,0.0135328,0.145299,0.254843,0.0037037,accident
0.00700855,0.166154,0.00581197,0.0042735,0.00205128,0.00991453,0.353333,0.12906,0.0241026,accident
0.0202957,0.0115591,0.0103495,0.000537634,0.0432796,0.0170699,0.00913978,0.0587366,0.0110215,accident
0.0225508,0.0712366,0.0123955,0.0041816,0.0041816,0.00403226,0.0810932,0.000746714,0.000746714,accident
0.0513374,0.0343687,0.00589589,0.0070463,0.00258844,0.0337935,0.0452977,0.0424216,0.013086,accident
0.00928944,0.0585072,0.0210235,0.00195567,0.00602999,0.0193937,0.438559,0.0531291,0.023957,accident
0.0107456,0.139254,0.0127193,0.0550439,0.00285088,0.00592105,0.191228,0.0491228,0.0138158,accident
0.0205357,0.066369,0.0241071,0.0107143,0.00863095,0.010119,0.0681548,0.0208333,0.0196429,accident
0.066705,0.113571,0.0327775,0.00258769,0.00201265,0.00143761,0.0123634,0.563255,0.0258769,accident
0.0181159,0.10628,0.022343,0.00452899,0.0102657,0.0117754,0.0458937,0.289251,0.00845411,accident
0.00935829,0.200535,0,0.0160428,0.0173797,0.0668449,0.132353,0.0360963,0.0762032,accident
0.00789474,0.117105,0,0.00789474,0.0276316,0.0605263,0.0118421,0.0473684,0.0289474,accident
0.0189394,0.0618687,0,0.0138889,0.0138889,0.0568182,0.0467172,0.0265152,0.00757576,accident
0.00625,0.0239583,0,0.00520833,0.040625,0.0614583,0.0614583,0.0322917,0.0458333,accident
0.00695652,0.0695652,0,0.0252174,0.0617391,0.0313043,0.026087,0.174783,0.04,accident
0.0180041,0.0545267,0,0.058642,0.00617284,0.0329218,0.0946502,0.169239,0.0396091,accident
0.0172414,0.0777867,0,0.0573376,0.00200481,0.0276664,0.0918204,0.0449078,0.0605453,accident
0.00179426,0.0574163,0,0.0580144,0.217703,0.0266148,0.0882177,0.13756,0.0143541,accident
0.0156695,0.0655271,0,0.00819088,0.0153134,0.0235043,0.0665954,0.0316952,0.0135328,accident
0.0235043,0.0890313,0,0.0712251,0.0637464,0.034188,0.34188,0.0349003,0.0192308,accident
0,0.149123,0,0.0343567,0.00475146,0.0434942,0.112939,0.0237573,0.0197368,accident
0.0185185,0.109162,0,0.0360624,0.134016,0.0287524,0.0131579,0.00974659,0.0146199,accident
0.0111111,0.0878788,0,0.010101,0.0626263,0.0727273,0.0494949,0.0217172,0.0429293,accident
0.0171784,0.0672515,0,0.0233918,0.000730994,0.0266813,0.0292398,0.0372807,0.136696,accident
0.012987,0.0441558,0,0.0207792,0.00692641,0.104762,0.0424242,0.0419913,0.380952,accident
0.103716,0.0763514,0,0.0202703,0.143243,0.104054,0.0351351,0.0618243,0.283108,accident
0,0.00956938,0.0245215,0.00538278,0.0783493,0.00956938,0.0514354,0.0861244,0.0424641,accident
0,0.0714286,0.0152439,0.00566202,0.284843,0.00522648,0.0348432,0.0352787,0.119774,accident
0.00329381,0.0230567,0,0.0085639,0.140975,0.00461133,0.482872,0.0210804,0.0467721,accident
0.00380952,0.11381,0.00333333,0.0309524,0.112857,0.0819048,0.148571,0.0490476,0.00380952,accident
0,0.0995745,0.00106383,0.0121277,0.00468085,0.00148936,0.102128,0.161702,0.0712766,accident
0,0.00964096,0.00365691,0.00398936,0.00897606,0.00465426,0.0917553,0.00199468,0.0209441,accident
0,0.0338915,0.0015949,0.0143541,0.164274,0.0167464,0.196571,0.0279107,0.0745614,accident
0,0.0123106,0.00820707,0.00441919,0.205808,0.0890152,0.203283,0.0934343,0.0479798,accident
0,0.0685976,0.0201982,0.015625,0.461128,0.00190549,0.0876524,0.0495427,0.0846037,accident
0.0189135,0.150604,0.00583501,0.0351107,0.0241449,0.0472837,0.00241449,0.00231388,0.00432596,accident
0,0.0656463,0.00464853,0.0283447,0.0209751,0.0153061,0.0984127,0.223243,0.05,accident
0.00895522,0.198081,0.00223881,0.0345416,0.00469083,0.013113,0.0413646,0.0102345,0.154904,accident
0.0111224,0.118265,0.00581633,0.0217347,0.0120408,0.040102,0.0367347,0.0147959,0.0415306,accident
0,0.110193,0,0.0482474,0.0160153,0.0715149,0.0513699,0.00423046,0.0594279,accident
0.00340909,0.0321023,0,0.00568182,0.0102273,0.0258523,0.264205,0.0446023,0.0321023,accident
0,0.151822,0,0.0178812,0.0620783,0.00236167,0.0506073,0.177126,0.052969,accident
0,0.0455712,0,0.0173299,0.0661104,0.00834403,0.0397946,0.290757,0.0173299,accident
0.00826121,0.119591,0,0.00393391,0.0043273,0.00275374,0.095594,0.0971676,0.0129819,accident
0,0.023545,0.0026455,0.00608466,0.0730159,0.012963,0.0984127,0.0917989,0.176455,accident
0.00961538,0.037296,0,0.0174825,0.0754662,0.00699301,0.0888695,0.104895,0.218531,accident
0.003125,0.1625,0.0118056,0.00104167,0.00868056,0.00625,0.210764,0.148958,0.0177083,accident
0,0.346077,0.00199468,0.0791223,0.0714761,0.0142952,0.333444,0.028258,0.0345745,accident
0.00165472,0.348042,0,0.0355764,0.00275786,0.015444,0.137617,0.0896304,0.0504688,accident
0,0.0581841,0.00671355,0.00671355,0.23913,0.0265345,0.0757673,0.0428389,0.0255754,accident
0.0107433,0.0206156,0,0.0966899,0.0191638,0.0124855,0.0705575,0.184088,0.0406504,accident
0.00979843,0.0638298,0,0.0299552,0.0380739,0.0358343,0.0442329,0.0207167,0.0520717,accident
0.046332,0.0802537,0,0.0499173,0.00661886,0.0179261,0.2016,0.0286817,0.0488141,accident
0.000968992,0.060562,0,0.0329457,0.0169574,0.029312,0.16061,0.0116279,0.0297965,accident
0.0037234,0.100266,0,0.0675532,0.0154255,0.0343085,0.0148936,0.0292553,0.0742021,accident
0,0.0132004,0.00296336,0.045528,0.0293642,0.141433,0.0557651,0.000538793,0.0972522,bomb
0,0.0180328,0,0.0177596,0.0822404,0.0273224,0.060929,0.000546448,0.0180328,bomb
0.0101648,0.00412088,0,0.042033,0.0225275,0.0032967,0.010989,0.00851648,0.0156593,bomb
