%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

% Global features from the images :
@ATTRIBUTE  Black_Pixel_Global NUMERIC
@ATTRIBUTE  Airs_Global NUMERIC
@ATTRIBUTE  Harris_Corners_Global NUMERIC
@ATTRIBUTE  Length_Area_Global NUMERIC
@ATTRIBUTE  Mass_Center_X_Global NUMERIC
@ATTRIBUTE  Mass_Center_Y_Global NUMERIC
@ATTRIBUTE  Hough_Lines_Global NUMERIC
@ATTRIBUTE  Rows_Or_Cols_Global NUMERIC
% Features from the images splited in 16 : 
@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Harris_Corners_0 NUMERIC
@ATTRIBUTE  Length_Area_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Hough_Lines_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Hough_Lines_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Hough_Lines_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Hough_Lines_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Hough_Lines_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Hough_Lines_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Hough_Lines_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Hough_Lines_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Hough_Lines_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE  Length_Area_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Hough_Lines_9 NUMERIC
@ATTRIBUTE  Black_Pixel_10 NUMERIC
@ATTRIBUTE  Airs_10 NUMERIC
@ATTRIBUTE  Harris_Corners_10 NUMERIC
@ATTRIBUTE  Length_Area_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Hough_Lines_10 NUMERIC
@ATTRIBUTE  Black_Pixel_11 NUMERIC
@ATTRIBUTE  Airs_11 NUMERIC
@ATTRIBUTE  Harris_Corners_11 NUMERIC
@ATTRIBUTE  Length_Area_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Hough_Lines_11 NUMERIC
@ATTRIBUTE  Black_Pixel_12 NUMERIC
@ATTRIBUTE  Airs_12 NUMERIC
@ATTRIBUTE  Harris_Corners_12 NUMERIC
@ATTRIBUTE  Length_Area_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Hough_Lines_12 NUMERIC
@ATTRIBUTE  Black_Pixel_13 NUMERIC
@ATTRIBUTE  Airs_13 NUMERIC
@ATTRIBUTE  Harris_Corners_13 NUMERIC
@ATTRIBUTE  Length_Area_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Hough_Lines_13 NUMERIC
@ATTRIBUTE  Black_Pixel_14 NUMERIC
@ATTRIBUTE  Airs_14 NUMERIC
@ATTRIBUTE  Harris_Corners_14 NUMERIC
@ATTRIBUTE  Length_Area_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Hough_Lines_14 NUMERIC
@ATTRIBUTE  Black_Pixel_15 NUMERIC
@ATTRIBUTE  Airs_15 NUMERIC
@ATTRIBUTE  Harris_Corners_15 NUMERIC
@ATTRIBUTE  Length_Area_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Hough_Lines_15 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person, police, road-block}

@DATA
0.0793608,0.0435633,5,0.0842898,0.405577,0.43788,43,1,0.0251208,0.000241546,6,0,0,0,0,0.0763285,0.0219807,4,0.0107796,0.54734,0.180786,0,0.0748792,0,3,0,0,0,0,0.0826087,0.0118357,64,0,0.314899,0.0885623,1,0.0913043,0.0190821,10,0.105465,0.108264,0.500139,0,0.179227,0.0236715,3,0.219939,0.330607,0.263135,2,0.0758454,0.0219807,8,0.0881382,0.444444,0.396739,2,0.0966184,0.0207729,13,0.116288,0.591358,0.474768,1,0.084058,0.0205314,12,0,0.402525,0.648296,2,0.0280193,0,2,0,0,0,0,0.0468599,0,5,0,0,0,0,0.236715,0.023913,57,0.207687,0.509518,0.492338,0,0.0251208,0.00772947,2,0,0.888702,0.0922543,0,0.0782609,0.0400966,6,0,0.236477,0.568171,2,0.0289855,0.00869565,6,0.025341,0,0,0,0.213527,0.0347826,2,0.241773,0.598299,0.382565,0,accident
0.128293,0.0319083,9,0.130806,0.373296,0.435516,35,1,0.0989011,0.0611722,32,0.130859,0.565428,0.41817,0,0.194139,0.180952,1,0.209123,0.504001,0.541297,0,0.0014652,0,4,0,0,0,0,0.113553,0.0172161,29,0,0.342857,0.141026,0,0.142125,0.0106227,18,0.151311,0.179321,0.589206,0,0.238828,0.0494505,13,0.222374,0.332323,0.335206,0,0.014652,0,2,0,0,0,0,0.142125,0.0139194,17,0.149248,0.692496,0.53148,0,0.158242,0.0223443,4,0.0609786,0.431418,0.53899,0,0.0358974,0.0014652,14,0,0.0678571,0.791667,0,0.106227,0.00695971,32,0.0568699,0.0214286,0.269231,0,0.328938,0.238462,12,0.246996,0.322326,0.22294,0,0.0344322,0.0201465,18,0.0254417,0.052381,0.0384615,0,0.124542,0.0212454,55,0,0.391429,0.411538,0,0.0102564,0,1350,0,0,0,0,0.312088,0.207692,7,0.320839,0.504224,0.330515,0,accident
0.0894786,0.26261,9,0.0975532,0.466337,0.474933,33,1,0.0107143,0,2,0,0,0,0,0.0877551,0.0206633,2,0.109836,0.602798,0.373858,2,0.109184,0.0132653,6,0.0234296,0.128125,0.132653,1,0.102041,0.00561224,1759,0.107641,0.6,0.42602,2,0.0984694,0.0334184,1801,0.0971891,0.233681,0.318027,1,0.169388,0.140306,8,0.0869222,0.643662,0.337523,0,0.00153061,0,4,0,0,0,0,0.097449,0.057398,3,0.083217,0.568223,0.554484,0,0.118878,0.0193878,2,0.145644,0.537459,0.4976,2,0.0372449,0,4,0,0,0,0,0.0311224,0.00127551,9,0.0346789,0.46875,0.326531,0,0.120918,0.195918,8,0.0913819,0.344936,0.216057,1,0.137755,0.27398,38,0.125202,0.465282,0.473314,0,0.0882653,0.00255102,8,0.0888755,0.14375,0.433673,1,0.0994898,0.0107143,1860,0.10863,0.530625,0.763265,2,0.180612,0.0836735,3,0.101257,0.286111,0.117914,1,accident
0.104331,0.195815,189,0.0843475,0.412252,0.505553,51,1,0.0437318,0.0121477,18,0.0475761,0.861607,0.742347,1,0.120019,0.0758017,14,0.040077,0.594211,0.438163,0,0.00194363,0,2,0,0,0,0,0.102041,0.0602527,47,0,0.594678,0.373281,2,0.105928,0.407434,38,0.100111,0.397043,0.819389,0,0.138484,0.118805,2016,0.131082,0.315763,0.390438,0,0.242954,0,7,0,0,0,0,0.0860058,0.00631681,4,0.0875329,0.763889,0.839164,0,0.0753158,0.0233236,6,0,0.413558,0.746514,1,0,0,0,0,0,0,0,0.100583,0.00777454,20,0.101782,0.642857,0.158163,2,0.23518,0.187804,51,0.240871,0.547585,0.597071,2,0.124393,0.0964529,4,0.051679,0.394703,0.107974,1,0.0655977,0.0354713,5,0.0327285,0.147817,0.688776,1,0.101555,0.026482,1839,0.0996972,0.0892857,0.183673,2,0.342566,0.438047,7,0.276556,0.438668,0.495111,5,accident
0.107118,0.0314527,1,0.101271,0.391733,0.340452,44,1,0.0316279,0.00302326,3,0.0311354,0.895349,0.798095,0,0.101395,0.237442,3,0.1216,0.517344,0.559001,0,0.000930233,0,4,0,0,0,0,0.0948837,0.00348837,1912,0,0.802326,0.49,1,0.12,0.0153488,9,0.121027,0.139913,0.400058,0,0.231628,0.264419,9,0.225034,0.42981,0.10845,1,0.0893023,0.0106977,7,0.0795491,0,0,2,0.132093,0.0227907,1961,0.119425,0.679005,0.655834,1,0.151163,0.0955814,6,0,0.272654,0.700169,3,0.00697674,0,4,0,0.0527132,0.934667,0,0.0967442,0.00395349,1908,0.10153,0.657807,0.271714,2,0.245581,0.0574419,6,0.127891,0.425696,0.250494,1,0.116744,0.00883721,10,0,0.0804264,0.240317,0,0.107442,0.0197674,1900,0,0.290172,0.215524,1,0.0990698,0.00627907,1967,0.094534,0.133721,0.6225,2,0.124651,0.00860465,7,0.103891,0.513618,0.397674,0,accident
0.0689489,0.0543954,30,0.0779467,0.472394,0.602175,16,0,0,0,0,0,0,0,0,0.0418483,0,2,0,0,0,0,0.0775937,0.00610288,9,0.0791622,0.207207,0.673835,0,0.137751,0.037925,27,0.0650738,0.53436,0.411353,1,0.158675,0.189189,18,0,0.37988,0.856631,0,0.115083,0.00305144,3,0,0,0,2,0.115083,0.0191805,4,0,0.275216,0.26207,0,0.0863121,0.0239756,12,0.149106,0.809524,0.221966,1,0.134263,0.0671316,9,0.133917,0.237525,0.314963,1,0.0087184,0,1,0,0,0,0,0.0122058,0,5,0,0,0,0,0.0749782,0,5,0,0,0,1,0.124673,0.0501308,34,0,0.444816,0.256918,0,0.0496949,0.0043592,17,0,0.101351,0.814516,0,0.0601569,0,3,0,0,0,0,0.0209241,0,5,0,0,0,0,accident
0.0915126,0.0018018,36,0.112408,0.442824,0.610529,12,0,0.0144928,0,4,0,0,0,0,0.21256,0.031401,22,0.246839,0.680976,0.378129,0,0.0305958,0,4,0.0100526,0.888889,0.108696,0,0.201288,0.109501,4,0.183862,0.395496,0.545194,0,0.172303,0.0378422,6,0,0.308642,0.586957,0,0.164251,0.0128824,548,0,0,0,0,0.117552,0,2,0,0,0,0,0.10789,0.00885668,4,0,0.209877,0.101449,0,0.0515298,0.00322061,11,0.0278804,0.085048,0.837359,0,0,0,0,0,0,0,0,0.0305958,0,3,0,0,0,0,0.169082,0.00322061,1,0,0.354938,0.292271,0,0.186795,0.0410628,4,0.0857566,0.494919,0.498038,0,0.183575,0,23,0,0,0,0,0.0933977,0.00563607,4,0,0,0,0,0.0450886,0,3,0,0,0,0,accident
0.108128,0.253447,5,0.130262,0.395319,0.561258,12,0,0.037037,0,1,0,0,0,0,0.222222,0.0260943,3,0.129721,0.625681,0.38687,0,0.020202,0,5,0,0.888889,0.113636,0,0.173401,0.0454545,1,0.164058,0.305623,0.552999,0,0.193603,0.127946,4,0.138885,0.265806,0.593159,0,0.170034,0.020202,2,0,0,0,0,0.114478,0,5,0,0,0,0,0.186869,0.0765993,7,0.233475,0.7694,0.27629,0,0.0942761,0.00589226,2,0.0481943,0.143609,0.73262,0,0,0,0,0,0,0,0,0.043771,0.003367,3,0,0.87037,0.727273,0,0.217172,0.0294613,5,0,0.297582,0.195076,0,0.191919,0.0378788,12,0.1764,0.585139,0.486184,0,0.102694,0,5,0,0,0,0,0.143098,0.0286195,5,0,0.62963,0.426136,0,0.0555556,0,14,0,0,0,0,accident
0.0900237,0.0454396,5,0.0791621,0.393945,0.504096,16,0,0.00431034,0,2,0,0,0,0,0.136853,0.028556,4,0.081355,0.6498,0.484881,0,0.0140086,0.046875,4,0,0.0625,0.853448,0,0.170259,0.0296336,3,0.149824,0.390631,0.512306,2,0.176724,0.119612,2,0,0.117188,0.0811782,0,0.143319,0.0199353,7,0,0.510417,0.218391,0,0.106681,0,19,0,0,0,0,0.121767,0.0161638,5,0.0802326,0.642361,0.138889,0,0.109914,0.0075431,7,0.093808,0.199267,0.63261,0,0,0,0,0,0,0,0,0.0193966,0.0107759,1,0,0.899306,0.842912,0,0.185345,0.0382543,29,0,0.40625,0.33908,0,0.142241,0.033944,9,0.133569,0.688802,0.458418,1,0.00323276,0,4,0,0,0,0,0.105603,0.00269397,9,0,0.630781,0.508521,1,0.0678879,0.044181,12,0,0.578125,0.396552,0,accident
0.103183,0.251402,4,0.11016,0.406727,0.584405,11,0,0.0357143,0,4,0,0,0,0,0.147321,0.0238095,5,0,0.650035,0.499428,0,0.0133929,0,2,0,0,0,0,0.178571,0.0513393,5,0.167187,0.327899,0.556524,0,0.169643,0.0379464,12,0,0.0972222,0.391204,0,0.190476,0.0498512,18,0,0.438492,0.19213,0,0.153274,0.016369,5,0,0,0,0,0.178571,0.0141369,4,0.193427,0.661579,0.252255,0,0.142857,0.0282738,8,0.141317,0.264334,0.51341,0,0.0401786,0,9,0,0,0,0,0.014881,0,2,0,0,0,0,0.232143,0.135417,601,0,0.142857,0.292245,0,0.154762,0.0357143,22,0,0.72619,0.502778,0,0.00595238,0,4,0,0,0,0,0.108631,0.0372024,6,0,0.631552,0.529425,0,0.0595238,0.0200893,4,0,0.839286,0.416667,0,accident
0.143983,0.156998,7,0.185287,0.359659,0.34238,4,0,0.02,0,2,0,0,0,0,0.24,0.0775,4,0.148211,0.251587,0.477579,0,0.1425,0,3,0,0,0,0,0.19,0.0175,381,0,0.3375,0.4,0,0.2425,0.00625,324,0.22692,0.370979,0.416259,0,0.3125,0.03375,9,0.189138,0.270833,0.053125,0,0.255,0.1475,4,0.0366421,0.05,0.04375,0,0.18,0.03625,4,0.157737,0.408039,0.231127,0,0.195,0.11375,21,0,0,0,0,0.105,0.0075,8,0,0.311905,0.738095,0,0.17,0.03875,5,0,0.591667,0.635417,0,0.13,0.00625,3,0.195888,0.363333,0.303333,0,0.2575,0,7,0,0,0,0,0.18,0.0075,9,0,0,0,0,0.205,0.02625,316,0.19809,0.3,0.3,0,0.1,0.0025,7,0,0,0,0,accident
0.126543,0.126809,2,0.145319,0.538769,0.470187,8,0,0.0723104,0.0141093,6,0.111435,0.658436,0.779101,0,0.148148,0.00970018,15,0,0.801764,0.220522,0,0.0881834,0,4,0,0,0,0,0.162257,0.0238095,7,0,0.683629,0.67587,0,0.21164,0.015873,58,0.211896,0.29255,0.358703,0,0.326279,0.0388007,7,0.124438,0.201646,0.0562169,0,0.232804,0.170194,10,0.20473,0.453704,0.365079,0,0.0864198,0.0176367,4,0,0.2,0.119048,0,0.135802,0.0176367,12,0,0.254428,0.690237,0,0.144621,0,6,0,0,0,0,0.142857,0.0246914,485,0,0.166667,0.357143,0,0.134039,0.042328,2,0.14938,0.504409,0.571429,0,0.0776014,0,6,0,0,0,0,0.144621,0.0679012,5,0,0.434917,0.62211,0,0.135802,0.000881834,17,0.0675727,0.222222,0.285714,0,0.0881834,0.0141093,3,0.108262,0.649383,0.669841,0,accident
0.141473,0.135757,10,0.125366,0.496825,0.360012,6,1,0.130435,0.017663,6,0.137575,0.740104,0.542754,0,0.0461957,0.00951087,3,0,0,0,0,0.048913,0,3,0,0,0,0,0.220109,0,350,0,0,0,0,0.206522,0.00951087,21,0.179629,0.312789,0.234098,0,0.201087,0.0516304,317,0.174088,0.504167,0.615217,0,0.225543,0.111413,7,0.257056,0.571528,0.488889,0,0.168478,0.0258152,6,0.09363,0.326172,0.294384,0,0.241848,0.0665761,8,0,0.422101,0.475362,0,0.160326,0,3,0,0,0,0,0.25,0.0122283,301,0.116108,0,0,0,0.217391,0.0108696,14,0,0,0,0,0.0271739,0,2,0,0,0,0,0.203804,0.0366848,10,0,0,0,0,0.241848,0.0190217,299,0.238919,0,0,0,0.0244565,0,3,0,0,0,0,accident
0.133603,0.0780702,27,0.128998,0.414996,0.430912,9,1,0.125,0,2,0,0,0,0,0.158482,0.0368304,23,0.0687477,0.583333,0.661797,0,0.0178571,0,2,0,0,0,0,0.245536,0.0212054,13,0.125476,0.500827,0.788171,0,0.254464,0.206473,68,0.23887,0.476267,0.479205,0,0.25,0.24442,359,0.240023,0.6625,0.494444,0,0.185268,0.0279018,8,0.177767,0.473259,0.354734,0,0.0357143,0.00669643,7,0,0.141667,0.0809524,0,0.198661,0.0078125,6,0,0.518403,0.445337,0,0.00223214,0,2,0,0,0,0,0.171875,0.0279018,9,0.167662,0.76875,0.575,0,0.216518,0.0904018,13,0.0561208,0.230469,0.232143,0,0.0892857,0.0223214,1,0,0.66875,0.157143,0,0.1875,0,8,0,0,0,0,0.225446,0.0602679,409,0.195647,0.322917,0.178571,0,0.111607,0.102679,4,0,0.177083,0.154762,0,accident
