%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

% Global features from the images :
@ATTRIBUTE  Black_Pixel_Global NUMERIC
@ATTRIBUTE  Airs_Global NUMERIC
@ATTRIBUTE  Harris_Corners_Global NUMERIC
@ATTRIBUTE  Length_Area_Global NUMERIC
@ATTRIBUTE  Mass_Center_X_Global NUMERIC
@ATTRIBUTE  Mass_Center_Y_Global NUMERIC
@ATTRIBUTE  Hough_Lines_Global NUMERIC
@ATTRIBUTE  Rows_Or_Cols_Global NUMERIC
% Features from the images splited in 25 : 
@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Harris_Corners_0 NUMERIC
@ATTRIBUTE  Length_Area_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Hough_Lines_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Hough_Lines_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Hough_Lines_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Hough_Lines_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Hough_Lines_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Hough_Lines_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Hough_Lines_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Hough_Lines_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Hough_Lines_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE  Length_Area_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Hough_Lines_9 NUMERIC
@ATTRIBUTE  Black_Pixel_10 NUMERIC
@ATTRIBUTE  Airs_10 NUMERIC
@ATTRIBUTE  Harris_Corners_10 NUMERIC
@ATTRIBUTE  Length_Area_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Hough_Lines_10 NUMERIC
@ATTRIBUTE  Black_Pixel_11 NUMERIC
@ATTRIBUTE  Airs_11 NUMERIC
@ATTRIBUTE  Harris_Corners_11 NUMERIC
@ATTRIBUTE  Length_Area_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Hough_Lines_11 NUMERIC
@ATTRIBUTE  Black_Pixel_12 NUMERIC
@ATTRIBUTE  Airs_12 NUMERIC
@ATTRIBUTE  Harris_Corners_12 NUMERIC
@ATTRIBUTE  Length_Area_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Hough_Lines_12 NUMERIC
@ATTRIBUTE  Black_Pixel_13 NUMERIC
@ATTRIBUTE  Airs_13 NUMERIC
@ATTRIBUTE  Harris_Corners_13 NUMERIC
@ATTRIBUTE  Length_Area_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Hough_Lines_13 NUMERIC
@ATTRIBUTE  Black_Pixel_14 NUMERIC
@ATTRIBUTE  Airs_14 NUMERIC
@ATTRIBUTE  Harris_Corners_14 NUMERIC
@ATTRIBUTE  Length_Area_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Hough_Lines_14 NUMERIC
@ATTRIBUTE  Black_Pixel_15 NUMERIC
@ATTRIBUTE  Airs_15 NUMERIC
@ATTRIBUTE  Harris_Corners_15 NUMERIC
@ATTRIBUTE  Length_Area_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Hough_Lines_15 NUMERIC
@ATTRIBUTE  Black_Pixel_16 NUMERIC
@ATTRIBUTE  Airs_16 NUMERIC
@ATTRIBUTE  Harris_Corners_16 NUMERIC
@ATTRIBUTE  Length_Area_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE  Hough_Lines_16 NUMERIC
@ATTRIBUTE  Black_Pixel_17 NUMERIC
@ATTRIBUTE  Airs_17 NUMERIC
@ATTRIBUTE  Harris_Corners_17 NUMERIC
@ATTRIBUTE  Length_Area_17 NUMERIC
@ATTRIBUTE  Mass_Center_X_17 NUMERIC
@ATTRIBUTE  Mass_Center_Y_17 NUMERIC
@ATTRIBUTE  Hough_Lines_17 NUMERIC
@ATTRIBUTE  Black_Pixel_18 NUMERIC
@ATTRIBUTE  Airs_18 NUMERIC
@ATTRIBUTE  Harris_Corners_18 NUMERIC
@ATTRIBUTE  Length_Area_18 NUMERIC
@ATTRIBUTE  Mass_Center_X_18 NUMERIC
@ATTRIBUTE  Mass_Center_Y_18 NUMERIC
@ATTRIBUTE  Hough_Lines_18 NUMERIC
@ATTRIBUTE  Black_Pixel_19 NUMERIC
@ATTRIBUTE  Airs_19 NUMERIC
@ATTRIBUTE  Harris_Corners_19 NUMERIC
@ATTRIBUTE  Length_Area_19 NUMERIC
@ATTRIBUTE  Mass_Center_X_19 NUMERIC
@ATTRIBUTE  Mass_Center_Y_19 NUMERIC
@ATTRIBUTE  Hough_Lines_19 NUMERIC
@ATTRIBUTE  Black_Pixel_20 NUMERIC
@ATTRIBUTE  Airs_20 NUMERIC
@ATTRIBUTE  Harris_Corners_20 NUMERIC
@ATTRIBUTE  Length_Area_20 NUMERIC
@ATTRIBUTE  Mass_Center_X_20 NUMERIC
@ATTRIBUTE  Mass_Center_Y_20 NUMERIC
@ATTRIBUTE  Hough_Lines_20 NUMERIC
@ATTRIBUTE  Black_Pixel_21 NUMERIC
@ATTRIBUTE  Airs_21 NUMERIC
@ATTRIBUTE  Harris_Corners_21 NUMERIC
@ATTRIBUTE  Length_Area_21 NUMERIC
@ATTRIBUTE  Mass_Center_X_21 NUMERIC
@ATTRIBUTE  Mass_Center_Y_21 NUMERIC
@ATTRIBUTE  Hough_Lines_21 NUMERIC
@ATTRIBUTE  Black_Pixel_22 NUMERIC
@ATTRIBUTE  Airs_22 NUMERIC
@ATTRIBUTE  Harris_Corners_22 NUMERIC
@ATTRIBUTE  Length_Area_22 NUMERIC
@ATTRIBUTE  Mass_Center_X_22 NUMERIC
@ATTRIBUTE  Mass_Center_Y_22 NUMERIC
@ATTRIBUTE  Hough_Lines_22 NUMERIC
@ATTRIBUTE  Black_Pixel_23 NUMERIC
@ATTRIBUTE  Airs_23 NUMERIC
@ATTRIBUTE  Harris_Corners_23 NUMERIC
@ATTRIBUTE  Length_Area_23 NUMERIC
@ATTRIBUTE  Mass_Center_X_23 NUMERIC
@ATTRIBUTE  Mass_Center_Y_23 NUMERIC
@ATTRIBUTE  Hough_Lines_23 NUMERIC
@ATTRIBUTE  Black_Pixel_24 NUMERIC
@ATTRIBUTE  Airs_24 NUMERIC
@ATTRIBUTE  Harris_Corners_24 NUMERIC
@ATTRIBUTE  Length_Area_24 NUMERIC
@ATTRIBUTE  Mass_Center_X_24 NUMERIC
@ATTRIBUTE  Mass_Center_Y_24 NUMERIC
@ATTRIBUTE  Hough_Lines_24 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person, police, road-block}

@DATA
0.0793608,0.0435633,5,0.0842898,0.405577,0.43788,43,1,0.0900901,0,1,0,0,0,0,0.0720721,0.0292793,3,0.016752,0.541607,0.209777,0,0.0525526,0.0289039,4,0,0,0,1,0.211712,0.0593093,10,0.162758,0.422068,0.138639,0,0.150901,0.0307808,22,0,0.106852,0.331329,0,0.0795796,0,4,0,0,0,0,0.119369,0.00825826,1217,0,0.340038,0.407632,2,0.0105105,0,6,0.0058772,0,0,0,0.0810811,0.114114,2,0.0603736,0.647817,0.151544,0,0.103604,0.0630631,9,0.0734408,0.130195,0.175839,0,0,0,0,0,0,0,0,0.0968468,0.00863363,45,0,0.50463,0.108108,0,0.121622,0.0750751,26,0,0.56875,0.486486,1,0.117117,0.0322823,14,0.127077,0.21037,0.695315,0,0.147147,0.115616,4,0.151834,0.496605,0.12012,0,0.188438,0.0461712,1,0.0890688,0.0610269,0.0933661,1,0.0915916,0.0015015,1274,0.108156,0.305556,0.371622,0,0.106607,0.021021,15,0.118532,0.49986,0.340048,0,0.0322823,0.00713213,8,0,0.118386,0.881532,0,0,0,0,0,0,0,0,0.0225225,0,2,0,0,0,0,0.102853,0.0364114,1272,0.0203236,0.387346,0.236787,0,0.108108,0.0683183,25,0.12914,0.205799,0.336755,0,0.11036,0.0371622,15,0,0.624949,0.389576,2,0.018018,0,6,0,0.0694444,0.873874,0,accident
0.128293,0.0319083,9,0.130806,0.373296,0.435516,35,1,0.105991,0.0201613,7,0.13041,0.680145,0.543862,0,0.14977,0.167627,2,0.209049,0.577381,0.355735,0,0.0771889,0.00921659,836,0,0,0,0,0.243088,0.101959,8,0.148331,0.49504,0.365591,0,0.220046,0.0443548,20,0.223623,0.240823,0.614919,0,0,0,0,0,0,0,0,0.142857,0.00864055,805,0,0.294643,0.419355,0,0.00345622,0,4,0,0,0,0,0.12788,0.107143,9,0.113394,0.796726,0.249462,0,0.0737327,0.0144009,3,0.0427905,0.208333,0.175627,0,0,0,0,0,0,0,0,0.134793,0.0115207,792,0,0,0,0,0.232719,0.0593318,9,0.129628,0.385663,0.513032,0,0.184332,0.014977,716,0.180753,0.243885,0.517107,0,0.317972,0.120392,17,0.235393,0.237805,0.11557,0,0.062212,0.300115,4,0.032899,0.046131,0.0725806,0,0.0195853,0,3,0,0,0,0,0.176267,0.0288018,8,0.178286,0.482954,0.637364,0,0.135945,0.093318,13,0,0.576779,0.650447,0,0.0576037,0,10,0,0,0,0,0.137097,0.00460829,26,0.14421,0,0,0,0.220046,0.0812212,4,0,0.880291,0.281959,0,0.1947,0.00518433,7,0.222263,0.395363,0.630164,0,0.0357143,0,6,0,0.875,0.16129,0,0.104839,0.015553,10,0,0.195833,0.705187,0,accident
0.0894786,0.26261,9,0.0975532,0.466337,0.474933,33,1,0,0,0,0,0,0,0,0.0576923,0.00600962,41,0.0240149,0.846354,0.681624,0,0.0304487,0,7,0.023626,0,0,0,0.0913462,0.0116186,6,0.0964311,0,0,1,0.370192,0.251603,7,0.186902,0.540735,0.334567,1,0.00801282,0,12,0,0,0,0,0.126603,0.0148237,1110,0.133681,0.267578,0.517094,2,0.124199,0.00200321,9,0.137,0.609933,0.546932,1,0.117788,0,4,0,0,0,0,0.295673,0.0384615,11,0.230447,0.127865,0.197863,0,0.056891,0,6,0,0,0,0,0.129006,0.0128205,1159,0,0.28125,0.173077,2,0.113782,0.00721154,25,0,0.393171,0.262773,0,0.120994,0.00280449,1134,0.115275,0.26237,0.201923,0,0.0248397,0.0116186,4,0,0.877083,0.694017,0,0.165064,0.0745192,4,0.0750553,0.267125,0.464437,0,0,0,0,0,0,0,0,0.123397,0.0448718,3,0.104508,0.853368,0.611676,0,0.0921474,0.0120192,1196,0.0520362,0.199653,0.641738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119391,0.0144231,1108,0.133017,0.546875,0.294872,1,0.0873397,0.0264423,7,0.091057,0.429477,0.818613,0,0.142628,0.0713141,5,0.162234,0.47247,0.551206,2,0.0160256,0,12,0.0117443,0.0625,0.884615,0,accident
0.104331,0.195815,189,0.0843475,0.412252,0.505553,51,1,0.0707071,0,5,0,0,0,0,0.0971251,0.042735,6,0.145649,0.304703,0.608641,2,0.130536,0.00854701,4,0.126412,0,0,2,0.239316,0.122378,6,0.152992,0.717043,0.303419,0,0.223776,0.0174825,7,0.108032,0.205129,0.497335,0,0.017094,0,4,0,0.924242,0.128205,0,0.107226,0.0944056,11,0,0.26846,0.647067,1,0.125097,0.034188,1136,0.108678,0,0,0,0.274281,0.101399,5,0.193455,0.654237,0.366928,0,0.0831391,0.00815851,12,0.0639525,0.0832398,0.201488,0,0,0,0,0,0,0,0,0.10878,0.0322455,7,0,0.724297,0.221612,0,0.127428,0.13209,7,0,0.34108,0.357064,2,0.111888,0.277389,34,0.136284,0.167388,0.865446,0,0.188811,0.028749,1250,0.163433,0.310774,0.39432,0,0.122766,0,2,0,0,0,0,0.278943,0,1,0,0,0,0,0.105672,0.179487,5,0.119888,0.733886,0.794668,0,0.018648,0,1,0,0.118326,0.903541,0,0,0,0,0,0,0,0,0.10878,0.0027195,14,0.113107,0.863636,0.358974,0,0.129759,0.11655,60,0.1027,0.454861,0.346154,0,0.237762,0.0718726,1,0.275666,0.476036,0.448974,0,0.142191,0.024864,10,0.0697834,0.534989,0.40835,1,0.0885781,0,7,0,0,0,0,accident
0.107118,0.0314527,1,0.101271,0.391733,0.340452,44,1,0.0573529,0,2,0,0,0,0,0.0941176,0.0632353,1273,0.138188,0.388883,0.640855,2,0.125735,0.0113971,1236,0.124699,0.198529,0.25625,2,0.0948529,0.00147059,2,0.044096,0.897059,0.658333,0,0.211765,0.03125,8,0.216372,0.307131,0.422731,0,0,0,0,0,0,0,0,0.125,0.00367647,1151,0,0.257353,0.0875,2,0.104412,0.00698529,1222,0.0995426,0.142157,0.354167,0,0.0757353,0.0400735,2,0.0602814,0.546742,0.462921,0,0.0963235,0.00808824,1333,0.0354509,0.103387,0.711742,0,0,0,0,0,0,0,0,0.106618,0.0363971,1282,0,0.779412,0.1625,0,0.117647,0.0955882,2,0.0345894,0.583473,0.494107,0,0.146324,0.0191176,4,0.139783,0.265423,0.500971,0,0.194118,0.0286765,12,0.176949,0.254902,0.0669935,0,0.156618,0.0246324,2,0.0996521,0.0588235,0.0416667,0,0.111765,0.00735294,5,0.0460712,0,0,2,0.158824,0.0224265,1188,0.146403,0.595522,0.567756,0,0.0801471,0.0194853,6,0,0.254215,0.745896,1,0.0455882,0,3,0,0,0,0,0.0897059,0.00551471,8,0.0911115,0.832353,0.58,1,0.05,0.0650735,8,0,0.0522876,0.0611111,0,0.392647,0.208456,3,0.101131,0.232079,0.250637,1,0.0691176,0.0139706,9,0,0.753317,0.180505,1,0.0838235,0.00955882,50,0,0.17402,0.56926,0,accident
0.0689489,0.0543954,30,0.0779467,0.472394,0.602175,16,0,0,0,0,0,0,0,0,0.0708333,0,6,0,0,0,0,0.133333,0,13,0,0,0,0,0.0972222,0,8,0,0,0,0,0.141667,0.0138889,610,0,0,0,0,0.0847222,0.01875,3,0,0.83431,0.219017,0,0.0958333,0.0173611,13,0,0.175187,0.733751,0,0.0736111,0,1,0,0,0,0,0.0319444,0,4,0,0,0,0,0.0486111,0.0118056,6,0.0577172,0.755556,0.37037,0,0.104167,0,13,0,0,0,0,0.155556,0.0208333,12,0.0715652,0.637205,0.337749,0,0.144444,0.0541667,4,0.215131,0.685859,0.333228,0,0.190278,0.172917,28,0,0.212963,0.391204,0,0.159722,0.01875,4,0,0,0,1,0.175,0.00416667,11,0,0.744444,0.104167,0,0.108333,0,14,0,0,0,0,0.101389,0.0152778,17,0,0.716667,0.0833333,0,0.0513889,0.00416667,2,0,0.05,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,10,0,0,0,0,0.0694444,0.00694444,3,0,0,0,0,0.136111,0.107639,6,0,0.400563,0.498281,0,0.05,0,2,0,0,0,0,accident
0.0915126,0.0018018,36,0.112408,0.442824,0.610529,12,0,0.0119617,0,1,0,0,0,0,0.160287,0.0167464,3,0,0.765152,0.472807,0,0.0478469,0,5,0,0,0,0,0.0956938,0,4,0,0,0,0,0.105263,0,11,0,0,0,0,0.239234,0.0442584,12,0.203648,0.578745,0.426971,1,0.0239234,0,6,0.0115513,0.0808081,0.853801,0,0.100478,0,4,0,0,0,0,0.349282,0,3,0,0,0,0,0.0574163,0.0454545,2,0,0,0,0,0.0263158,0,2,0,0,0,0,0.337321,0.208134,11,0.316839,0.499549,0.426378,0,0.19378,0.0119617,6,0.169433,0.278485,0.561679,0,0.186603,0.0502392,6,0,0.416667,0.379386,0,0.210526,0.0227273,391,0,0,0,0,0.191388,0,4,0,0,0,0,0.114833,0,3,0,0,0,0,0.0191388,0.0167464,12,0,0,0,0,0.143541,0,14,0,0,0,0,0,0,0,0,0,0,0,0.188995,0,5,0,0,0,0,0.160287,0.0370813,11,0,0.460606,0.364912,0,0.210526,0.0490431,5,0.0380371,0.57197,0.374269,0,0.069378,0.00598086,6,0.0414204,0.148148,0.717349,0,0.0478469,0,6,0,0,0,0,accident
0.108128,0.253447,5,0.130262,0.395319,0.561258,12,0,0,0,0,0,0,0,0,0.126984,0.0171958,9,0,0.837302,0.751852,0,0.0714286,0,7,0,0.833333,0.722222,0,0.126984,0.0185185,6,0,0.142857,0.287037,0,0.137566,0.00396825,17,0,0,0,0,0.216931,0.0555556,2,0,0.671013,0.420194,0,0.015873,0,3,0,0.0634921,0.87037,0,0.185185,0.0304233,16,0,0.714286,0.458333,0,0.410053,0,4,0,0,0,0,0.026455,0,2,0,0,0,0,0.0026455,0,2,0,0,0,0,0.248677,0.119048,4,0.215499,0.419766,0.516088,0,0.26455,0.037037,8,0.238803,0.429822,0.512837,0,0.214286,0.191799,5,0.150638,0.298942,0.511728,0,0.203704,0,334,0,0,0,0,0.219577,0.00925926,4,0,0.51746,0.285185,0,0.103175,0,2,0,0,0,0,0.203704,0.0224868,2,0.19414,0.24127,0.087037,0,0.230159,0,4,0,0,0,0,0,0,0,0,0,0,0,0.126984,0,3,0,0,0,0,0.18254,0.0462963,12,0,0.531746,0.466667,0,0.206349,0.0555556,5,0.0442538,0.392857,0.122222,0,0.161376,0.0119048,5,0.0810249,0.184641,0.679194,0,0,0,0,0,0,0,0,accident
0.0900237,0.0454396,5,0.0791621,0.393945,0.504096,16,0,0,0,0,0,0,0,0,0.0434783,0,9,0,0,0,0,0.0351171,0,8,0,0,0,0,0.110368,0.0284281,11,0,0.18141,0.353623,0,0.145485,0.0342809,9,0,0.121795,0.434783,0,0.170569,0.0342809,8,0.0599834,0.692168,0.413241,0,0.0317726,0.00668896,5,0.0137837,0.0865385,0.847826,0,0.123746,0.0392977,7,0,0.596154,0.489967,0,0.147157,0,9,0,0,0,0,0.0869565,0.0660535,7,0,0.436206,0.682207,0,0.140468,0,1,0,0,0,0,0.255853,0.120401,3,0.226842,0.4663,0.435145,0,0.252508,0.0802676,5,0.170082,0.329362,0.477207,0,0.205686,0.101171,3,0,0.110577,0.0543478,0,0.170569,0.0242475,45,0,0,0,0,0.158863,0,12,0,0,0,0,0.122074,0,3,0,0,0,0,0.0986622,0.0150502,4,0,0,0,0,0.187291,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137124,0.0309365,13,0,0.576923,0.527174,0,0.11204,0.00083612,5,0.021858,0.567308,0.347826,0,0.143813,0.0342809,11,0.135408,0.224381,0.625375,0,0.00501672,0,2,0,0,0,0,accident
0.103183,0.251402,4,0.11016,0.406727,0.584405,11,0,0,0,0,0,0,0,0,0.0143541,0,3,0,0,0,0,0.0167464,0,4,0,0,0,0,0.136364,0.0562201,18,0,0.301136,0.440789,0,0.160287,0.0167464,345,0,0,0,0,0.196172,0.0466507,4,0,0.681818,0.422306,0,0.00956938,0,4,0,0,0,0,0.119617,0.00598086,10,0,0.653555,0.415655,0,0.27512,0,10,0,0,0,0,0.0167464,0,3,0,0,0,0,0.00239234,0,2,0,0,0,0,0.23445,0.076555,6,0.200814,0.397751,0.529751,0,0.301435,0.0669856,10,0.238931,0.458903,0.330644,0,0.200957,0.0873206,13,0,0.123737,0.362573,0,0.205742,0.0215311,27,0,0,0,0,0.289474,0.0777512,6,0,0.431818,0.276316,0,0.141148,0.0119617,2,0,0,0,0,0.200957,0.0191388,2,0.115343,0.430808,0.263743,0,0.0239234,0,6,0,0.0681818,0.842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172249,0.0311005,23,0,0.687389,0.531107,0,0.0885167,0.00358852,13,0,0.19697,0.245614,0,0.196172,0.0334928,42,0.0870449,0.25,0.486842,0,0,0,0,0,0,0,0,accident
