%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0.0217742,6,0.114247,198.5,0.0290323,25.5,0.0153226,1,0.202151,691.5,0.0712366,58.5,0.0634409,20,0.125538,215,0.0774194,41.5,accident
0.0931353,23.5,0.220393,23.5,0.0682457,28,0.0923324,213.5,0.254918,124,0.0867122,11.5,0.120032,219,0.122441,77,0.109595,26,accident
0.0251572,3,0.0983419,478,0.0445969,26,0.0748999,2,0.210692,129,0.0789022,15,0.0734706,17.5,0.134648,156,0.07004,113,accident
0.0619589,35,0.135823,358,0.0248918,15,0.101461,431,0.243506,1004.5,0.0792749,54,0.15368,2290.5,0.0570887,40,0.0657468,102,accident
0.0566135,47,0.16598,521.5,0.0514668,54,0.0728255,9,0.17473,100.5,0.0725682,8.5,0.108338,983,0.16598,7,0.10808,89,accident
0.0297561,-1,0.0960976,49.5,0.0185366,4,0.0478049,-1,0.077561,3.5,0.1,58,0.129268,1.5,0.0990244,13,0.0839024,14.5,accident
0.0470793,5,0.171752,32.5,0.0331299,-1,0.0845684,14,0.092415,1,0.109852,6,0.140366,44.5,0.12816,-1,0.108108,14.5,accident
0.0351852,5,0.223148,105,0.000925926,-1,0.114815,20.5,0.102778,95.5,0.117593,31,0.165741,156,0.117593,3,0.140741,23.5,accident
0.0110159,2,0.171971,147.5,0.0458996,-1,0.0832313,25.5,0.0844553,271,0.111383,44,0.147491,113.5,0.112607,101,0.101591,69.5,accident
0.00904605,1,0.215461,69.5,0.00164474,-1,0.0896382,25,0.0863487,1,0.121711,31,0.148849,25.5,0.143092,4,0.136513,18.5,accident
0.0129032,-1,0.153917,26.5,0.078341,4,0.0700461,13,0.146544,87,0.147465,9,0.270968,93.5,0.199078,153,0.223963,136,accident
0.0810631,28.5,0.188704,53,0,-1,0.107641,21,0.142857,20,0.100332,25.5,0.202658,94,0.178073,114,0.179402,33.5,accident
0.0761099,36.5,0.191332,60.5,0.0174419,3.5,0.106237,31,0.0692389,48,0.153805,54,0.178647,10,0.188689,97.5,0.0549683,42.5,accident
0.00071736,-1,0.234577,153.5,0,-1,0.126973,17,0.176471,44.5,0.101865,14,0.214491,0.5,0.197991,284.5,0.205165,32,accident
0.0852941,7,0.197059,69.5,0,-1,0.141176,23.5,0.245098,33.5,0.00588235,0,0.247059,54,0.303922,186.5,0.24902,4.5,accident
0.055673,18,0.148696,67.5,0.0458069,-1,0.0894996,39,0.0796335,48.5,0.0923185,49,0.0415786,11.5,0.0493305,3.5,0.154334,42,accident
0.115115,14.5,0.112112,26.5,0.024024,-1,0.133133,33,0.0860861,12,0.126126,14,0.132132,62,0.122122,-1,0.0920921,9.5,accident
0.0421811,5,0.151235,41.5,0,-1,0.0925926,22,0.110082,5,0.0874486,23,0.13786,14,0.121399,0,0.147119,9,accident
0.0979167,4,0.146875,5.5,0.0458333,-1,0.103125,21.5,0.0541667,2,0.110417,24.5,0.105208,64,0.123958,-1,0.139583,61,accident
0.0840336,17,0.170868,44.5,0.00210084,-1,0.0756303,27.5,0.0406162,-1,0.134454,50,0.0973389,24.5,0.121849,100.5,0.0910364,21.5,accident
0.3125,1,0.286458,12,0.0104167,-1,0.328125,2,0.0677083,0,0.328125,3.5,0.203125,-1,0.166667,-1,0.151042,8,accident
0.20979,3.5,0.300699,3,0.573427,-1,0.223776,2,0.216783,0,0.230769,-1,0.216783,-1,0.258741,1,0.496503,0,accident
0.170833,1,0.283333,4.5,0.05,1,0.154167,5.5,0.145833,-1,0.270833,0,0.170833,-1,0.220833,0,0.2125,-1,accident
0.238562,2.5,0.29085,19,0.00980392,-1,0.140523,7,0.0882353,-1,0.27451,9,0.147059,-1,0.166667,5.5,0.117647,0,accident
0.117225,2,0.272727,22,0.155502,-1,0.220096,9.5,0.100478,1.5,0.200957,18.5,0.188995,8,0.119617,7,0.196172,16,accident
0.106996,12,0.165981,1.5,0.138546,24.5,0.142661,14.5,0.119342,5.5,0.130316,2,0.208505,14.5,0.237311,8,0.17284,19.5,accident
0.0814176,4,0.181034,20.5,0.0507663,-1,0.103448,6,0.0938697,2,0.12069,21.5,0.176245,8.5,0.231801,103,0.122605,19,accident
0.120235,6,0.171554,128.5,0.0835777,-1,0.180352,0,0.117302,-1,0.164223,-1,0.196481,8.5,0.180352,20,0.178886,25,accident
0.0551378,5,0.199248,68.5,0.0626566,2.5,0.200501,9,0.114035,12.5,0.184211,14,0.218045,175,0.179198,13,0.101504,24.5,accident
0.0237557,1,0.209276,5.5,0.107466,10,0.161765,17.5,0.115385,14.5,0.150452,4,0.21267,22,0.186652,48,0.178733,18,accident
0.000258799,-1,0.134058,181.5,0.0010352,0,0.0561594,43.5,0.0509834,9.5,0.0804865,72.5,0.104037,50,0.0830745,14.5,0.0980849,34,accident
0.0161476,-1,0.133506,122.5,0.00144175,0,0.0354671,19.5,0.0544983,19,0.0911188,86.5,0.105825,220.5,0.0801615,68.5,0.0940023,219,accident
0.0252207,-1,0.101639,285,0.0151324,5.5,0.0552333,26.5,0.0388398,1,0.0802018,87,0.0713745,28.5,0.0615385,66,0.0612863,54,accident
0.044252,26,0.0954786,210,0.00793651,3.5,0.0553151,24.5,0.0440115,1,0.0740741,73,0.0692641,20,0.0675806,14.5,0.0906686,185,accident
0.00403226,1,0.103653,186.5,0.0505218,18.5,0.0574004,38,0.0239564,1,0.0536053,66.5,0.079222,54,0.0149431,-1,0.0203985,-1,accident
0.028463,-1,0.218216,59.5,0.114801,-1,0.0768501,-1,0.0550285,10,0.117647,23.5,0.056926,-1,0.0303605,3,0.139469,45.5,accident
0.0841785,23,0.213996,44,0.0882353,-1,0.0638945,-1,0.0446247,2,0.111562,28,0.102434,0.5,0.137931,172,0.191684,136.5,accident
0.0280438,3.5,0.183311,60.5,0.0246238,-1,0.0937073,33,0.0533516,5.5,0.101915,32.5,0.0759234,25,0.116279,0,0.136799,21.5,accident
0.0332122,9.5,0.182667,56.5,0.0498184,-1,0.0778412,44,0.0721328,252,0.114167,57,0.0513752,-1,0.0690192,9.5,0.0679813,8,accident
0.00763775,2,0.156028,145.5,0.00163666,-1,0.0741953,40,0.0518276,1,0.0823786,24,0.0589198,15.5,0.102019,4,0.152755,42.5,accident
0.016129,-1,0.207885,53,0.0277778,2.5,0.0896057,27.5,0.0430108,-1,0.145161,35.5,0.146057,27,0.0913978,-1,0.129928,27,accident
0.0327035,8.5,0.21875,54.5,0.0806686,-1,0.0915698,38,0.059593,2,0.111919,79.5,0.0668605,7,0.117006,0,0.165698,5,accident
0.0120739,2,0.223722,88,0.0447443,-1,0.0965909,36,0.0823864,1,0.0951705,43.5,0.0674716,7.5,0.068892,0,0.171165,130,accident
0.0329457,1,0.164083,51,0.0135659,-1,0.0813953,19,0.104005,45,0.0768734,20,0.104651,28,0.0723514,28,0.151163,28,accident
0.0855856,24.5,0.18018,7.5,0.0112613,0,0.0938438,5.5,0.0788288,-1,0.132883,52.5,0.132132,60,0.117117,71,0.115616,9.5,accident
0.00127592,-1,0.103349,198.5,0.0478469,24.5,0.0816587,51,0.060925,0,0.0896332,31,0.12823,160,0.0708134,44.5,0.0714514,34,accident
0.0769231,17.5,0.118077,58.5,0.0153846,3,0.0930769,22.5,0.0576923,3.5,0.121538,62.5,0.158462,396,0.171538,405.5,0.125,39,accident
0.0406619,7,0.171631,61.5,0.00189125,-1,0.103546,15,0.0978723,254,0.12766,31.5,0.183452,122.5,0.18818,439.5,0.162175,125,accident
0.0690678,20,0.140678,87.5,0.0360169,11,0.113559,18,0.101271,3,0.122034,19,0.111017,139,0.15339,129.5,0.0766949,40,accident
0.0333525,5.5,0.211041,29.5,0.000575043,-1,0.12996,0.5,0.0626797,7,0.155837,32,0.20184,8.5,0.216791,99.5,0.146061,46,accident
0.0678999,44,0.0821947,104,0.0063065,3,0.064116,43,0.0571789,7,0.0849275,91,0.0973303,42.5,0.0975405,1190.5,0.0704225,7,accident
0.0861306,86.5,0.07312,31,0.0270622,27,0.0510018,7,0.0647931,10,0.0720791,36.5,0.0710383,393.5,0.112412,786,0.103305,59,accident
0.0614326,46.5,0.101281,26.5,0.00664137,0,0.0749526,20,0.0552657,0.5,0.0820683,80,0.101518,635.5,0.0894213,80,0.115987,198,accident
0.0409861,14,0.130663,247.5,0.0628659,49,0.0856703,28.5,0.0662558,0,0.0807396,11,0.109707,146,0.059168,692.5,0.048074,8,accident
0.0793444,117.5,0.117846,298,0.0117066,1.5,0.0754422,35.5,0.064256,1.5,0.0876691,77,0.10666,699,0.12565,283.5,0.0829865,10,accident
0.0803881,20.5,0.107415,41,0,-1,0.112266,13,0.147609,93.5,0.0859321,14,0.10395,68.5,0.119196,25.5,0.124047,48.5,accident
0.0869906,3,0.173197,30,0.0329154,-1,0.139498,0,0.134013,59.5,0.110502,24.5,0.218652,35.5,0.188871,1,0.122257,5.5,accident
0.0229592,3,0.129252,36,0.153912,10,0.152211,12,0.0680272,3,0.163265,0,0.217687,110,0.191327,267,0.212585,176.5,accident
0.16044,45.5,0.0549451,7.5,0,-1,0.168498,165,0.154579,42,0.0490842,0.5,0.206593,246,0.216117,146,0.158974,91,accident
0.0514801,17,0.127413,133,0.0682111,0,0.138996,23,0.0810811,20.5,0.14157,0.5,0.206564,24.5,0.203346,85.5,0.182111,4.5,accident
0.0146875,6,0.096875,167,0.109687,6,0.0925,22.5,0.051875,27,0.08125,0,0.096875,515.5,0.0871875,7,0.121875,381.5,accident
0.0288822,10,0.0952738,64,0.122656,19,0.0982746,6,0.0738935,9,0.0986497,0,0.0930233,29.5,0.127907,639,0.106152,3,accident
0.0136876,8,0.0850778,76,0.0861514,16,0.0864198,38,0.0450886,4.5,0.0799785,0,0.105475,5,0.0496511,47,0.0831991,3,accident
