%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Hough_Lines_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Hough_Lines_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Hough_Lines_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Hough_Lines_3 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0.0860215,0.692609,0.456666,6,0.0469534,0.397412,0.527316,5,0.124134,0.621338,0.399776,8,0.0610514,0.827716,0.369699,4,accident
0.185951,0.519668,0.282989,5,0.0877162,0.295484,0.396718,3,0.171867,0.53799,0.452256,4,0.0661437,0.680499,0.487268,1,accident
0.060101,0.667499,0.460468,4,0.084596,0.194697,0.736415,4,0.137626,0.486991,0.353152,6,0.0775253,0.422477,0.323931,3,accident
0.12494,0.790929,0.520727,9,0.0666186,0.163726,0.428909,5,0.171116,0.5121,0.521248,10,0.0464165,0.841806,0.511692,2,accident
0.117105,0.57769,0.36736,9,0.0949129,0.125399,0.412573,5,0.139866,0.495628,0.442948,4,0.0780699,0.867644,0.607157,4,accident
0.0326882,0,0,2,0.0787097,0.147956,0.347597,3,0.0864516,0.194815,0.923835,5,0.0931183,0.457087,0.378009,4,accident
0.10058,0.790869,0.438874,2,0.060735,0.211206,0.682849,2,0.112959,0.151515,0.797872,4,0.104836,0.699246,0.38609,4,accident
0.123457,0.549933,0.267798,2,0.073251,0.223197,0.610667,2,0.139506,0.160103,0.451667,4,0.101646,0.781984,0.464619,3,accident
0.0859416,0.734486,0.514967,2,0.0639257,0.244498,0.566469,2,0.123342,0.450687,0.305506,4,0.0862069,0.489734,0.335297,4,accident
0.0972222,0.580854,0.401042,3,0.0741959,0.226738,0.46576,2,0.134868,0.359711,0.338999,3,0.11038,0.69963,0.371255,3,accident
0.049509,0.828903,0.726328,0,0.154255,0.197888,0.299209,2,0.187807,0.260304,0.391891,3,0.186989,0.552451,0.520314,1,accident
0.131205,0.724517,0.494662,2,0.0629898,0.203873,0.68395,2,0.181132,0.264505,0.402579,3,0.141945,0.589251,0.444206,4,accident
0.129498,0.636236,0.496503,6,0.0778883,0.414666,0.685555,2,0.167377,0.471372,0.36621,3,0.0819129,0.592852,0.364759,2,accident
0.106718,0.763858,0.640206,2,0.0845387,0.219063,0.690346,2,0.207007,0.588917,0.579505,5,0.159756,0.45629,0.53856,4,accident
0.162527,0.739151,0.489482,2,0.0492375,0.0367647,0.294444,0,0.239651,0.533076,0.376011,5,0.205664,0.2829,0.4429,4,accident
0.0599276,0.717368,0.479174,3,0.110131,0.132395,0.426913,3,0.0694256,0.301245,0.44959,2,0.0838987,0.512272,0.553083,2,accident
0.0645586,0.616467,0.496538,5,0.107598,0.176612,0.296768,4,0.104084,0.219655,0.336715,4,0.103645,0.602537,0.436017,2,accident
0.0614854,0.460304,0.284934,3,0.0978084,0.243472,0.268344,2,0.101664,0.275109,0.355325,5,0.0842127,0.606667,0.342993,2,accident
0.108871,0.491243,0.305891,3,0.0703125,0.351603,0.601714,2,0.130292,0.322917,0.233869,3,0.0992944,0.830885,0.460591,1,accident
0.0822102,0.55597,0.376461,1,0.115903,0.16475,0.515316,2,0.230458,0.483804,0.489189,4,0.148697,0.673192,0.378621,2,accident
0.0357143,0,0,2,0.100649,0.215279,0.448331,2,0.0692641,0.0560652,0.347028,3,0.133387,0.33776,0.407784,7,accident
0.0514298,0.720881,0.483403,2,0.0761844,0.229753,0.485658,3,0.0627401,0.38428,0.378345,4,0.0661545,0.769355,0.58958,5,accident
0.0638211,0.719512,0.699603,2,0.134959,0.260629,0.327544,3,0.0886179,0.147463,0.271528,1,0.119512,0.832791,0.56,3,accident
0.0179317,0,0,0,0.0864652,0.423909,0.171793,4,0.0722181,0.127522,0.701633,4,0.0690248,0.676083,0.723487,4,accident
0.102247,0.755965,0.490235,2,0.0204493,0.112903,0.883929,0,0.093606,0.25039,0.392088,3,0.10023,0.350637,0.37251,5,accident
0.0893327,0.662116,0.354718,2,0.059043,0.226022,0.647885,1,0.129719,0.487198,0.38502,2,0.12489,0.704296,0.541247,5,accident
0.115488,0.700667,0.403233,2,0.0354783,0.180461,0.766438,2,0.143871,0.27804,0.303326,5,0.127233,0.497119,0.369191,5,accident
0.0977083,0.751774,0.381249,4,0.0208333,0.11229,0.830268,1,0.145417,0.380175,0.456232,4,0.116042,0.457511,0.354909,8,accident
0.105212,0.578418,0.405965,2,0.0335209,0.162327,0.779056,1,0.134818,0.432906,0.49987,4,0.121116,0.592933,0.47178,6,accident
0.10791,0.40651,0.302325,4,0.0336158,0.172624,0.778151,2,0.148588,0.220141,0.257122,4,0.127684,0.627377,0.47885,5,accident
0.142045,0.665889,0.594136,2,0.119755,0.154206,0.463714,2,0.210227,0.237879,0.498404,3,0.193619,0.316712,0.651611,2,accident
0.0960566,0.738879,0.333724,2,0.125379,0.166756,0.510083,3,0.143074,0.193483,0.628073,1,0.161274,0.506663,0.368618,1,accident
0.103847,0.574282,0.154892,4,0.0664514,0.307494,0.529013,2,0.108152,0.411479,0.379331,3,0.128598,0.52711,0.454365,2,accident
0.126451,0.769743,0.516105,1,0.0920368,0.275554,0.438445,2,0.141257,0.445669,0.486959,2,0.136054,0.380809,0.34513,1,accident
0.0783179,0.775187,0.348963,2,0.127315,0.190998,0.459991,2,0.13233,0.155682,0.38887,2,0.167052,0.390644,0.502048,3,accident
0.101302,0.542403,0.408706,3,0.0783814,0.51377,0.460114,2,0.143463,0.434732,0.41237,3,0.132711,0.395361,0.373849,4,accident
0.084329,0.841459,0.680554,2,0.089614,0.176556,0.339927,5,0.140165,0.552983,0.542834,6,0.138097,0.407066,0.274458,4,accident
0.0569728,0.746008,0.631833,2,0.0955215,0.248063,0.342239,2,0.132937,0.169316,0.518916,4,0.191043,0.293535,0.458147,3,accident
0.0960474,0.515901,0.435528,2,0.0980237,0.407628,0.389196,2,0.194466,0.350885,0.309374,2,0.150988,0.83138,0.499517,1,accident
0.0611015,0.36913,0.0941435,2,0.0728055,0.127623,0.270801,3,0.0812392,0.233537,0.656081,6,0.114802,0.304737,0.486682,3,accident
0.109774,0.646435,0.21255,2,0.0724311,0.136647,0.575238,2,0.159148,0.592348,0.704406,3,0.146115,0.303773,0.599097,3,accident
0.115925,0.500617,0.241156,2,0.0391101,0.168499,0.76216,0,0.176815,0.555307,0.701547,4,0.11452,0.48999,0.596525,4,accident
