%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Harris_Corners_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0,4,0.43524,0.106631,139,30,0.432618,0.511001,0,19,0.147941,0.794156,192,6,0,0,581.5,5,0.177077,0.363457,0,5,0.563333,0.375978,27,4,0.121797,0.798541,85,3,0.135545,0.252416,35.5,11,0.793343,0.336041,accident
11.5,22,0.616501,0.199976,102.5,4,0.312574,0.351056,0,71,0.248921,0.536132,2.5,55,0.326241,0.339623,405,7,0.153598,0.386011,0,12,0.625532,0.2,84,16,0.534644,0.670032,6.5,11,0.141109,0.411463,75.5,28,0.57765,0.478679,accident
0,3,0.457547,0.363636,304,68,0.533752,0.401369,84,3322,0.185706,0.788108,0,3307,0.471698,0.931818,51.5,9,0.494681,0.391688,27,57,0.516187,0.362217,100,3320,0.262686,0.327393,227,5,0.26573,0.273892,87.5,5,0.59972,0.559147,accident
0,3443,0.708248,0.46075,49.5,29,0.462578,0.452682,0,3625,0.106737,0.823261,116.5,27,0.272321,0.274621,1401,16,0.168007,0.452565,2,3,0.549946,0.552118,2097,3529,0.399312,0.524664,138.5,6,0.0992842,0.280947,92,6,0.859127,0.572861,accident
0,3749,0.737418,0.50189,69.5,1,0.395002,0.470595,0,3,0.276571,0.738075,0,3705,0.33908,0.322139,178.5,5,0.274916,0.277555,0,3598,0.781609,0.691542,980.5,9,0.275069,0.404335,58.5,10,0.11473,0.191183,188.5,6,0.816377,0.54828,accident
-1,1,0,0,37,11,0.679545,0.313732,-1,5,0.07,0.843902,-1,11,0,0,0,56,0.325,0.0609756,0,54,0.442,0.519207,-1,23,0.255556,0.872629,0,7,0.686644,0.253,79.5,18,0.860817,0.282169,accident
-1,2,0.901464,0.745968,70,12,0.416208,0.474497,-1,4,0,0,-1,5,0.683251,0.360215,0,6,0.86192,0.142266,4.5,6,0.26874,0.653147,0,8,0.225225,0.693548,-1,2,0,0,10.5,6,0.676144,0.230255,accident
-1,9,0.909144,0.829167,70,4,0.282003,0.305155,-1,2,0,0,0,7,0.630648,0.455727,0,9,0.293896,0.0386831,47.5,8,0.263958,0.594184,0,5,0.230453,0.59037,-1,4,0.527778,0.55,29,5,0.787346,0.360247,accident
-1,4,0.930233,0.881579,135,4,0.363952,0.598338,-1,3,0,0,0,54,0.663123,0.530982,0,8,0.434109,0.289474,77.5,6,0.296554,0.580574,-1,5,0.127907,0.129325,-1,9,0.346993,0.463036,28,11,0.655294,0.255168,accident
-1,4,0.934211,0.90625,57.5,10,0.458563,0.390802,-1,4,0,0,-1,19,0.756036,0.347644,-1,6,0.429825,0.291667,6,1,0.266947,0.577954,-1,9,0.203582,0.273003,-1,8,0.434211,0.570312,14.5,2,0.682266,0.282031,accident
