%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Length_Area_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0.0202957,0.00479336,0.315323,0.0314775,0.00376344,0.010986,0.0122312,0.00221672,0.110215,0.157755,0.0680108,0,0.033871,0.0702366,0.110215,0.144079,0.0133065,0.0782279,accident
0.0610197,0.0914945,0.170213,0.0903715,0.0158571,0,0.2222,0.0189024,0.151345,0.256083,0.00782818,0,0.0636291,0.123786,0.335006,0.0958122,0.0114412,0.0948575,accident
0.00228702,0.0227525,0.0746141,0.101998,0.00285878,0.0404593,0.000714694,0.0754294,0.0567467,0.141072,0.00871927,0.0779407,0.053745,0.0699716,0.0142939,0.116459,0.0377358,0.0345521,accident
0.0151515,0.0639002,0.057224,0.0812036,0.00270563,0.00926816,0.111472,0.0709919,0.133387,0.199128,0.0576299,0.0269455,0.22105,0.144195,0.039908,0.0584111,0.0298972,0.0729595,accident
0.0486361,0.0518923,0.120304,0.0219522,0.0347401,0,0.00540401,0.0686202,0.0221307,0.122212,0.00308801,0,0.184122,0.104658,0.167138,0.128774,0.0376994,0.0929777,accident
0,0,0.042439,0.0692282,0.00170732,0,0.00926829,0,0.00780488,0.0198288,0.0870732,0.0242797,0.00512195,0,0.0334146,0,0.034878,0.0579581,accident
0.0126417,0,0.0688753,0.153417,0,0,0.0200523,0,0.266347,0.0350942,0.00392328,0.0737891,0.0584133,0,0.010898,0,0.043592,0.0769461,accident
0.00787037,0,0.14537,0.131824,0,0,0.0111111,0.0464231,0.126389,0,0.0462963,0.104153,0.0759259,0.0103522,0.0208333,0,0.0800926,0.154497,accident
0.00122399,0,0.0982252,0.123664,0,0,0.0229498,0,0.00734394,0,0.0299878,0.095705,0.0960832,0,0.0241738,0,0.0348837,0.0654408,accident
0,0,0.311266,0.137955,0,0,0.0246711,0,0.00904605,0,0.0209704,0.106017,0.0847039,0,0.0160362,0,0.0427632,0.104033,accident
0,0,0.040553,0.14435,0,0.0190005,0.0184332,0,0.0175115,0.05338,0.00414747,0.111828,0.0903226,0.189847,0.059447,0.156084,0.116129,0.203232,accident
0.0209302,0,0.054485,0.163714,0,0,0.0192691,0,0.0681063,0.149096,0.0249169,0.0726197,0.0089701,0.154025,0.112625,0.179299,0.0594684,0.147841,accident
0.0467759,0.0180806,0.0235201,0.166817,0,0.00381136,0.0132135,0,0.0721459,0.0211882,0.0364693,0.114477,0.302854,0.135979,0.0591966,0.177475,0.00687104,0.0676726,accident
0,0,0.0071736,0.19543,0,0,0.0215208,0,0.0512912,0.151996,0.008967,0.0779125,0.0728121,0.219509,0.115136,0.172014,0.016858,0.14872,accident
0.0142157,0.0279075,0.0191176,0.172482,0,0,0.0789216,0.122901,0.0176471,0.213322,0,0.00138648,0.0622549,0.205596,0.0985294,0.259591,0.0338235,0.22045,accident
0.0123326,0,0.0200846,0.13379,0,0,0.0211416,0.100735,0.0257223,0,0.0521494,0.0903893,0.00775194,0.0406595,0.00704722,0,0.042988,0.131921,accident
0.003003,0,0.0720721,0.0958181,0,0,0.0205205,0.0268597,0.105105,0,0.00900901,0,0.0965966,0,0.0125125,0,0.0215215,0.0752754,accident
0.0123457,0,0.0210905,0.133456,0,0,0.037037,0,0.0411523,0.0152943,0.0195473,0.070393,0.386831,0,0.125514,0,0.0257202,0.0959857,accident
0.0145833,0,0.0786458,0.136909,0,0,0.0411458,0,0.0489583,0,0.0338542,0.100265,0.248438,0,0.170313,0,0.0322917,0.114715,accident
0.019958,0,0.0514706,0.131955,0,0,0.0241597,0,0.148459,0,0.0458683,0.127104,0.0129552,0,0.00770308,0,0.101541,0.0269918,accident
0.0234375,0,0.0520833,0.227714,0,0,0.234375,0,0.09375,0,0.0182292,0.256196,0.0286458,0,0.0260417,0,0.0416667,0,accident
0.0034965,0.0683913,0.0559441,0,0,0,0.00699301,0,0.020979,0,0.0104895,0,0.0384615,0,0.0559441,0,0.381119,0,accident
0.025,0,0.0604167,0.25563,0,0.0150231,0.0333333,0,0.025,0,0.0604167,0.101808,0.0541667,0,0.00625,0,0.0354167,0,accident
0.0245098,0.09414,0.0506536,0.201216,0,0,0.00653595,0,0.0277778,0,0.0408497,0.21705,0.0130719,0,0.0196078,0,0.00490196,0,accident
0.00598086,0.0348331,0.0657895,0.211052,0,0,0.0777512,0.168443,0.156699,0,0.0370813,0.178707,0.135167,0,0.113636,0,0.107656,0.130074,accident
0.026749,0,0.0260631,0.0241783,0.0336077,0,0.00617284,0.141853,0.0624143,0.0241503,0.0294925,0,0.0486968,0.168859,0.111797,0.203777,0.0233196,0.157727,accident
0.0191571,0.059913,0.12931,0,0.0292146,0,0.0162835,0.1001,0.026341,0.0913857,0.0268199,0,0.0517241,0.160785,0.117337,0.207274,0.0651341,0.112729,accident
0.0439883,0.0662487,0.0535191,0,0.00733138,0,0.00806452,0.162355,0.0139296,0,0.0124633,0,0.00513196,0.160556,0.0711144,0.212015,0.0285924,0.170763,accident
0.00626566,0,0.152882,0.0563257,0.0319549,0,0.12782,0.177407,0.0175439,0,0.0307018,0,0.230576,0.227603,0.0350877,0.212868,0.0269424,0.103893,accident
0,0.00715447,0.0797511,0.0925349,0.0180995,0,0.0169683,0.14867,0.0243213,0,0.0294118,0,0.0254525,0.195817,0.277715,0.154767,0.050905,0.145724,accident
0,0,0.0850155,0.0680493,0,0,0.0314441,0,0.0531832,0.0476089,0.0568064,0.0697216,0.0269151,0,0.0306677,0,0.0194099,0.0606628,accident
0,0,0.0729527,0.0944266,0,0,0.00619954,0,0.024654,0,0.0348904,0.0816379,0.011534,0.0387459,0.00360438,0.00509521,0.0390715,0.0154297,accident
0.00340479,0,0.0778058,0.112829,0,0.00358453,0.0498108,0,0.0363178,0.0181938,0.0706179,0.0779564,0.110467,0.0409492,0.014628,0,0.0640605,0,accident
0.0138288,0,0.0632516,0.0841528,0.000721501,0.00206886,0.0330688,0,0.00589226,0,0.0146705,0.0705676,0.139971,0.0394084,0.157287,0,0.00012025,0.0463331,accident
0,0,0.0354602,0.0626102,0.010555,0.0448899,0.0441176,0,0.0175522,0,0.0145873,0.0465119,0.271466,0.0530131,0.00533681,0,0.0349858,0,accident
