%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Length_Area_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0.0186828,0.00508051,0.319489,0.126744,0.00497312,0.0276486,0.0122312,0.0442883,0.102419,0.238385,0.0680108,0.0786378,0.033871,0.0751021,0.104704,0.178644,0.0133065,0.0991119,accident
0.058611,0.118864,0.17222,0.159933,0.0158571,0.0747044,0.275592,0.0794529,0.146527,0.238283,0.00782818,0.0443302,0.0867122,0.166563,0.365516,0.119989,0.0114412,0.118303,accident
0.00114351,0.0268557,0.0135792,0.140173,0.00371641,0.0465069,0.000714694,0.0821213,0.0553173,0.22887,0.00871927,0.0843156,0.00314465,0.0772929,0.0100057,0.128239,0.0375929,0.0794095,accident
0.0151515,0.0760413,0.0181277,0.140976,0.00270563,0.0235375,0.111472,0.113455,0.118506,0.254833,0.0576299,0.084803,0.214286,0.152979,0.0404491,0.0552598,0.0298972,0.0656453,accident
0.0486361,0.0672209,0.0216161,0.137575,0.0347401,0.0360362,0.00617602,0.0741475,0.0159547,0.167131,0.00308801,0.074243,0.196732,0.130688,0.147967,0.119134,0.0380854,0.0928736,accident
0,0,0.042439,0.14304,0.00195122,0,0,0,0.00780488,0.0800896,0.0870732,0.103257,0.102927,0,0.0292683,0.00881515,0.034878,0.136889,accident
0.0126417,0,0.0200523,0.172947,0,0,0.0200523,0,0.274629,0.040206,0.0274629,0.0781083,0.0278989,0.107407,0.016565,0,0.043592,0.133712,accident
0.00324074,0,0.0828704,0.168607,0,0,0.0111111,0.123348,0.0143519,0.0145629,0.0541667,0.11217,0.0412037,0.109983,0.00416667,0,0.0800926,0.190145,accident
0.00122399,0,0.0982252,0.150816,0,0,0.0229498,0.0523675,0.00826193,0.00295497,0.0299878,0.105004,0.0605875,0,0.0370257,0,0.0348837,0.0954427,accident
0,0,0.311266,0.167374,0,0,0.0246711,0,0.0217928,0,0.0209704,0.114986,0.0990954,0,0.0148026,0,0.0427632,0.154742,accident
0,0,0.0225806,0.234194,0,0.067385,0.0147465,0.0345215,0.0271889,0.0746927,0.00414747,0.12156,0.0903226,0.240683,0.0465438,0.149664,0.0709677,0.215732,accident
0.0209302,0.0754885,0.0538206,0.161467,0,0,0.0192691,0.0516073,0.0162791,0.136687,0.0199336,0.0776903,0.0089701,0.164808,0.112625,0.177375,0.0378738,0.158372,accident
0.0256342,0.0769607,0.0235201,0.179901,0,0.00756538,0.0132135,0.0504212,0.0623679,0.0403725,0.0364693,0.121318,0.238636,0.161202,0.057611,0.196711,0.00528541,0.0649547,accident
0,0,0.0071736,0.203433,0,0,0.0215208,0.0525501,0.0387374,0.163036,0.008967,0.0864911,0.0225968,0.211299,0.0785509,0.166178,0.016858,0.178424,accident
0.0142157,0.0746203,0.070098,0.197867,0,0,0.0789216,0.133048,0.0279412,0.227634,0,0.00196078,0.0740196,0.212297,0.101471,0.245852,0.0338235,0.241055,accident
0.0123326,0,0.0465116,0.183312,0,0,0.0211416,0.110345,0.0257223,0,0.0521494,0.0968944,0.00775194,0.0450766,0.0130374,0,0.038055,0.180314,accident
0.003003,0.108587,0.0720721,0.116752,0,0,0.02002,0.117122,0.131131,0.0689807,0.00900901,0.0756737,0.0965966,0.0658261,0,0,0.0215215,0.116028,accident
0.00102881,0,0.0334362,0.163428,0,0,0.037037,0,0.0411523,0.0558177,0.0195473,0.0876629,0.386831,0,0.0205761,0,0.0257202,0.111063,accident
0.0145833,0,0.125521,0.143386,0,0,0.0411458,0,0.0270833,0.0243591,0.040625,0.107391,0.207292,0.0788526,0.0135417,0,0.0322917,0.173774,accident
0.019958,0.100837,0.0560224,0.139087,0,0,0.0241597,0,0.00560224,0,0.0458683,0.135938,0.0168067,0.0660048,0.0203081,0,0.0381653,0.0505052,accident
0.0234375,0,0.0390625,0.188981,0,0,0.09375,0,0.0234375,0.012574,0.0182292,0.28414,0.0286458,0,0.0260417,0,0.0416667,0.0923329,accident
0.0034965,0.237556,0.0559441,0.201392,0,0,0.00699301,0,0,0,0.0244755,0,0,0,0.013986,0,0.34965,0,accident
0.00833333,0,0.0604167,0.264573,0,0.026011,0.0125,0,0,0,0.08125,0.290288,0.00625,0,0.03125,0,0.0354167,0,accident
0.0245098,0.115637,0.0490196,0.244249,0,0,0.0196078,0,0.0277778,0,0.0424837,0.225604,0.0130719,0,0.0196078,0,0.00490196,0,accident
0.00598086,0.110798,0.0944976,0.242702,0,0,0.0777512,0.226071,0.126794,0.0115513,0.0406699,0.198523,0.0179426,0,0.0406699,0,0.107656,0.161307,accident
0.026749,0.124237,0.0301783,0.0396427,0.0336077,0,0.00891632,0.154069,0.0624143,0.153821,0.00823045,0,0.0294925,0.191953,0.127572,0.303895,0.0294925,0.166139,accident
0.0181992,0.0918694,0.1159,0,0.0292146,0,0.0162835,0.113339,0.0181992,0.100479,0.0268199,0.069374,0.0215517,0.172603,0.117337,0.281286,0.0651341,0.130292,accident
0.0439883,0.167633,0.0461877,0,0.00733138,0,0.00733138,0.173437,0.0249267,0,0.0124633,0,0.0109971,0.185942,0.0469208,0.196295,0.0381232,0.186964,accident
0.00313283,0.046329,0.130952,0.143103,0.0056391,0,0.12782,0.19533,0.0175439,0.0753661,0.0307018,0,0.230576,0.241543,0.0350877,0.210393,0.0269424,0.110951,accident
0,0.0131865,0.0582579,0.102292,0.0237557,0.101985,0.020362,0.165128,0.0243213,0.157321,0.0294118,0,0.0220588,0.211317,0.256222,0.215012,0.0345023,0.162172,accident
0,0,0.0776398,0.0713479,0,0,0.0314441,0.0633332,0.0531832,0.058037,0.0568064,0.0724827,0.0207039,0.0519209,0.0208333,0.00588197,0.0137164,0.111832,accident
0,0,0.0573818,0.101016,0,0,0.00692042,0.0380983,0.030421,0,0.0348904,0.0854289,0.00836217,0.0496853,0.00100923,0.00537972,0.0100923,0.0787593,accident
0.00390921,0,0.0662043,0.124065,0.00075662,0.0108304,0.0498108,0.0693204,0.00113493,0.0566806,0.0706179,0.0653042,0.110467,0.0559991,0.015889,0,0.0606557,0.00325334,accident
0.0138288,0.0272307,0.0632516,0.117041,0.000721501,0.00416395,0.0330688,0,0.00589226,0,0.0146705,0.0754009,0.0936748,0.0421657,0.157287,0,0.116282,0.108188,accident
0,0,0.0205171,0.0732946,0.0103178,0.0472323,0.0441176,0.0677263,0.0175522,0,0.0145873,0.048751,0.271466,0.059106,0.00332068,0,0.022296,0,accident
0.0189753,0,0.0517078,0.179617,0,0,0.0583491,0,0.0199241,0.0900262,0.028463,0.11447,0,0,0.00474383,0,0.256641,0.170846,accident
0.0111562,0.119333,0.0522312,0.237936,0,0,0.0248479,0,0.0025355,0.0130827,0.040568,0.112676,0.0030426,0,0.0010142,0,0.0243408,0.118781,accident
