%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

% Global features from the images :
@ATTRIBUTE  Black_Pixel_Global NUMERIC
@ATTRIBUTE  Airs_Global NUMERIC
@ATTRIBUTE  Harris_Corners_Global NUMERIC
@ATTRIBUTE  Length_Area_Global NUMERIC
@ATTRIBUTE  Mass_Center_X_Global NUMERIC
@ATTRIBUTE  Mass_Center_Y_Global NUMERIC
@ATTRIBUTE  Hough_Lines_Global NUMERIC
@ATTRIBUTE  Rows_Or_Cols_Global NUMERIC
% Features from the images splited in 9 : 
@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Harris_Corners_0 NUMERIC
@ATTRIBUTE  Length_Area_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Hough_Lines_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Hough_Lines_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Hough_Lines_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Hough_Lines_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Hough_Lines_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Hough_Lines_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Hough_Lines_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Hough_Lines_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Hough_Lines_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person, police, road-block}

@DATA
0.0793608,0.0435633,5,0.0842898,0.405577,0.43788,43,1,0.0217742,0.0186828,4,0.00561814,0.43524,0.106631,3,0.114247,0.319489,30,0.03987,0.432618,0.511001,3,0.0290323,0.00497312,19,0,0.147941,0.794156,1,0.0153226,0.0122312,6,0.0442883,0,0,2,0.202151,0.102419,5,0.240369,0.177077,0.363457,6,0.0712366,0.0680108,5,0,0.563333,0.375978,2,0.0634409,0.033871,4,0.0753709,0.121797,0.798541,1,0.125538,0.104704,3,0.170891,0.135545,0.252416,2,0.0774194,0.0133065,11,0.0993807,0.793343,0.336041,1,accident
0.128293,0.0319083,9,0.130806,0.373296,0.435516,35,1,0.0931353,0.058611,22,0.119277,0.616501,0.199976,1,0.220393,0.17222,4,0.113514,0.312574,0.351056,2,0.0682457,0.0158571,71,0,0.248921,0.536132,0,0.0923324,0.275592,55,0.0393298,0.326241,0.339623,2,0.254918,0.146527,7,0.239737,0.153598,0.386011,2,0.0867122,0.00782818,12,0,0.625532,0.2,2,0.120032,0.0867122,16,0.150328,0.534644,0.670032,1,0.122441,0.365516,11,0.125892,0.141109,0.411463,0,0.109595,0.0114412,28,0.118303,0.57765,0.478679,0,accident
0.0894786,0.26261,9,0.0975532,0.466337,0.474933,33,1,0.0251572,0.00114351,3,0.0271415,0.457547,0.363636,0,0.0983419,0.0135792,68,0.141167,0.533752,0.401369,1,0.0445969,0.00371641,3322,0.0473646,0.185706,0.788108,0,0.0748999,0.000714694,3307,0.0821213,0.471698,0.931818,2,0.210692,0.0553173,9,0.15279,0.494681,0.391688,7,0.0789022,0.00871927,57,0.0843156,0.516187,0.362217,2,0.0734706,0.00314465,3320,0.0772929,0.262686,0.327393,2,0.134648,0.0100057,5,0.131609,0.26573,0.273892,2,0.07004,0.0375929,5,0.0613451,0.59972,0.559147,2,accident
0.104331,0.195815,189,0.0843475,0.412252,0.505553,51,1,0.0619589,0.0151515,3443,0.0760413,0.708248,0.46075,3,0.135823,0.0181277,29,0.0914634,0.462578,0.452682,2,0.0248918,0.00270563,3625,0,0.106737,0.823261,0,0.101461,0.111472,27,0.0763412,0.272321,0.274621,3,0.243506,0.118506,16,0.247835,0.168007,0.452565,8,0.0792749,0.0576299,3,0.0420944,0.549946,0.552118,2,0.15368,0.214286,3529,0.155367,0.399312,0.524664,1,0.0570887,0.0404491,6,0.0521902,0.0992842,0.280947,1,0.0657468,0.0298972,6,0.0656484,0.859127,0.572861,0,accident
0.107118,0.0314527,1,0.101271,0.391733,0.340452,44,1,0.0566135,0.0486361,3749,0.0672209,0.737418,0.50189,2,0.16598,0.0216161,1,0.0729364,0.395002,0.470595,2,0.0514668,0.0347401,3,0,0.276571,0.738075,3,0.0728255,0.00617602,3705,0.0749512,0.33908,0.322139,2,0.17473,0.0159547,5,0.158319,0.274916,0.277555,2,0.0725682,0.00308801,3598,0,0.781609,0.691542,3,0.108338,0.196732,9,0.10454,0.275069,0.404335,1,0.16598,0.147967,10,0.121887,0.11473,0.191183,2,0.10808,0.0380854,6,0.0928736,0.816377,0.54828,1,accident
0.0689489,0.0543954,30,0.0779467,0.472394,0.602175,16,0,0.0297561,0,1,0,0,0,0,0.0960976,0.042439,11,0.143528,0.679545,0.313732,4,0.0185366,0.00195122,5,0,0.07,0.843902,0,0.0478049,0,11,0,0,0,1,0.077561,0.00780488,56,0.0800896,0.325,0.0609756,1,0.1,0.0870732,54,0.103257,0.442,0.519207,2,0.129268,0.102927,23,0,0.255556,0.872629,4,0.0990244,0.0292683,7,0,0.686644,0.253,2,0.0839024,0.034878,18,0.136889,0.860817,0.282169,2,accident
0.0915126,0.0018018,36,0.112408,0.442824,0.610529,12,0,0.0470793,0.0126417,2,0,0.901464,0.745968,0,0.171752,0.0200523,12,0.175562,0.416208,0.474497,1,0.0331299,0,4,0,0,0,0,0.0845684,0.0200523,5,0,0.683251,0.360215,1,0.092415,0.274629,6,0.0096522,0.86192,0.142266,0,0.109852,0.0274629,6,0.098725,0.26874,0.653147,1,0.140366,0.0278989,8,0,0.225225,0.693548,0,0.12816,0.016565,2,0,0,0,1,0.108108,0.043592,6,0.133712,0.676144,0.230255,0,accident
0.108128,0.253447,5,0.130262,0.395319,0.561258,12,0,0.0351852,0.00324074,9,0,0.909144,0.829167,0,0.223148,0.0828704,4,0.169742,0.282003,0.305155,2,0.000925926,0,2,0,0,0,0,0.114815,0.0111111,7,0,0.630648,0.455727,0,0.102778,0.0143519,9,0,0.293896,0.0386831,0,0.117593,0.0541667,8,0.0608705,0.263958,0.594184,1,0.165741,0.0412037,5,0.109983,0.230453,0.59037,1,0.117593,0.00416667,4,0,0.527778,0.55,0,0.140741,0.0800926,5,0.190367,0.787346,0.360247,0,accident
0.0900237,0.0454396,5,0.0791621,0.393945,0.504096,16,0,0.0110159,0.00122399,4,0,0.930233,0.881579,0,0.171971,0.0982252,4,0.150816,0.363952,0.598338,3,0.0458996,0,3,0,0,0,0,0.0832313,0.0229498,54,0,0.663123,0.530982,2,0.0844553,0.00826193,8,0,0.434109,0.289474,1,0.111383,0.0299878,6,0.105004,0.296554,0.580574,2,0.147491,0.0605875,5,0,0.127907,0.129325,1,0.112607,0.0370257,9,0,0.346993,0.463036,2,0.101591,0.0348837,11,0.0954427,0.655294,0.255168,1,accident
0.103183,0.251402,4,0.11016,0.406727,0.584405,11,0,0.00904605,0,4,0,0.934211,0.90625,0,0.215461,0.311266,10,0.168525,0.458563,0.390802,1,0.00164474,0,4,0,0,0,0,0.0896382,0.0246711,19,0,0.756036,0.347644,2,0.0863487,0.0217928,6,0,0.429825,0.291667,0,0.121711,0.0209704,1,0.114986,0.266947,0.577954,0,0.148849,0.0990954,9,0,0.203582,0.273003,0,0.143092,0.0148026,8,0,0.434211,0.570312,2,0.136513,0.0427632,2,0.157068,0.682266,0.282031,1,accident
