%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Black_Pixel_10 NUMERIC
@ATTRIBUTE  Black_Pixel_11 NUMERIC
@ATTRIBUTE  Black_Pixel_12 NUMERIC
@ATTRIBUTE  Black_Pixel_13 NUMERIC
@ATTRIBUTE  Black_Pixel_14 NUMERIC
@ATTRIBUTE  Black_Pixel_15 NUMERIC
@ATTRIBUTE  Black_Pixel_16 NUMERIC
@ATTRIBUTE  Black_Pixel_17 NUMERIC
@ATTRIBUTE  Black_Pixel_18 NUMERIC
@ATTRIBUTE  Black_Pixel_19 NUMERIC
@ATTRIBUTE  Black_Pixel_20 NUMERIC
@ATTRIBUTE  Black_Pixel_21 NUMERIC
@ATTRIBUTE  Black_Pixel_22 NUMERIC
@ATTRIBUTE  Black_Pixel_23 NUMERIC
@ATTRIBUTE  Black_Pixel_24 NUMERIC
@ATTRIBUTE  Black_Pixel_25 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Airs_10 NUMERIC
@ATTRIBUTE  Airs_11 NUMERIC
@ATTRIBUTE  Airs_12 NUMERIC
@ATTRIBUTE  Airs_13 NUMERIC
@ATTRIBUTE  Airs_14 NUMERIC
@ATTRIBUTE  Airs_15 NUMERIC
@ATTRIBUTE  Airs_16 NUMERIC
@ATTRIBUTE  Airs_17 NUMERIC
@ATTRIBUTE  Airs_18 NUMERIC
@ATTRIBUTE  Airs_19 NUMERIC
@ATTRIBUTE  Airs_20 NUMERIC
@ATTRIBUTE  Airs_21 NUMERIC
@ATTRIBUTE  Airs_22 NUMERIC
@ATTRIBUTE  Airs_23 NUMERIC
@ATTRIBUTE  Airs_24 NUMERIC
@ATTRIBUTE  Airs_25 NUMERIC
@ATTRIBUTE  Contours_size_1 NUMERIC
@ATTRIBUTE  Contours_size_2 NUMERIC
@ATTRIBUTE  Contours_size_3 NUMERIC
@ATTRIBUTE  Contours_size_4 NUMERIC
@ATTRIBUTE  Contours_size_5 NUMERIC
@ATTRIBUTE  Contours_size_6 NUMERIC
@ATTRIBUTE  Contours_size_7 NUMERIC
@ATTRIBUTE  Contours_size_8 NUMERIC
@ATTRIBUTE  Contours_size_9 NUMERIC
@ATTRIBUTE  Contours_size_10 NUMERIC
@ATTRIBUTE  Contours_size_11 NUMERIC
@ATTRIBUTE  Contours_size_12 NUMERIC
@ATTRIBUTE  Contours_size_13 NUMERIC
@ATTRIBUTE  Contours_size_14 NUMERIC
@ATTRIBUTE  Contours_size_15 NUMERIC
@ATTRIBUTE  Contours_size_16 NUMERIC
@ATTRIBUTE  Contours_size_17 NUMERIC
@ATTRIBUTE  Contours_size_18 NUMERIC
@ATTRIBUTE  Contours_size_19 NUMERIC
@ATTRIBUTE  Contours_size_20 NUMERIC
@ATTRIBUTE  Contours_size_21 NUMERIC
@ATTRIBUTE  Contours_size_22 NUMERIC
@ATTRIBUTE  Contours_size_23 NUMERIC
@ATTRIBUTE  Contours_size_24 NUMERIC
@ATTRIBUTE  Contours_size_25 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE  Harris_Corners_10 NUMERIC
@ATTRIBUTE  Harris_Corners_11 NUMERIC
@ATTRIBUTE  Harris_Corners_12 NUMERIC
@ATTRIBUTE  Harris_Corners_13 NUMERIC
@ATTRIBUTE  Harris_Corners_14 NUMERIC
@ATTRIBUTE  Harris_Corners_15 NUMERIC
@ATTRIBUTE  Harris_Corners_16 NUMERIC
@ATTRIBUTE  Harris_Corners_17 NUMERIC
@ATTRIBUTE  Harris_Corners_18 NUMERIC
@ATTRIBUTE  Harris_Corners_19 NUMERIC
@ATTRIBUTE  Harris_Corners_20 NUMERIC
@ATTRIBUTE  Harris_Corners_21 NUMERIC
@ATTRIBUTE  Harris_Corners_22 NUMERIC
@ATTRIBUTE  Harris_Corners_23 NUMERIC
@ATTRIBUTE  Harris_Corners_24 NUMERIC
@ATTRIBUTE  Harris_Corners_25 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Length_Area_9 NUMERIC
@ATTRIBUTE  Length_Area_10 NUMERIC
@ATTRIBUTE  Length_Area_11 NUMERIC
@ATTRIBUTE  Length_Area_12 NUMERIC
@ATTRIBUTE  Length_Area_13 NUMERIC
@ATTRIBUTE  Length_Area_14 NUMERIC
@ATTRIBUTE  Length_Area_15 NUMERIC
@ATTRIBUTE  Length_Area_16 NUMERIC
@ATTRIBUTE  Length_Area_17 NUMERIC
@ATTRIBUTE  Length_Area_18 NUMERIC
@ATTRIBUTE  Length_Area_19 NUMERIC
@ATTRIBUTE  Length_Area_20 NUMERIC
@ATTRIBUTE  Length_Area_21 NUMERIC
@ATTRIBUTE  Length_Area_22 NUMERIC
@ATTRIBUTE  Length_Area_23 NUMERIC
@ATTRIBUTE  Length_Area_24 NUMERIC
@ATTRIBUTE  Length_Area_25 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_17 NUMERIC
@ATTRIBUTE  Mass_Center_X_18 NUMERIC
@ATTRIBUTE  Mass_Center_X_19 NUMERIC
@ATTRIBUTE  Mass_Center_X_20 NUMERIC
@ATTRIBUTE  Mass_Center_X_21 NUMERIC
@ATTRIBUTE  Mass_Center_X_22 NUMERIC
@ATTRIBUTE  Mass_Center_X_23 NUMERIC
@ATTRIBUTE  Mass_Center_X_24 NUMERIC
@ATTRIBUTE  Mass_Center_X_25 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_17 NUMERIC
@ATTRIBUTE  Mass_Center_Y_18 NUMERIC
@ATTRIBUTE  Mass_Center_Y_19 NUMERIC
@ATTRIBUTE  Mass_Center_Y_20 NUMERIC
@ATTRIBUTE  Mass_Center_Y_21 NUMERIC
@ATTRIBUTE  Mass_Center_Y_22 NUMERIC
@ATTRIBUTE  Mass_Center_Y_23 NUMERIC
@ATTRIBUTE  Mass_Center_Y_24 NUMERIC
@ATTRIBUTE  Mass_Center_Y_25 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
13,51,37,91,159,36,83,47,35,90,0,64,81,102,88,150,70,69,31,0,43,69,88,74,19,0,20.5,0,0.5,6.5,0,12,1,0.5,4.5,0,0,13,8.5,1,7,0,12.5,6,0,0,2.5,5,15.5,3,0,0,0,47.6569,0,0,0,21.6569,17.0711,21.6569,0,0,0,69.3553,47.6569,44.3848,47.6569,59.0122,0,0,0,0,32.1421,0,0,1,4,3,1,1,3,8,6,1,1,0,4,6,498,3,1,559,1,1,0,2,635,1,4,4,0,0,0,47.6569,0,0,0,21.6569,17.0711,21.6569,0,0,0,69.3553,47.6569,44.3848,47.6569,59.0122,0,0,0,0,32.1421,0,0,0,14.6643,0,7.77778,3.90696,0,10.5397,1.75,23.3333,4.94444,0,0,16.1249,8.93072,7.77778,3.19091,0,12.8887,4.45,0,0,7.08889,7.36049,17.3737,2.5,0,8.80376,0,1.77778,8.53626,0,11.8175,3,7.66667,4.45397,0,0,11.1268,16.5654,0.833333,1.47727,0,8.37304,21.8667,0,0,3.08889,15.6691,9.16373,21.6667,accident
65,84,81,120,189,12,90,82,43,68,0,86,160,100,191,105,42,110,103,38,83,116,199,22,75,8,3,0,3,12,0,1,0,3,2.5,0,0,14.5,5.5,7,6,0,13,14.5,0,1,0,12,2,9,44.2843,0,0,18.8284,92.7696,0,0,49.3137,16.4853,24.7279,0,0,67.6985,61.6985,50.1421,33.799,0,57.3553,0,0,50.9706,0,74.7696,0,0,5,1,597,1,1,2,569,2,2,2,0,555,7,569,6,8,630,561,10,12,7,2,7,4,2,44.2843,0,0,18.8284,92.7696,0,0,49.3137,16.4853,24.7279,0,0,67.6985,61.6985,50.1421,33.799,0,57.3553,0,0,50.9706,0,74.7696,0,0,20.6875,22.75,0,7,3.93981,0,4.75,0,20,5.08148,0,0,9.50623,13.2078,9.76042,2.08333,0,11.1191,14.6302,0,6.25,0,7.77546,23,4.75,13.9583,17.5,0,4.33333,12.713,0,1.5,0,2.88889,2.32593,0,0,13.1806,12.9286,5.09375,3.83333,0,15.0009,13.4275,0,1,0,12.2307,4,15.9167,accident
0,45,46,73,211,46,29,54,17,153,36,72,64,59,10,95,57,72,50,0,0,69,91,80,27,0,4,0,0,10,1,2,4,2,2.5,0,1,5,2,0,71.5,0,5.5,4,0,0,0,8,10,0,0,0,0,51.799,86.0833,36.1421,0,44.6274,11.6569,63.799,0,0,0,0,0,84.9117,0,33.5563,0,0,0,52.6274,49.5563,56.5269,0,0,5,1,577,1,6,4,1,4,5,7,560,1,584,1,5,1,1,2,0,0,558,3,554,1,0,0,0,51.799,86.0833,36.1421,0,44.6274,11.6569,63.799,0,0,0,0,0,84.9117,0,33.5563,0,0,0,52.6274,49.5563,56.5269,0,0,22.625,0,0,10.49,23.5,1.25,21.5,2,5.45833,0,2.75,12.725,15.75,0,6.26998,0,8.7803,2.125,0,0,0,12.4982,12.7255,0,0,15.375,0,0,11.72,9.5,9.75,15,3.5,11.625,0,6.5,4.49583,3,0,8.68846,0,20.9242,7.75,0,0,0,18.6595,9.4951,0,accident
12,54,72,126,161,47,29,64,127,66,11,59,77,60,134,19,48,72,10,0,24,108,169,81,0,0,9,0,2.5,10.5,5,6,1,2.5,6,0,6,12.5,4.5,39,0,0,7.5,1,0,0,1,13,11,0,0,47.1127,51.799,41.3137,51.3553,0,0,50.1421,73.4558,41.799,0,0,0,33.5563,108.083,0,0,48.0416,0,0,19.6569,48.1421,51.9411,0,0,1,10,560,4,16,3,6,555,2,5,1,6,10,3,4,658,639,2,2,0,3,2,1,12,0,0,47.1127,51.799,41.3137,51.3553,0,0,50.1421,73.4558,41.799,0,0,0,33.5563,108.083,0,0,48.0416,0,0,19.6569,48.1421,51.9411,0,0,0,12.4755,0,7.22222,5.09587,21.35,4,6.33333,15.4792,2.61111,0,10,15.231,13.3439,11.1709,0,0,8.65693,2,0,0,8.125,11.7624,9.58182,0,0,13.5131,0,4.86111,12.094,7.45,20,11.5,7.83333,4.33333,0,5.75,16.2558,19.8466,5.25142,0,0,18.9946,23,0,0,4.25,9.3857,9.51364,0,accident
22,65,78,25,157,0,73,76,34,79,0,65,97,88,104,133,79,82,55,18,22,54,265,45,44,0,11,0,0,7,0,0,0,4,2.5,0,1,6.5,11.5,4,3.5,0,12.5,11.5,0,0,2,13,11,4,0,0,51.799,0,69.9411,0,0,50.9706,24.1421,35.5563,0,0,0,60.1838,48.4853,48.4853,0,63.0122,0,0,13.6569,43.799,106.912,0,0,3,5,3,1,1,0,594,579,1,2,0,601,2,502,6,4,582,10,2,2,1,10,1,2,10,0,0,51.799,0,69.9411,0,0,50.9706,24.1421,35.5563,0,0,0,60.1838,48.4853,48.4853,0,63.0122,0,0,13.6569,43.799,106.912,0,0,0,13.5219,0,0,8.55926,0,0,0,22.5,3.97778,0,6.25,17,14.6425,11.1222,1.4127,0,9.70261,6.47923,0,0,3.5,5.93148,19.4583,2.75,0,14.8538,0,0,10.2328,0,0,0,19,16.0778,0,2.5,14.1667,13.0366,2.02778,2.12698,0,15.1991,18.4106,0,0,7.75,3.4162,5.5,16.125,accident
0,108,40,59,107,75,69,98,6,50,83,134,121,106,99,91,92,41,116,0,22,83,28,101,37,0,0,0,0,0,10.5,11.5,0,0,3,0,13,13,0,0,0,0,0,0,0,0,0,2,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,62.4264,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,579,2,1,2,2,4,7,4,2,4,1,10,5,2,1,0,3,5,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,62.4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9942,5.2556,0,0,13.7222,0,17.6661,16.6875,0,0,0,0,0,0,0,0,0,23,6.83889,0,0,0,0,0,0,6.68975,19.7444,0,0,14.1667,0,11.1267,16,0,0,0,0,0,0,0,0,0,2.5,14.4311,0,accident
0,72,40,67,84,159,15,85,17,89,76,212,66,98,104,56,8,224,69,0,105,119,159,20,21,0,0.5,0,0,0,21.5,2.5,0,0,0,0,31,8,5,0,0,0,0,0,0,0,7,17.5,3,0,0,0,0,0,0,62.8112,9.07107,0,0,0,0,79.4975,30.6274,0,0,0,0,0,0,0,0,0,61.4975,0,0,0,8,2,3,7,10,3,2,3,2,2,9,6,4,629,12,6,1,2,0,1,3,2,4,3,0,0,0,0,0,62.8112,9.07107,0,0,0,0,79.4975,30.6274,0,0,0,0,0,0,0,0,0,61.4975,0,0,0,21.5,0,0,0,13.3545,2.26667,0,0,0,0,10.4556,4.3125,8.66667,0,0,0,0,0,0,0,12.7619,12.7492,2.5,0,0,15.3333,0,0,0,11.8068,22.7333,0,0,0,0,13.035,20.5625,6.5,0,0,0,0,0,0,0,11.619,13.4918,22,0,accident
0,56,68,68,91,150,13,119,225,20,3,196,96,63,101,123,63,67,46,0,108,132,160,61,0,0,2.5,5,5.5,0,18,1.5,11,0,0,0,18.5,10,3.5,0,0,0,0,0,0,0,11,12.5,7,0,0,0,0,0,0,0,0,0,0,0,0,60.3259,41.1127,0,0,0,0,0,0,0,0,0,47.3553,27.799,0,0,2,4,14,572,3,3,1,2,2,2,3,3,15,629,2,5,4,3,0,6,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,60.3259,41.1127,0,0,0,0,0,0,0,0,0,47.3553,27.799,0,0,10.3333,20.7593,3.49242,0,15.3735,1.77778,10.45,0,0,0,12.866,7.95,3.80952,0,0,0,0,0,0,0,13.9375,12.9156,3,0,0,9.73333,20.2926,6,0,10.946,22.5556,15.9167,0,0,0,15.2451,19.35,5.2381,0,0,0,0,0,0,0,12.5568,4.96889,20.7857,0,accident
0,18,35,63,97,115,25,87,156,44,46,192,125,108,102,93,29,202,79,0,20,99,92,73,3,0,0,0,5,1,15,3,15.5,0,41.5,0,17,29,0,0,0,0,0,0,0,0,9,7,9,0,0,0,0,0,0,57.2548,12.4853,0,0,0,0,90.9117,66.669,0,0,0,0,0,0,0,0,0,27.799,40.2843,0,0,2,3,2,2,2,3,3,6,6,3,1,2,4,3,4,6,4,3,0,3,4,2,4,4,0,0,0,0,0,57.2548,12.4853,0,0,0,0,90.9117,66.669,0,0,0,0,0,0,0,0,0,27.799,40.2843,0,0,0,0,4.76852,2.75,17.4333,3,12.1263,0,10.3143,0,12.5291,10.3046,0,0,0,0,0,0,0,0,14.8625,16.5,4.7399,0,0,0,0,7.32963,11,11.0576,22.3333,12.7043,0,13.7403,0,9.75439,16.977,0,0,0,0,0,0,0,0,14.525,8.2619,18.3131,0,accident
50,64,74,38,115,143,15,75,363,24,3,173,140,138,128,165,96,91,2,0,47,135,93,119,0,0,4,0,0,1.5,14.5,2.5,10,0,0,0,16,36.5,0,0,3,0,2,0,0,0,12.5,3,7,0,0,0,0,0,0,43.1127,0,0,0,0,0,60.0833,127.439,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,2,8,1,1,2,4,2,2,3,2,537,18,6,4,2,2,0,1,1,4,6,0,0,0,0,0,0,43.1127,0,0,0,0,0,60.0833,127.439,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,0,0,2.83333,16.8764,2.26667,8.6859,0,0,0,11.2356,13.5621,0,0,9.5,0,13.5,0,0,0,12.2746,11.25,4.42857,0,0,8.875,0,0,11.3333,11.3657,22.7333,7.78632,0,0,0,11.6322,14.1373,0,0,2.08333,0,3,0,0,0,11.843,2.16667,14.8214,0,accident
