%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Black_Pixel_10 NUMERIC
@ATTRIBUTE  Black_Pixel_11 NUMERIC
@ATTRIBUTE  Black_Pixel_12 NUMERIC
@ATTRIBUTE  Black_Pixel_13 NUMERIC
@ATTRIBUTE  Black_Pixel_14 NUMERIC
@ATTRIBUTE  Black_Pixel_15 NUMERIC
@ATTRIBUTE  Black_Pixel_16 NUMERIC
@ATTRIBUTE  Black_Pixel_17 NUMERIC
@ATTRIBUTE  Black_Pixel_18 NUMERIC
@ATTRIBUTE  Black_Pixel_19 NUMERIC
@ATTRIBUTE  Black_Pixel_20 NUMERIC
@ATTRIBUTE  Black_Pixel_21 NUMERIC
@ATTRIBUTE  Black_Pixel_22 NUMERIC
@ATTRIBUTE  Black_Pixel_23 NUMERIC
@ATTRIBUTE  Black_Pixel_24 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Airs_10 NUMERIC
@ATTRIBUTE  Airs_11 NUMERIC
@ATTRIBUTE  Airs_12 NUMERIC
@ATTRIBUTE  Airs_13 NUMERIC
@ATTRIBUTE  Airs_14 NUMERIC
@ATTRIBUTE  Airs_15 NUMERIC
@ATTRIBUTE  Airs_16 NUMERIC
@ATTRIBUTE  Airs_17 NUMERIC
@ATTRIBUTE  Airs_18 NUMERIC
@ATTRIBUTE  Airs_19 NUMERIC
@ATTRIBUTE  Airs_20 NUMERIC
@ATTRIBUTE  Airs_21 NUMERIC
@ATTRIBUTE  Airs_22 NUMERIC
@ATTRIBUTE  Airs_23 NUMERIC
@ATTRIBUTE  Airs_24 NUMERIC
@ATTRIBUTE  Contours_size_0 NUMERIC
@ATTRIBUTE  Contours_size_1 NUMERIC
@ATTRIBUTE  Contours_size_2 NUMERIC
@ATTRIBUTE  Contours_size_3 NUMERIC
@ATTRIBUTE  Contours_size_4 NUMERIC
@ATTRIBUTE  Contours_size_5 NUMERIC
@ATTRIBUTE  Contours_size_6 NUMERIC
@ATTRIBUTE  Contours_size_7 NUMERIC
@ATTRIBUTE  Contours_size_8 NUMERIC
@ATTRIBUTE  Contours_size_9 NUMERIC
@ATTRIBUTE  Contours_size_10 NUMERIC
@ATTRIBUTE  Contours_size_11 NUMERIC
@ATTRIBUTE  Contours_size_12 NUMERIC
@ATTRIBUTE  Contours_size_13 NUMERIC
@ATTRIBUTE  Contours_size_14 NUMERIC
@ATTRIBUTE  Contours_size_15 NUMERIC
@ATTRIBUTE  Contours_size_16 NUMERIC
@ATTRIBUTE  Contours_size_17 NUMERIC
@ATTRIBUTE  Contours_size_18 NUMERIC
@ATTRIBUTE  Contours_size_19 NUMERIC
@ATTRIBUTE  Contours_size_20 NUMERIC
@ATTRIBUTE  Contours_size_21 NUMERIC
@ATTRIBUTE  Contours_size_22 NUMERIC
@ATTRIBUTE  Contours_size_23 NUMERIC
@ATTRIBUTE  Contours_size_24 NUMERIC
@ATTRIBUTE  Harris_Corners_0 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE  Harris_Corners_10 NUMERIC
@ATTRIBUTE  Harris_Corners_11 NUMERIC
@ATTRIBUTE  Harris_Corners_12 NUMERIC
@ATTRIBUTE  Harris_Corners_13 NUMERIC
@ATTRIBUTE  Harris_Corners_14 NUMERIC
@ATTRIBUTE  Harris_Corners_15 NUMERIC
@ATTRIBUTE  Harris_Corners_16 NUMERIC
@ATTRIBUTE  Harris_Corners_17 NUMERIC
@ATTRIBUTE  Harris_Corners_18 NUMERIC
@ATTRIBUTE  Harris_Corners_19 NUMERIC
@ATTRIBUTE  Harris_Corners_20 NUMERIC
@ATTRIBUTE  Harris_Corners_21 NUMERIC
@ATTRIBUTE  Harris_Corners_22 NUMERIC
@ATTRIBUTE  Harris_Corners_23 NUMERIC
@ATTRIBUTE  Harris_Corners_24 NUMERIC
@ATTRIBUTE  Length_Area_0 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Length_Area_9 NUMERIC
@ATTRIBUTE  Length_Area_10 NUMERIC
@ATTRIBUTE  Length_Area_11 NUMERIC
@ATTRIBUTE  Length_Area_12 NUMERIC
@ATTRIBUTE  Length_Area_13 NUMERIC
@ATTRIBUTE  Length_Area_14 NUMERIC
@ATTRIBUTE  Length_Area_15 NUMERIC
@ATTRIBUTE  Length_Area_16 NUMERIC
@ATTRIBUTE  Length_Area_17 NUMERIC
@ATTRIBUTE  Length_Area_18 NUMERIC
@ATTRIBUTE  Length_Area_19 NUMERIC
@ATTRIBUTE  Length_Area_20 NUMERIC
@ATTRIBUTE  Length_Area_21 NUMERIC
@ATTRIBUTE  Length_Area_22 NUMERIC
@ATTRIBUTE  Length_Area_23 NUMERIC
@ATTRIBUTE  Length_Area_24 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_17 NUMERIC
@ATTRIBUTE  Mass_Center_Y_17 NUMERIC
@ATTRIBUTE  Mass_Center_X_18 NUMERIC
@ATTRIBUTE  Mass_Center_Y_18 NUMERIC
@ATTRIBUTE  Mass_Center_X_19 NUMERIC
@ATTRIBUTE  Mass_Center_Y_19 NUMERIC
@ATTRIBUTE  Mass_Center_X_20 NUMERIC
@ATTRIBUTE  Mass_Center_Y_20 NUMERIC
@ATTRIBUTE  Mass_Center_X_21 NUMERIC
@ATTRIBUTE  Mass_Center_Y_21 NUMERIC
@ATTRIBUTE  Mass_Center_X_22 NUMERIC
@ATTRIBUTE  Mass_Center_Y_22 NUMERIC
@ATTRIBUTE  Mass_Center_X_23 NUMERIC
@ATTRIBUTE  Mass_Center_Y_23 NUMERIC
@ATTRIBUTE  Mass_Center_X_24 NUMERIC
@ATTRIBUTE  Mass_Center_Y_24 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
13,0,0,1,0,0,0,51,20.5,0,4,0,14.6643,8.80376,37,0,0,3,0,0,0,91,0.5,47.6569,1,47.6569,7.77778,1.77778,159,6.5,0,1,0,3.90696,8.53626,36,0,0,3,0,0,0,83,12,0,8,0,10.5397,11.8175,47,1,21.6569,6,21.6569,1.75,3,35,0.5,17.0711,1,17.0711,23.3333,7.66667,90,4.5,21.6569,1,21.6569,4.94444,4.45397,0,0,0,0,0,0,0,64,0,0,4,0,0,0,81,13,0,6,0,16.1249,11.1268,102,8.5,69.3553,498,69.3553,8.93072,16.5654,88,1,47.6569,3,47.6569,7.77778,0.833333,150,7,44.3848,1,44.3848,3.19091,1.47727,70,0,47.6569,559,47.6569,0,0,69,12.5,59.0122,1,59.0122,12.8887,8.37304,31,6,0,1,0,4.45,21.8667,0,0,0,0,0,0,0,43,0,0,2,0,0,0,69,2.5,0,635,0,7.08889,3.08889,88,5,32.1421,1,32.1421,7.36049,15.6691,74,15.5,0,4,0,17.3737,9.16373,19,3,0,4,0,2.5,21.6667,accident
65,8,44.2843,5,44.2843,20.6875,13.9583,84,3,0,1,0,22.75,17.5,81,0,0,597,0,0,0,120,3,18.8284,1,18.8284,7,4.33333,189,12,92.7696,1,92.7696,3.93981,12.713,12,0,0,2,0,0,0,90,1,0,569,0,4.75,1.5,82,0,49.3137,2,49.3137,0,0,43,3,16.4853,2,16.4853,20,2.88889,68,2.5,24.7279,2,24.7279,5.08148,2.32593,0,0,0,0,0,0,0,86,0,0,555,0,0,0,160,14.5,67.6985,7,67.6985,9.50623,13.1806,100,5.5,61.6985,569,61.6985,13.2078,12.9286,191,7,50.1421,6,50.1421,9.76042,5.09375,105,6,33.799,8,33.799,2.08333,3.83333,42,0,0,630,0,0,0,110,13,57.3553,561,57.3553,11.1191,15.0009,103,14.5,0,10,0,14.6302,13.4275,38,0,0,12,0,0,0,83,1,50.9706,7,50.9706,6.25,1,116,0,0,2,0,0,0,199,12,74.7696,7,74.7696,7.77546,12.2307,22,2,0,4,0,23,4,75,9,0,2,0,4.75,15.9167,accident
0,0,0,0,0,0,0,45,4,0,5,0,22.625,15.375,46,0,0,1,0,0,0,73,0,51.799,577,51.799,0,0,211,10,86.0833,1,86.0833,10.49,11.72,46,1,36.1421,6,36.1421,23.5,9.5,29,2,0,4,0,1.25,9.75,54,4,44.6274,1,44.6274,21.5,15,17,2,11.6569,4,11.6569,2,3.5,153,2.5,63.799,5,63.799,5.45833,11.625,36,0,0,7,0,0,0,72,1,0,560,0,2.75,6.5,64,5,0,1,0,12.725,4.49583,59,2,0,584,0,15.75,3,10,0,0,1,0,0,0,95,71.5,84.9117,5,84.9117,6.26998,8.68846,57,0,0,1,0,0,0,72,5.5,33.5563,1,33.5563,8.7803,20.9242,50,4,0,2,0,2.125,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,52.6274,558,52.6274,0,0,91,8,49.5563,3,49.5563,12.4982,18.6595,80,10,56.5269,554,56.5269,12.7255,9.4951,27,0,0,1,0,0,0,accident
12,0,0,1,0,0,0,54,9,47.1127,10,47.1127,12.4755,13.5131,72,0,51.799,560,51.799,0,0,126,2.5,41.3137,4,41.3137,7.22222,4.86111,161,10.5,51.3553,16,51.3553,5.09587,12.094,47,5,0,3,0,21.35,7.45,29,6,0,6,0,4,20,64,1,50.1421,555,50.1421,6.33333,11.5,127,2.5,73.4558,2,73.4558,15.4792,7.83333,66,6,41.799,5,41.799,2.61111,4.33333,11,0,0,1,0,0,0,59,6,0,6,0,10,5.75,77,12.5,0,10,0,15.231,16.2558,60,4.5,33.5563,3,33.5563,13.3439,19.8466,134,39,108.083,4,108.083,11.1709,5.25142,19,0,0,658,0,0,0,48,0,0,639,0,0,0,72,7.5,48.0416,2,48.0416,8.65693,18.9946,10,1,0,2,0,2,23,0,0,0,0,0,0,0,24,0,19.6569,3,19.6569,0,0,108,1,48.1421,2,48.1421,8.125,4.25,169,13,51.9411,1,51.9411,11.7624,9.3857,81,11,0,12,0,9.58182,9.51364,0,0,0,0,0,0,0,accident
22,0,0,3,0,0,0,65,11,0,5,0,13.5219,14.8538,78,0,51.799,3,51.799,0,0,25,0,0,1,0,0,0,157,7,69.9411,1,69.9411,8.55926,10.2328,0,0,0,0,0,0,0,73,0,0,594,0,0,0,76,0,50.9706,579,50.9706,0,0,34,4,24.1421,1,24.1421,22.5,19,79,2.5,35.5563,2,35.5563,3.97778,16.0778,0,0,0,0,0,0,0,65,1,0,601,0,6.25,2.5,97,6.5,0,2,0,17,14.1667,88,11.5,60.1838,502,60.1838,14.6425,13.0366,104,4,48.4853,6,48.4853,11.1222,2.02778,133,3.5,48.4853,4,48.4853,1.4127,2.12698,79,0,0,582,0,0,0,82,12.5,63.0122,10,63.0122,9.70261,15.1991,55,11.5,0,2,0,6.47923,18.4106,18,0,0,2,0,0,0,22,0,13.6569,1,13.6569,0,0,54,2,43.799,10,43.799,3.5,7.75,265,13,106.912,1,106.912,5.93148,3.4162,45,11,0,2,0,19.4583,5.5,44,4,0,10,0,2.75,16.125,accident
15,0,0,1,0,0,0,221,9,27.6569,2,27.6569,8.61111,12.0889,181,8,0,10,0,7.2373,9.08254,90,0,0,11,0,0,0,75,0,0,9,0,0,0,118,0,0,8,0,0,0,141,0,0,4,0,0,0,22,2,0,2,0,2,4,30,0,0,1,0,0,0,49,1.5,0,8,0,0,0,342,0,0,1,0,0,0,154,2.5,0,4,0,17.5333,20.7333,71,0,0,16,0,0,0,199,9.5,62.5269,571,62.5269,5.89724,14.9261,148,2.5,0,576,0,4.75556,1.24444,237,4.5,43.5563,27,43.5563,5.27778,6.05556,194,3,0,499,0,14.1667,16.8333,169,13,55.598,8,55.598,10.1282,6.58974,207,0,0,3,0,0,0,66,0,0,9,0,0,0,148,0,0,5,0,0,0,84,3.5,31.5563,2,31.5563,22.3333,19.2381,15,0,0,4,0,0,0,292,0,0,3,0,0,0,197,0,0,2,0,0,0,accident
36,2.5,0,2,0,21.6667,23.6667,21,0,0,3,0,0,0,133,4.5,0,8,0,8.50926,9.01852,55,1,0,6,0,22.5,8,72,1,39.3137,26,39.3137,1.5,8,0,0,0,0,0,0,0,112,11.5,0,11,0,20.845,14.7135,158,4.5,74.8701,10,74.8701,4.7963,20.9259,56,5.5,44.3848,2,44.3848,20.0303,13.8485,115,2,48.1421,2,48.1421,13.2222,10.2222,89,6,14.4853,5,14.4853,17.25,22,152,13.5,0,1,0,13.8408,10.0864,107,0,0,7,0,0,0,62,1,0,6,0,11,1.5,131,1,0,505,0,2,0.75,140,2,0,12,0,19.75,6.83333,62,6,30.9706,12,30.9706,4.66667,2.75,74,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,133,2,52.6274,2,52.6274,18.25,7.25,95,5.5,63.1127,4,63.1127,22.2121,12.8485,24,0,0,2,0,0,0,136,9.5,0,5,0,11.6667,5.71795,83,0,0,10,0,0,0,accident
113,0,0,1,0,0,0,99,7.5,29.3137,5,29.3137,8.38333,15.6917,42,0,0,644,0,0,0,105,0,0,631,0,0,0,128,0,0,4,0,0,0,41,0,0,650,0,0,0,91,0,0,662,0,0,0,144,0,0,1,0,0,0,21,0,0,2,0,0,0,71,5.5,45.6985,5,45.6985,16.2652,20.9167,44,0,0,3,0,0,0,101,3,0,4,0,1.58333,9.66667,113,0,0,3,0,0,0,23,2,11.6569,4,11.6569,22.25,3,168,5.5,54.8701,5,54.8701,16.0303,8.85606,161,4,53.4558,523,53.4558,5.25,15.875,173,17.5,64.3259,4,64.3259,12.2899,9.39234,3,0,0,4,0,0,0,70,0,0,8,0,0,0,0,0,0,0,0,0,0,153,0,0,2,0,0,0,161,0,49.3137,8,49.3137,0,0,144,2.5,0,4,0,5.73333,3.66667,164,0,0,18,0,0,0,110,0,0,1,0,0,0,accident
0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,129,5,53.4558,534,53.4558,9.9,10.55,104,0,0,5,0,0,0,122,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,4,11.6569,2,11.6569,7.2,10.15,70,3.5,29.8995,4,29.8995,5.41667,7.11111,136,13,61.0122,3,61.0122,9.5262,16.175,0,0,0,0,0,0,0,156,11,0,13,0,11.7057,17.7261,0,0,0,0,0,0,0,139,18,122.569,2,122.569,8.21296,16.1111,144,16.5,60.669,6,60.669,12.9987,10.9987,9,0.5,0,4,0,1.66667,1.66667,0,0,0,0,0,0,0,9,1,0,2,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,11.5,55.6985,6,55.6985,20.1051,12.8442,109,7,0,4,0,14.9259,3.50265,88,0,0,2,0,0,0,0,0,0,0,0,0,0,accident
0,0,0,0,0,0,0,13,1,0,3,0,23.5,23,233,0,0,1,0,0,0,145,9,54.2843,19,54.2843,9.30159,11.4444,100,0,0,24,0,0,0,65,0,0,18,0,0,0,70,0,0,4,0,0,0,96,2,47.799,1,47.799,22.25,15,43,2,23.3137,6,23.3137,3.5,4,38,1.5,0,3,0,12.7778,7.55556,263,0,0,2,0,0,0,134,0,0,6,0,0,0,177,5,67.9411,6,67.9411,8.42222,6.68889,78,4.5,32.7279,1,32.7279,21.3519,8.50926,151,8,54.2843,4,54.2843,7.16071,15.75,213,4.5,48.4853,2,48.4853,10.4074,7.39815,157,8,57.1127,3,57.1127,18.8461,10.4016,33,3,17.3137,4,17.3137,2.5,5.33333,97,9,0,9,0,5.5,15,0,0,0,0,0,0,0,20,0,0,1,0,0,0,120,3,53.4558,7,53.4558,19.5833,13.9167,97,6.5,0,4,0,9.87879,7.28788,154,10,0,7,0,15.2357,11.9876,193,0,0,1,0,0,0,accident
