%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
351,233,586,273,20.5,41.5,24.5,19.5,97.1127,157.037,247.238,227.439,42.6334,17.317,33.9735,51.4486,accident
684,436,788,313,56.5,23.5,215.5,14,193.581,179.581,217.64,227.439,41.433,16.1296,35.8395,24.8283,accident
261,323,488,245,9.5,20,72,9.5,145.296,160.61,155.841,142.326,30.8786,11.5031,46.7401,29.7184,accident
479,251,630,220,14,24.5,52.5,14.5,137.882,135.095,113.497,135.983,43.3911,11.506,29.475,46.076,accident
459,396,557,306,17,36,22,13.5,143.196,161.137,217.782,220.953,44.69,10.9608,39.3626,32.3621,accident
199,290,382,361,3.5,35,0,26,21.5563,140.652,117.657,128.267,59.7778,15.1537,0,22.219,accident
395,212,446,395,20.5,25,11,56,151.924,97.5391,201.941,287.99,49.9899,12.8,8.66667,43.4512,accident
449,259,465,383,27,29.5,20.5,27,154.51,108.267,116.125,93.196,29.6227,14.7812,12.9602,50.7654,accident
329,235,464,310,52.5,29.5,44.5,29,297.747,121.095,194.35,144.167,30.5941,15.5833,20.527,30.9752,accident
430,307,549,443,74,27.5,17,28,304.333,135.095,130.627,162.995,37.5777,15.2458,19.4413,33.7145,accident
279,622,820,770,26,25.5,25,28,99.196,164.51,227.823,216.451,48.3065,15.6321,15.5931,27.2229,accident
476,226,623,486,38.5,28.5,11.5,33,200.593,94.6102,219.095,191.64,46.3865,13.3757,12.4635,41.1191,accident
579,333,705,334,34.5,36,99,25,175.581,134.652,245.238,167.823,41.3694,26.7414,30.0095,38.8905,accident
457,304,798,574,41,11,30.5,26,290.534,141.054,499.262,227.338,33.812,7.65368,41.304,24.2806,accident
659,212,956,838,27,6,26,53,177.823,76.7696,271.622,232.392,49.5852,3.66667,33.4311,15.7104,accident
376,209,369,402,34,33.5,18,30.5,169.48,108.752,123.799,219.723,44.7776,16.6365,4.39583,51.824,accident
425,115,373,391,36.5,16.5,15.5,35,178.208,60.669,82.3259,268.593,39.0329,9.51948,7.15909,46.0571,accident
371,158,373,441,30.5,22.5,19,37,160.652,73.6396,78.5685,170.451,40.7137,11.8116,10.7917,42.6827,accident
544,251,349,535,29.5,29.5,19,49.5,203.723,98.267,81.7401,234.434,28.8957,14.6847,5.20833,47.5205,accident
453,230,309,382,35,31,6,21.5,198.208,105.338,137.012,86.468,14.1379,18.5671,4.42576,52.5802,accident
929,429,475,524,20.5,22.5,0.5,13,94.468,98.1249,27.0711,93.2548,47.4511,10.4988,24.3333,30.25,accident
1183,437,915,1399,24,0,0,0,203.823,0,0,0,44.7407,0,0,0,accident
974,511,669,758,17,31,0,0,116.669,118.51,0,0,32.9052,12.5722,0,0,accident
1006,635,426,938,20,31,0,31.5,189.681,136.995,0,212.208,41.7254,14.9777,0,31.3846,accident
790,349,567,571,25,29,12,29,193.48,104.024,67.2548,173.48,44.8537,13.6012,33.9635,31.5234,accident
690,624,711,696,24,0,94,17.5,136.853,0,143.841,208.267,30.1014,0,22.1186,22.4762,accident
441,383,670,451,10.5,36,7.5,29.5,155.296,157.137,195.64,173.581,33.9632,55.0513,24.9535,29.8927,accident
498,415,529,535,7.5,0,16.5,43.5,199.397,0,186.125,181.581,41.5556,0,49.13,18.0642,accident
363,300,453,290,24.5,23.5,32,27,135.782,115.782,189.823,137.338,24.9948,10.8602,42.2795,15.5094,accident
316,537,555,570,25,23.5,19.5,13.5,267.764,149.439,208.61,190.953,23.26,14.8125,29.7906,15.5465,accident
275,171,374,309,23.5,34.5,22,51,167.681,112.409,244.853,265.706,41.1033,17.6824,22.0157,52.8331,accident
234,145,272,286,12.5,29,41.5,23.5,154.953,104.024,204.35,77.6396,39.5186,20.7315,24.7607,36.348,accident
253,177,263,253,26,42,17,18.5,175.823,133.622,121.882,106.627,40.225,21.6434,11.6231,36.2506,accident
187,255,264,316,28,38,11,25.5,180.995,138.309,108.569,126.61,43.7118,15.7592,8.72569,32.4,accident
176,289,235,79,20.5,50,30.5,1.5,149.095,180.25,125.095,6.24264,58.6169,24.5919,16.814,62.2222,accident
583,221,360,487,21,28,24.5,61.5,109.983,92.0244,146.87,289.061,39.687,13.9811,17.1667,46.0367,accident
691,191,381,715,40,20,31,44,186.108,69.397,130.627,199.764,28.0228,10.2533,26.8333,42.2257,accident
402,234,271,468,30,29,22.5,31.5,212.551,99.6812,87.6396,137.255,44.3801,15.121,5.64385,39.5795,accident
481,249,337,586,30.5,24.5,18,50,261.037,104.953,85.397,254.936,46.1544,12.8641,10.0389,22.446,accident
433,220,353,494,37,25,11.5,34.5,189.037,122.024,117.698,246.693,31.5946,13.1086,13.3643,23.1193,accident
537,362,428,464,35.5,43.5,13.5,24.5,182.208,147.037,78.9117,222.066,56.1413,24.2042,9.37333,52.1678,accident
378,181,295,395,34.5,30.5,21.5,54,173.681,98.267,115.698,438.617,26.9836,15.6764,5.21923,32.5824,accident
377,178,319,374,33.5,27.5,19,31,152.894,93.7817,126.284,151.338,34.8611,13.5017,6.33188,50.3089,accident
492,176,386,487,24,25.5,24,37,281.622,86.1249,116.368,159.966,43.4481,12.3223,8.74432,38.165,accident
