%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
351,233,586,273,accident
684,436,788,313,accident
261,323,488,245,accident
479,251,630,220,accident
459,396,557,306,accident
199,290,382,361,accident
395,212,446,395,accident
449,259,465,383,accident
329,235,464,310,accident
430,307,549,443,accident
279,622,820,770,accident
476,226,623,486,accident
579,333,705,334,accident
457,304,798,574,accident
659,212,956,838,accident
376,209,369,402,accident
425,115,373,391,accident
371,158,373,441,accident
544,251,349,535,accident
453,230,309,382,accident
929,429,475,524,accident
1183,437,915,1399,accident
974,511,669,758,accident
1006,635,426,938,accident
790,349,567,571,accident
690,624,711,696,accident
441,383,670,451,accident
498,415,529,535,accident
363,300,453,290,accident
316,537,555,570,accident
275,171,374,309,accident
234,145,272,286,accident
253,177,263,253,accident
187,255,264,316,accident
176,289,235,79,accident
583,221,360,487,accident
691,191,381,715,accident
402,234,271,468,accident
481,249,337,586,accident
433,220,353,494,accident
537,362,428,464,accident
378,181,295,395,accident
377,178,319,374,accident
492,176,386,487,accident
596,289,505,412,accident
318,179,376,269,accident
362,209,381,361,accident
338,178,381,345,accident
311,337,446,397,accident
418,184,459,376,accident
178,343,237,364,accident
217,278,331,281,accident
185,244,334,190,accident
235,323,233,352,accident
290,238,368,303,accident
449,473,603,920,accident
557,289,801,380,accident
356,426,646,476,accident
469,488,661,498,accident
575,416,718,508,accident
291,288,282,152,accident
260,190,268,220,accident
332,242,260,163,accident
288,219,245,320,accident
324,238,361,319,accident
313,290,397,324,accident
364,197,385,215,accident
448,199,511,321,accident
412,282,365,296,accident
383,417,648,401,accident
948,439,647,745,accident
1131,586,693,898,accident
821,451,542,610,accident
871,249,313,507,accident
745,447,416,697,accident
482,313,496,465,accident
419,208,341,421,accident
316,315,293,497,accident
467,265,470,376,accident
559,185,404,451,accident
510,237,427,619,accident
513,194,324,450,accident
556,300,564,540,accident
344,366,326,582,accident
663,224,343,523,accident
537,207,453,423,accident
287,417,387,552,accident
259,448,291,476,accident
551,208,771,544,accident
605,365,700,401,accident
255,378,435,396,accident
391,169,281,323,accident
157,464,498,380,accident
238,385,471,341,accident
229,463,423,398,accident
242,214,50,109,accident
131,292,238,236,accident
146,258,168,182,accident
244,210,308,218,accident
195,186,169,235,accident
418,180,558,498,accident
378,327,521,574,accident
340,206,610,530,accident
472,275,608,461,accident
292,348,555,605,accident
407,179,516,400,accident
230,324,353,423,accident
337,244,428,290,accident
263,247,577,398,accident
157,341,419,528,accident
370,242,319,518,accident
290,217,241,350,accident
431,177,214,373,accident
378,209,395,366,accident
302,233,249,386,accident
93,172,213,189,bomb
222,123,228,209,bomb
138,97,218,233,bomb
171,130,240,234,bomb
199,22,249,214,bomb
171,336,356,342,bomb
154,193,295,289,bomb
179,71,156,276,bomb
192,236,257,302,bomb
101,238,311,300,bomb
160,230,205,198,bomb
168,163,341,281,bomb
352,280,384,346,bomb
197,295,359,237,bomb
264,280,334,270,bomb
351,223,358,361,bomb
157,221,340,368,bomb
296,233,352,309,bomb
226,192,482,443,bomb
360,447,433,396,bomb
367,457,427,397,bomb
272,500,381,371,bomb
247,396,310,370,bomb
328,330,347,362,bomb
147,420,376,328,bomb
146,168,211,282,bomb
133,67,242,215,bomb
111,109,280,318,bomb
166,144,265,221,bomb
105,209,254,288,bomb
130,129,179,190,bomb
214,252,223,218,bomb
186,191,180,190,bomb
215,182,170,228,bomb
229,162,218,239,bomb
231,125,353,304,bomb
104,308,298,295,bomb
75,345,302,279,bomb
82,213,261,323,bomb
62,255,342,337,bomb
56,236,207,187,bomb
124,171,236,227,bomb
136,95,221,263,bomb
98,77,204,182,bomb
56,161,203,213,bomb
204,2,198,246,bomb
187,8,299,163,bomb
202,45,254,276,bomb
198,63,237,306,bomb
161,120,309,259,bomb
205,211,386,418,bomb
186,105,193,329,bomb
325,213,337,469,bomb
121,202,255,381,bomb
166,138,273,313,bomb
81,364,264,269,bomb
115,332,276,233,bomb
160,334,405,234,bomb
186,390,498,500,bomb
18,383,464,450,bomb
232,609,447,638,bomb
242,327,462,559,bomb
201,490,487,556,bomb
225,266,481,429,bomb
352,507,1067,659,bomb
464,413,173,218,bomb
742,545,779,696,bomb
656,459,586,712,bomb
161,109,134,175,bomb
505,395,644,705,bomb
195,301,271,335,bomb
295,293,279,391,bomb
208,365,342,430,bomb
272,558,410,415,bomb
440,122,352,421,bomb
316,114,283,250,bomb
249,32,293,255,bomb
136,69,253,203,bomb
145,208,224,228,bomb
40,257,243,250,bomb
474,1076,873,1098,bomb
218,628,304,260,bomb
381,973,405,461,bomb
758,970,666,761,bomb
467,405,697,510,bomb
215,245,230,236,bomb
90,275,198,185,bomb
135,261,244,231,bomb
136,246,265,296,bomb
202,225,265,294,bomb
225,210,342,355,bomb
316,21,339,265,bomb
284,22,321,248,bomb
93,151,298,263,bomb
84,153,270,286,bomb
185,96,163,246,bomb
67,123,171,78,bomb
278,2,183,269,bomb
170,35,184,232,bomb
91,139,233,261,bomb
411,86,430,382,bomb
325,51,304,371,bomb
179,161,361,344,bomb
358,98,481,355,bomb
248,196,481,306,bomb
299,84,425,374,bomb
214,245,369,397,bomb
328,234,356,321,bomb
413,204,448,475,bomb
225,292,506,504,bomb
282,321,450,443,bomb
194,439,407,408,bomb
388,536,503,522,bomb
158,268,251,334,bomb
133,207,283,417,bomb
117,37,172,239,bomb
100,348,312,348,bomb
190,437,322,352,bomb
222,562,320,397,bomb
166,364,332,369,bomb
127,201,258,267,bomb
171,141,320,317,bomb
199,184,266,293,bomb
114,133,277,195,bomb
119,193,181,282,bomb
505,322,351,461,bomb
368,342,347,443,bomb
413,223,427,298,bomb
277,225,359,342,bomb
225,335,278,290,bomb
143,193,361,363,car
144,166,300,336,car
105,145,366,422,car
270,288,396,412,car
201,225,498,495,car
249,235,243,247,car
257,240,336,258,car
270,171,291,299,car
230,194,277,313,car
182,177,251,255,car
374,416,579,466,car
349,455,523,435,car
310,363,471,397,car
274,372,457,366,car
296,387,489,574,car
409,423,419,723,car
465,503,731,661,car
336,380,604,525,car
249,313,472,512,car
292,245,524,625,car
394,574,728,620,car
597,839,1025,675,car
416,659,827,795,car
456,670,956,772,car
512,670,997,579,car
294,225,288,406,car
243,197,356,397,car
285,212,267,295,car
302,188,271,347,car
298,211,343,345,car
236,340,466,451,car
244,420,593,418,car
259,336,460,443,car
394,471,663,664,car
301,453,608,537,car
233,285,466,441,car
375,382,550,468,car
325,272,531,552,car
227,256,586,570,car
253,326,706,819,car
220,199,268,334,car
269,192,241,259,car
235,160,347,277,car
296,227,424,354,car
240,183,260,325,car
212,212,244,258,car
221,183,230,216,car
212,188,280,264,car
202,198,232,268,car
227,192,239,268,car
317,423,601,518,car
296,443,661,611,car
431,540,614,607,car
356,488,575,379,car
360,528,728,506,car
253,280,509,568,car
303,289,620,712,car
253,209,458,474,car
286,256,471,429,car
292,224,788,752,car
262,221,348,380,car
306,293,370,474,car
311,264,374,487,car
216,219,339,330,car
221,207,325,339,car
216,273,482,449,car
292,337,750,937,car
250,518,722,832,car
273,445,822,942,car
222,330,675,743,car
258,258,419,376,car
233,186,319,384,car
216,217,350,482,car
204,250,469,444,car
217,253,687,368,car
298,257,448,424,car
229,204,356,395,car
252,203,446,369,car
292,235,396,434,car
255,344,477,576,car
560,466,909,989,car
459,375,666,606,car
445,371,584,627,car
478,385,618,569,car
460,325,562,684,car
218,220,287,272,car
227,218,350,387,car
220,167,271,330,car
173,238,329,293,car
220,218,301,307,car
209,284,519,423,car
291,260,599,684,car
298,343,445,628,car
150,171,385,407,car
160,264,374,467,car
176,182,311,337,car
167,257,362,513,car
189,201,444,484,car
161,178,338,445,car
165,171,454,403,car
214,212,323,367,car
292,287,494,462,car
286,261,404,402,car
263,226,352,364,car
208,193,287,326,car
689,540,830,815,car
622,424,732,674,car
654,493,977,556,car
782,412,1087,1076,car
492,411,560,804,car
181,183,370,390,car
227,218,356,466,car
220,213,557,543,car
227,218,574,519,car
197,218,300,530,car
174,181,386,379,car
188,181,380,395,car
196,225,421,424,car
189,209,418,378,car
295,349,571,840,car
191,261,460,369,car
208,406,531,532,car
225,215,435,547,car
239,228,498,547,car
479,196,511,637,car
350,253,470,544,car
243,195,384,365,car
273,148,350,324,car
269,238,440,469,car
307,260,311,267,casualty
152,306,495,300,casualty
206,284,383,316,casualty
251,221,394,383,casualty
252,235,440,395,casualty
646,390,401,425,casualty
573,610,424,449,casualty
488,685,360,733,casualty
568,444,411,412,casualty
511,559,385,455,casualty
491,457,384,446,casualty
551,474,319,392,casualty
367,430,302,332,casualty
454,473,737,228,casualty
396,480,380,371,casualty
415,290,366,670,casualty
428,479,144,291,casualty
354,279,502,657,casualty
528,477,233,490,casualty
499,485,610,689,casualty
340,388,432,208,casualty
273,328,320,252,casualty
325,387,400,108,casualty
374,506,429,182,casualty
416,263,241,163,casualty
276,203,325,313,casualty
303,225,292,275,casualty
288,268,219,235,casualty
280,272,363,280,casualty
