%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
42,216,67,29,365,138,173,264,154,accident
147,393,140,136,532,152,235,233,188,accident
33,223,51,118,336,121,107,208,121,accident
102,248,31,121,429,125,172,160,116,accident
90,325,88,129,286,124,189,311,177,accident
3,215,6,164,149,220,216,178,133,accident
64,255,67,178,182,199,227,215,162,accident
47,302,0,218,208,212,196,193,214,accident
19,266,65,149,161,199,235,187,156,accident
61,336,301,194,184,239,267,255,244,accident
98,294,125,203,253,303,504,382,378,accident
112,269,0,211,259,194,286,257,240,accident
157,355,29,207,135,293,334,346,109,accident
183,413,24,206,354,117,353,377,324,accident
129,336,6,294,461,37,433,517,457,accident
78,223,71,182,142,187,140,171,210,accident
124,92,0,272,173,207,149,173,113,accident
56,175,3,205,227,158,143,194,234,accident
245,263,139,228,107,242,117,229,261,accident
158,225,76,143,132,236,131,213,156,accident
419,452,211,281,257,270,162,333,166,accident
432,448,1082,418,584,505,316,483,829,accident
488,473,14,383,62,448,265,445,370,accident
358,579,26,502,289,530,111,41,609,accident
248,432,25,350,205,285,223,281,299,accident
310,226,360,260,277,217,276,395,405,accident
131,223,106,218,176,205,269,381,217,accident
203,311,92,246,179,211,241,336,223,accident
3,358,189,175,187,180,116,334,60,accident
2,403,125,209,186,224,274,328,235,accident
23,211,8,126,104,148,193,141,169,accident
4,155,12,92,122,152,158,115,134,accident
59,176,19,105,82,154,123,116,113,accident
79,168,22,113,80,139,147,125,164,accident
2,185,96,123,45,90,134,43,51,accident
236,324,125,159,149,197,137,230,248,accident
468,200,140,75,177,159,245,251,441,accident
88,269,29,203,111,210,86,198,211,accident
103,344,13,184,224,167,139,226,285,accident
99,267,8,187,154,167,123,215,279,accident
93,407,32,213,107,302,238,166,259,accident
42,257,62,165,131,182,121,166,197,accident
8,259,42,182,158,163,133,160,190,accident
101,268,39,175,196,172,200,171,246,accident
193,352,20,191,143,257,225,232,209,accident
119,152,10,124,115,148,163,175,127,accident
147,145,64,117,123,141,153,213,197,accident
110,188,14,124,102,142,163,162,207,accident
