%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
4,20.5,14.5,3,18,19,8.5,24,13.5,accident
13.5,16,17.5,0,79.5,4,7.5,26.5,10.5,accident
0,11,7.5,2,14,3,5,110,5.5,accident
11,20.5,4,0,12,18,7,2,7.5,accident
12,12,20,0,9,2,11.5,22,12.5,accident
0,25.5,0,0,4.5,34,0,23,7.5,accident
5.5,24,0,14,12,25.5,10,0,17,accident
4,26.5,0,16,8,26.5,11.5,2.5,10,accident
1.5,61,0,19,4,28.5,22.5,41.5,9,accident
2,68,0,0,4,25.5,6,58,13.5,accident
0,22.5,6,18,11.5,7,13,21.5,22,accident
14,45.5,0,16.5,12.5,24,6.5,2.5,13,accident
11,27,3,19,2,30.5,7.5,10,14,accident
0,23,0,15,8,6,15,122.5,16.5,accident
3.5,17,0,17,11,4.5,9.5,143,30.5,accident
9,29,0,25.5,3.5,30.5,4.5,15.5,11.5,accident
8,14.5,0,15,21,14,5,0,7.5,accident
5,17.5,0,20,17.5,23.5,10.5,0,13.5,accident
4.5,31.5,0,19,8.5,26.5,5.5,0,27,accident
13.5,21,0,17,6.5,33.5,5.5,0,7.5,accident
4,27,0,0,13.5,11,0.5,0,0,accident
12,3.5,0,0,0,0,0,0,0,accident
3,29,0,0,0,18.5,0,0,0,accident
10.5,18,3,0,3.5,28.5,0,0,4,accident
8,27.5,0,17.5,12,24.5,0,12,13.5,accident
18.5,0,16.5,9,6.5,0,10.5,7,15.5,accident
5,16,0,5,157,15.5,6.5,5,17,accident
7,6,0,0,0,6.5,7.5,61.5,18.5,accident
0,29,0,6,2,8,19,24.5,7.5,accident
0,13,11,15,3,3,14.5,101,11.5,accident
0,27.5,0,19.5,3.5,32,11,23,12.5,accident
0,20.5,0,12,6,32,22.5,13,2,accident
0,34,3,13,0,33.5,10,0,1,accident
9,35,3.5,8,0,26,6,0,11.5,accident
0,23,20.5,19,0,20,17,0,0,accident
11,28.5,0,0,11.5,23,1.5,24.5,29.5,accident
26,24.5,0,0,19.5,17.5,0,0,26,accident
4,27.5,0,23.5,8.5,31,8.5,0,14.5,accident
6,24.5,0,19,10,21.5,8.5,48.5,20,accident
10.5,31,0,22,3.5,18.5,0,0,21,accident
0,36.5,2.5,18,0,32.5,4.5,0,16.5,accident
6,26.5,0,28,8.5,30,5,0,10.5,accident
1,24.5,0,32.5,10.5,25.5,2,1,11.5,accident
0,26,0,13,12.5,25.5,15,16.5,14,accident
16,33.5,3,5,0,34.5,1,8.5,7.5,accident
22.5,32,1,13,5,30.5,12,51,0,accident
15.5,11,13,2,0,10,12.5,5.5,1.5,accident
32,35.5,2,5.5,1,21,13.5,0,4.5,accident
7,37.5,20,13,0,3,14.5,17,7.5,accident
29.5,22.5,0,14,1,27.5,7.5,1.5,5.5,accident
0,31.5,4.5,8,0,0,5,13.5,2,accident
0,27.5,7.5,1,1,0,5,4,0,accident
0,29.5,3.5,9.5,4,0,2,2.5,2,accident
3,27,3,18.5,0.5,0,1.5,7.5,2.5,accident
4,26,2,0,0,0,1.5,5.5,3,accident
0,10.5,0,18,8,13,17,6.5,16.5,accident
4,25.5,0,5,1.5,9.5,21.5,11,14.5,accident
0,53.5,0,21,32.5,7,15.5,92.5,22,accident
2,14,14,18,3,0,9.5,17.5,8.5,accident
17.5,13,0,6,4.5,20,3.5,7,14,accident
15,16,20.5,2,2,0,6,9,3.5,accident
0,43,9,1,2.5,9.5,3.5,6.5,16,accident
