%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Contours_size_1 NUMERIC
@ATTRIBUTE  Contours_size_2 NUMERIC
@ATTRIBUTE  Contours_size_3 NUMERIC
@ATTRIBUTE  Contours_size_4 NUMERIC
@ATTRIBUTE  Contours_size_5 NUMERIC
@ATTRIBUTE  Contours_size_6 NUMERIC
@ATTRIBUTE  Contours_size_7 NUMERIC
@ATTRIBUTE  Contours_size_8 NUMERIC
@ATTRIBUTE  Contours_size_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
22.1421,98.468,47.0122,34.1421,199.338,98.2254,113.012,96.669,125.497,accident
97.1543,161.681,89.9828,85.799,141.154,90.7696,137.497,148.752,116.669,accident
22.4853,77.3553,38.0416,90.7696,129.882,90.7696,90.7696,124.912,91.6985,accident
83.2548,96.4264,24.1421,89.1127,108.083,98.8112,58.3848,69.1127,60.8701,accident
75.2548,71.598,64.5685,90.7696,136.912,89.1127,126.811,178.51,129.497,accident
0,108.61,0,0,162.87,108.167,80.8284,23.3137,64.1838,accident
27.5563,105.054,0,94.9117,92.1421,90.1249,113.799,0,155.681,accident
26.1421,126.853,0,97.397,70.1421,90.9533,65.0122,35.5563,59.799,accident
15.0711,288.818,0,99.6396,76.9706,103.439,89.6396,64.9706,87.598,accident
9.65685,284.191,0,0,153.598,102.953,85.799,38.1421,109.397,accident
0,96.468,51.4558,75.7401,55.799,92.4264,130.569,84.1421,118.426,accident
56.4264,213.806,0,97.9828,163.941,82.7107,119.841,90.7696,100.527,accident
52.7696,174.167,14.4853,98.2254,73.799,115.095,144.326,94.0833,68.0833,accident
0,238.936,0,96.5685,163.841,54.2843,244.652,81.6569,135.054,accident
42.0416,97.1543,0,97.397,145.598,20.7279,122.669,84.9706,126.267,accident
50.2843,112.024,0,102.125,64.6274,102.267,18.7279,84.9706,116.326,accident
59.1127,47.0122,0,97.397,73.397,99.7401,28.9706,0,77.3553,accident
30.9706,81.9828,0,101.054,56.3259,74.468,41.6985,0,51.0122,accident
99.6985,101.924,0,97.397,38.8701,92.6102,30.3848,0,165.966,accident
91.1543,93.0538,0,89.7401,26.3848,112.752,89.6985,84.9706,75.8406,accident
15.3137,99.196,0,0,69.8406,78.7696,26.7279,0,0,accident
108.569,30.7279,0,0,0,0,0,0,0,accident
16.4853,112.853,0,29.6569,0,98.8112,0,0,0,accident
88.669,106.811,12.4853,0,26.7279,108.267,0,0,93.598,accident
87.598,104.61,0,105.64,47.9411,91.2965,0,70.0833,97.1543,accident
84.8112,4,77.1543,93.2548,99.6985,0,97.0122,149.397,114.811,accident
53.4558,70.0833,0,90.7696,87.4558,76.3259,102.184,87.4558,92.5685,accident
103.113,63.4558,0,87.4558,0,93.0122,88.5269,95.4975,85.9828,accident
0,123.338,0,90.7696,147.113,87.598,87.397,104.77,30.0416,accident
0,162.368,51.9411,94.0833,46.1421,89.9411,114.326,87.4558,98.669,accident
0,141.924,0,98.8112,134.971,102.51,148.083,81.6569,105.154,accident
0,139.782,0,79.2548,22.9706,111.338,101.296,15.6569,9.65685,accident
0,126.652,12.4853,94.0833,63.799,108.752,69.598,0,4.82843,accident
68.7696,120.995,13.8995,94.0833,0,102.368,59.1127,84.9706,73.0122,accident
0,137.196,69.9828,97.397,0,62.5685,73.7401,0,0,accident
115.397,107.439,0,0,40.5269,83.8822,90.3848,22.7279,175.723,accident
164.51,75.2965,0,0,67.1543,63.4975,0,0,91.5391,accident
50.6274,106.61,0,100.468,30.0416,101.681,34.0416,86.6274,159.782,accident
55.4558,123.397,0,99.6396,81.4558,79.6396,34.0416,36.3848,149.539,accident
66.1838,134.51,0,102.953,123.698,90.8112,0,85.799,148.024,accident
0,130.894,15.8995,99.8822,0,112.752,28.3848,0,120.468,accident
22.9706,104.61,0,103.196,30.8701,98.8528,18.1421,86.6274,195.64,accident
4.82843,123.439,0,107.924,60.6274,86.9533,76.3848,84.1421,81.0122,accident
0,150.853,0,94.9117,60.1421,84.1249,64.4264,83.3137,94.5685,accident
107.64,108.752,10.4853,91.598,0,109.095,84.1421,90.7696,72.5269,accident
168.409,113.338,4.82843,95.7401,101.456,114.267,93.2548,82.4853,84.1421,accident
94.3259,94.0833,54.7696,89.1127,81.6569,93.8406,113.154,82.5269,135.012,accident
172.652,116.409,7.65685,93.8406,84.1421,99.0538,102.326,91.598,152.669,accident
