%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_17 NUMERIC
@ATTRIBUTE  Mass_Center_X_18 NUMERIC
@ATTRIBUTE  Mass_Center_X_19 NUMERIC
@ATTRIBUTE  Mass_Center_X_20 NUMERIC
@ATTRIBUTE  Mass_Center_X_21 NUMERIC
@ATTRIBUTE  Mass_Center_X_22 NUMERIC
@ATTRIBUTE  Mass_Center_X_23 NUMERIC
@ATTRIBUTE  Mass_Center_X_24 NUMERIC
@ATTRIBUTE  Mass_Center_X_25 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_17 NUMERIC
@ATTRIBUTE  Mass_Center_Y_18 NUMERIC
@ATTRIBUTE  Mass_Center_Y_19 NUMERIC
@ATTRIBUTE  Mass_Center_Y_20 NUMERIC
@ATTRIBUTE  Mass_Center_Y_21 NUMERIC
@ATTRIBUTE  Mass_Center_Y_22 NUMERIC
@ATTRIBUTE  Mass_Center_Y_23 NUMERIC
@ATTRIBUTE  Mass_Center_Y_24 NUMERIC
@ATTRIBUTE  Mass_Center_Y_25 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0,14.6643,0,7.77778,3.90696,0,10.5397,1.75,23.3333,4.94444,0,0,16.1249,8.93072,7.77778,3.19091,0,12.8887,4.45,0,0,7.08889,7.36049,17.3737,2.5,0,8.80376,0,1.77778,8.53626,0,11.8175,3,7.66667,4.45397,0,0,11.1268,16.5654,0.833333,1.47727,0,8.37304,21.8667,0,0,3.08889,15.6691,9.16373,21.6667,accident
20.6875,22.75,0,7,3.93981,0,4.75,0,20,5.08148,0,0,9.50623,13.2078,9.76042,2.08333,0,11.1191,14.6302,0,6.25,0,7.77546,23,4.75,13.9583,17.5,0,4.33333,12.713,0,1.5,0,2.88889,2.32593,0,0,13.1806,12.9286,5.09375,3.83333,0,15.0009,13.4275,0,1,0,12.2307,4,15.9167,accident
0,22.625,0,0,10.49,23.5,1.25,21.5,2,5.45833,0,2.75,12.725,15.75,0,6.26998,0,8.7803,2.125,0,0,0,12.4982,12.7255,0,0,15.375,0,0,11.72,9.5,9.75,15,3.5,11.625,0,6.5,4.49583,3,0,8.68846,0,20.9242,7.75,0,0,0,18.6595,9.4951,0,accident
0,12.4755,0,7.22222,5.09587,21.35,4,6.33333,15.4792,2.61111,0,10,15.231,13.3439,11.1709,0,0,8.65693,2,0,0,8.125,11.7624,9.58182,0,0,13.5131,0,4.86111,12.094,7.45,20,11.5,7.83333,4.33333,0,5.75,16.2558,19.8466,5.25142,0,0,18.9946,23,0,0,4.25,9.3857,9.51364,0,accident
0,13.5219,0,0,8.55926,0,0,0,22.5,3.97778,0,6.25,17,14.6425,11.1222,1.4127,0,9.70261,6.47923,0,0,3.5,5.93148,19.4583,2.75,0,14.8538,0,0,10.2328,0,0,0,19,16.0778,0,2.5,14.1667,13.0366,2.02778,2.12698,0,15.1991,18.4106,0,0,7.75,3.4162,5.5,16.125,accident
0,0,0,0,0,19.9942,5.2556,0,0,13.7222,0,17.6661,16.6875,0,0,0,0,0,0,0,0,0,23,6.83889,0,0,0,0,0,0,6.68975,19.7444,0,0,14.1667,0,11.1267,16,0,0,0,0,0,0,0,0,0,2.5,14.4311,0,accident
0,21.5,0,0,0,13.3545,2.26667,0,0,0,0,10.4556,4.3125,8.66667,0,0,0,0,0,0,0,12.7619,12.7492,2.5,0,0,15.3333,0,0,0,11.8068,22.7333,0,0,0,0,13.035,20.5625,6.5,0,0,0,0,0,0,0,11.619,13.4918,22,0,accident
0,10.3333,20.7593,3.49242,0,15.3735,1.77778,10.45,0,0,0,12.866,7.95,3.80952,0,0,0,0,0,0,0,13.9375,12.9156,3,0,0,9.73333,20.2926,6,0,10.946,22.5556,15.9167,0,0,0,15.2451,19.35,5.2381,0,0,0,0,0,0,0,12.5568,4.96889,20.7857,0,accident
0,0,0,4.76852,2.75,17.4333,3,12.1263,0,10.3143,0,12.5291,10.3046,0,0,0,0,0,0,0,0,14.8625,16.5,4.7399,0,0,0,0,7.32963,11,11.0576,22.3333,12.7043,0,13.7403,0,9.75439,16.977,0,0,0,0,0,0,0,0,14.525,8.2619,18.3131,0,accident
0,10.25,0,0,2.83333,16.8764,2.26667,8.6859,0,0,0,11.2356,13.5621,0,0,9.5,0,13.5,0,0,0,12.2746,11.25,4.42857,0,0,8.875,0,0,11.3333,11.3657,22.7333,7.78632,0,0,0,11.6322,14.1373,0,0,2.08333,0,3,0,0,0,11.843,2.16667,14.8214,0,accident
0,0,0,12.1667,0,15.8889,2,20.5088,3.25926,12.0556,7.16667,10.6278,15.1806,6.86243,0,0,0,11.3219,3.8125,0,0,0,13.7901,7.18013,0,0,0,0,11.6833,0,10.8,14.5,13.9167,5.25926,9.30556,13.4048,17.2333,9.78054,5.78836,0,0,0,6.34473,17.3125,0,0,0,14.1358,7.49679,0,accident
0,17.8148,15.2778,0,0,13.5003,1.66667,5.31667,7.88889,6.95556,7.88889,10.8392,3.25641,5.63636,7,4,0,21.7333,0,0,22.1667,9.18039,8.67667,3.25926,0,0,18.5,11.0476,0,0,11.6097,23.3333,6.16667,2.88889,10.8556,0.444444,12.1985,22.2051,3.87121,0.75,1.5,0,1.66667,0,0,20,9.31176,7.91674,21.5185,0,accident
0,17.6947,16.3222,23.5,0,22.7333,10.1695,7,18.4667,8.65714,14.7451,19.8542,3.60317,6.33048,18.75,11,0,0,0,0,23,13.1667,19.4583,11.0762,0,0,15.238,12.2056,20,0,2.26667,12.5144,6,13.4,12.9095,17.0588,12.3958,15.4444,15.5114,12.25,4.34722,0,0,0,0,22.5,10.7407,4.125,15.9996,0,accident
0,0,0,5.83333,0,7.67857,0,20.5379,1.77778,4.6875,18.3733,2,11.6093,13.8504,0,4.6369,0,5.88095,0,0,0,19.4773,12.1917,2,0,0,0,0,6.7,0,14.2857,0,13.1212,1.77778,12.9167,10.0217,22.5,11.8852,16.906,0,2.67262,0,7.63095,0,0,0,16,12.8111,21,0,accident
0,18.8693,19.994,3.75,5.12222,2.15,0,9.3415,0,5.50397,13.75,0,3.73889,4.53704,7,3.33333,7.4127,3.14815,0,0,0,9.22222,9.82634,0,0,0,18.4575,18.244,5.5,8.18889,8.5,0,11.9673,0,10.4514,12.0048,0,17.6778,1.64815,0.444444,0.5,1.01587,5.55556,0,0,0,14.8056,15.0853,0,0,accident
0,11,21.6667,4.25,0,0,6,10.4317,0,11.75,0,12.7333,8.95414,1.27778,0,12.1111,0,15.6742,1.95,0,0,14.5238,17.0833,5,0,0,10.5,20,6.80556,0,0,19.8333,13.1417,0,20.6667,0,3.06667,7.47795,6.22222,0,1.55556,0,13.2418,8.3,0,0,12.7976,11.7222,4.5,0,accident
0,20.75,18.8896,1.5,0,0,10.6385,6.25714,0,13.5,0,0,14.944,0.666667,0,5.35417,0,16.8392,8.37619,0,0,8.52536,10.2778,20.8722,3,0,17.25,12.6104,2,0,0,13.2953,10.9286,0,21.3333,0,0,4.27754,6.5,0,1.83333,0,13.7343,15.3024,0,0,13.7554,8.33333,4.64444,17.5,accident
0,22.25,23,4.28571,6.25,0,4.5,15.4912,0,10.4167,0,0,9.19312,5.25926,0,3.11111,13.5,8.41022,5.25,0,0,13,0,16.5,0,0,16.75,22,12,2.5,0,16.6,14.4671,0,13.8333,0,0,3.93545,8.51852,0,0.844444,16.5,6.69444,17.75,0,0,19.25,0,11.9722,0,accident
0,17.3737,17,0,0,21.2424,8.76957,7.32778,0,7.125,0,0,8.55455,2.49735,0,2.5,0,15.819,0,0,23.5,6.1881,2.5,12.2101,0,0,15.1383,17.5,0,0,3.75758,14.7929,11.4444,0,10.6667,0,0,6.94848,12.6296,0,0.888889,0,10.4476,0,0,21.5,5.25238,7.25,16.7246,0,accident
0,0,21.5,5.87821,7.38889,19.0303,0,11.75,0,10.8,0,11.5386,11.3167,3,0,2.5,0,16.7917,0,0,0,18.0862,9.27355,9.46591,0,0,0,18.8,8.16667,7.16667,9.87879,0,12.75,0,5.63333,0,11.5693,20.4611,2.75,0,0.833333,0,4.41667,0,0,0,16.5048,12.5806,11.9129,0,accident
0,0,0,0,0,0,0,0,0,0,1.11111,3.75,20.1793,16.2436,0,6,4.07143,10.1944,3.58333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52778,15.5,10.5152,5.92308,0,0.75,8.04762,13.2778,5.75,0,0,0,0,0,0,accident
0,0,0,0,0,18.8929,0,7.26667,0,0,0,8.1,13.5247,4.9,0,8,0,16.4074,0,0,0,0,0,0,0,0,0,0,0,0,14.1339,0,19.6667,0,0,0,12.5818,9.32407,13.2,0,6.5,0,13.2407,0,0,0,0,0,0,0,accident
