%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
39.625,22.4938,7.90531,3.33333,7.21762,23.6786,4.43627,8.96465,31.1728,accident
21.8427,15.7037,11.6881,0,9.27037,25.5,11.3963,4.05889,29.3421,accident
0,23.0476,4.36111,14,14.5702,17,19.2,15.1871,15.5948,accident
35.3273,23.9436,2.5,0,9.73264,18.0226,19.1151,4.0787,26.7422,accident
35.9107,22.8476,10.5375,0,13.4648,31,14.6425,4.33333,27.7026,accident
0,30.5625,0,0,21.9583,13.3971,0,24.0833,38.3009,accident
39.1288,17.0863,0,32.35,28.5812,14.0445,8.66667,0,28.559,accident
38.75,19.6131,0,23.6042,25.6667,12.7968,7.33333,22,23.6282,accident
39.2222,21.7508,0,27.4521,18,14.3406,4.56341,9.65714,33.6547,accident
40,16.0181,0,0,13.3333,12.6351,3,16,29.3228,accident
0,29.091,3.33333,33.0722,28.2639,15,12.4614,20.8356,19.1225,accident
34.4464,13.236,0,16.5913,26.618,12.824,4.73194,11.0583,29.4932,accident
37.176,12.357,4.33333,19.3807,4.63889,22.8395,5.32458,9.73968,22.7381,accident
0,18.5014,0,31.6843,21.9076,5.16667,15.037,9.69526,18.3401,accident
38.3452,12.1342,0,23.1783,24.44,3.25926,4.53216,6.06138,9.10701,accident
36.75,17.3285,0,18.3742,15.1667,15.7581,2.2963,6.4127,36.4578,accident
35.9891,6.82285,0,22.9564,27.9643,20.5357,2.5,0,30.5778,accident
38.95,12.6238,0,23.9762,32.5113,12.2042,2.75,0,21.3597,accident
29,15.9172,0,18.1132,37.0196,13.6652,3.65873,0,35.2928,accident
29.3551,13.3826,0,12.0302,38.4872,19.4637,4.97685,0,35.2778,accident
38.6667,17.8896,0,0,34.4207,6.03509,24.3333,0,0,accident
27.7778,10.0952,0,0,0,0,0,0,0,accident
40,17.1072,0,0,0,9,0,0,0,accident
28.8646,24.3594,2.44444,0,38.2381,15.1122,0,0,19.5208,accident
36.9167,13.4803,0,21.8687,26.2541,11.4716,0,11.6,17.5833,accident
30.2405,0,25.7619,5.16667,4.99111,0,17.9793,14.9907,28.109,accident
20.95,35.8485,0,8.7,7.62879,36.981,11.141,22.9071,18.4278,accident
34.6333,12.697,0,0,0,0,28.0838,22.8744,11.075,accident
0,24.2277,0,37.0194,4.08333,11.3333,36.8056,18.2357,4.12222,accident
0,26.9585,5.09091,34.5917,7.27778,8.16667,28.3349,28.1407,15.1462,accident
0,17.587,0,26.8481,24.119,15.9259,7.30409,11.6444,37.3799,accident
0,13.6697,0,32.2306,38.2833,20.8672,19.5583,23,40,accident
0,16.2437,3,18.1,0,22.2488,7.375,0,40.5,accident
36.7444,25.6905,2.7619,12.5,0,18,6.125,0,37,accident
0,24.5483,11.065,26.75,0,32,10.1753,0,0,accident
23.2407,11.3672,0,0,16.7555,11.837,5.33333,7.5,28.6704,accident
20.6839,11.9813,0,0,32.8341,8.00317,0,0,25.6645,accident
38.0417,15.2703,0,21.0347,19.0613,16.7187,3.87745,0,37.6465,accident
35.75,13.607,0,21.6564,31.6875,10.3224,5.2549,36.5,31.3594,accident
33.8667,13.0847,0,12.7757,11.5,10.7929,0,0,15.7688,accident
0,18.5791,2.86667,14.1929,0,22.3085,4.81482,0,30.4427,accident
39.25,8.51202,0,21.3269,37.6226,16.8367,2.63889,0,37.9204,accident
40.5,12.1417,0,24.1096,24.7487,13.2787,1.25,0,23.1087,accident
0,13.0562,0,24.6364,20.5883,14.4795,8.22576,12.3333,36.2872,accident
27.4806,18.6692,2.5,9.425,0,20.9107,19,13.7639,32.451,accident
32.8333,21.3468,2,12.4135,4.16667,25.2926,5.04386,5.86667,0,accident
28.2318,12.5758,12.4615,9.25,0,28.0196,8.86222,6.16944,13.9444,accident
35.0899,11.9592,2,13.5682,0,14.9762,24.8256,0,33.9395,accident
37.2571,21.7925,12.9118,22.2692,0,26.6667,8.59448,6.41667,23.5225,accident
33.4205,11.2259,0,11.25,15.5,23.7853,12.976,1.86111,37.4156,accident
0,18.0181,13.2407,35.675,0,0,21.75,32.7754,8.84444,accident
0,15.7811,5.99402,19.25,0,0,32.3,16.25,0,accident
0,16.904,1.61905,34.9401,11.5,0,9.04167,18,11.25,accident
40,22.8148,2.5,26.5611,0,0,17.3333,12.3333,22.4185,accident
19.25,20.1349,3.25,0,0,0,6.27778,1.26667,3.75,accident
0,18.0427,0,32.9041,17.4653,6.875,18.071,20.6361,13.9615,accident
39,17.7667,0,33.0333,2.97222,8.5,20.2512,16.4136,10.6486,accident
0,28.3522,0,31.1612,5.4391,10.75,22.7707,26.6733,12.1011,accident
40,10.1032,7.07143,30.2944,18,0,20.6077,25.2778,19.1176,accident
21.9046,19.6333,0,15.5208,7.33333,28.562,4.21429,25.5,9.03571,accident
33.8167,14.9667,14.5683,15.75,14.75,0,4.88194,17.5,34.4083,accident
0,13.9165,4.87879,16.25,8.25,15.8103,20.131,30.25,10.854,accident
25.25,23.5298,11.7404,6,0,32.7696,2.19444,18.4458,34.0011,accident
31.4,22.151,9.51282,18.5,7.875,24.032,7.41667,2.66667,15.0097,accident
33.375,19.8901,7.63333,17.8353,8.08333,26.8037,14.0352,8.5,24.4247,accident
34.9722,12.9027,9.95168,13.75,0,11.75,6.525,4.95556,32.0699,accident
37.3444,9.33179,12.6667,19.8333,11.5,0,30.9852,16.5,15.8805,accident
16.35,14.0646,15.9431,28.5833,0,0,22.6748,5.45833,16.0304,accident
27.3639,14.2667,14.5285,8.75,0,19,13.3016,15.0809,6.62611,accident
35.25,15.3466,8.2621,22.85,15.3611,7.16667,9.13761,10.9167,17.6225,accident
