%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
8.91667,25.5131,33.3418,37.5833,11.6108,12.75,17.2402,7.22955,26.0247,accident
12.3654,17.4764,21.0905,0,17.8624,3.75,26.937,13.1585,32.804,accident
0,20.6167,34.7222,19.25,9.98255,22.5,12.6,20.7267,16.357,accident
19.4045,28.7364,36.625,0,14.2966,24.2318,25.2738,14.1065,37.1695,accident
21.0952,23.5071,30.725,0,13.6847,36.75,30.989,6.86905,33.1991,accident
0,23.2861,0,0,18.875,17.4737,0,16.0833,9.21197,accident
37.0606,26.6288,0,9.5,5.56517,28.9345,24.5,0,8.59615,accident
36,26.646,0,24.0986,3.04167,26.7481,14.5833,17.5,7.08414,accident
40.2222,23.5394,0,22.2146,12,25.9528,4.52899,2.87013,6.80882,accident
39,19.4746,0,0,1.66667,25.405,1.65,19,13.6226,accident
0,26.9118,30.75,28.3333,16.3056,19.2143,12.4839,4.02667,16.1218,accident
31.625,32.8827,0,17.9429,7.04642,28.9476,13.5594,4.30833,7.55039,accident
24.6864,26.9579,39.5,16.1018,7,16.5041,21.2532,9.83016,6.45833,accident
0,21.1638,0,23.2475,11.7535,34.8333,32.3657,12.2424,16.2857,accident
34.1667,19.5707,0,20.8676,19.7172,37.8519,7.77193,7.26389,10.1831,accident
34.0833,30.6956,0,20.5967,9.05556,24.3879,3.07407,3.69841,10.5872,accident
30.1012,35.2116,0,19.2821,10.25,30.9973,5.16667,0,4.77778,accident
37.1,30.5143,0,21.419,8.72619,29.9273,11.1,0,8.70053,accident
17.9074,23.3617,0,19.7742,5.14216,27.0882,14.9683,0,8.61505,accident
24.2388,20.2761,0,14.9349,3.26282,24.1841,24.4954,0,10.3056,accident
11.5,28.1759,0,0,8.73029,20.5965,40.6667,0,0,accident
9.77778,11.3333,0,0,0,0,0,0,0,accident
8,25.896,0,0,0,7.13636,0,0,0,accident
26.9688,22.1094,39,0,3.33333,24.6569,0,0,1.75,accident
24,20.9978,0,19.596,12.4715,28.6171,0,14.5,16.125,accident
16.9737,0,22.2381,22.9444,12.1644,0,29.0766,19.3333,23.7753,accident
27.275,25.2424,0,17.8,12.0303,21.0378,15.5128,14.8631,9.51196,accident
15.9,28.1212,0,0,0,0,20.901,20.3678,20.5713,accident
0,20.8158,0,17.0167,12.4444,30.4444,24.4123,18.5431,5.78889,accident
0,17.0479,31.2909,21.9875,10.4444,3,28.9297,31.1556,24.637,accident
0,29.3205,0,22.6466,3.19048,22.6233,18.1041,12.8444,13.2479,accident
0,21.7999,0,30.6389,3.13333,23.4403,10.8333,12.7778,3,accident
0,28.7864,39.3333,35.4,0,20.9005,13.875,0,2,accident
24.9333,22.1347,38.381,35.5,0,20.9615,10.1667,0,5.74286,accident
0,22.7448,28.7374,31.25,0,11.7375,13.3597,0,0,accident
11.4074,28.8605,0,0,5.85481,26.9222,38.8889,4.75,15.797,accident
17.8685,30.1246,0,0,10.2233,32.9492,0,0,25.6319,accident
32.875,26.2853,0,23.0515,2.38725,26.7527,6.51961,0,8.75758,accident
36.25,19.6641,0,20.7512,19.1,28.7058,7.37255,8,13.2094,accident
29.0917,18.1116,0,22.7896,18.5,26.4417,0,0,6.10417,accident
0,22.916,38.1333,28.65,0,16.9055,4.81482,0,19.7205,accident
37.8333,17.8943,0,21.2747,5.29289,26.3633,2.98889,0,7.25,accident
40,23.2755,0,18.8765,3.9037,28.5633,2.75,0,3.68927,accident
0,28.4749,0,26.4965,4.05444,29.335,11.497,12.3333,14.4506,accident
19.4151,20.7665,39,15.475,0,19.21,19.75,23.3194,11.4336,accident
18.9798,22.4113,40.5,19.3045,7.66667,15.875,21.0819,5.78333,0,accident
15.2242,12.2121,33.5385,5.25,0,9.26274,28.4397,5.17222,13.1111,accident
13.2407,9.35351,39.5,14.0606,0,18.3571,21.7299,0,17.4099,accident
30.9429,21.4342,30.3897,22.8846,0,6.5,23.7469,10.5,24.2849,accident
16.5406,16.9699,0,21.5,4.5,15.7214,20.2467,6.93056,30.5974,accident
0,19.8097,4.31481,16.4125,0,0,29.8889,35.5602,21.8556,accident
0,17.67,6.77009,8,0,0,24.7667,14.8333,0,accident
0,19.3616,1.52381,14.1023,13.6667,0,14.4167,24,13.75,accident
37.5,9.76655,15.1667,21.7634,0,0,1.33333,28.8333,37.8296,accident
16.125,15.0759,23,0,0,0,9.5,5.13333,9.83333,accident
0,28.4562,0,29.7473,12.2222,31.4583,13.1943,8.48195,24.8737,accident
31.5,11.5833,0,10.4333,29.9444,26,18.881,17.3326,9.7803,accident
0,12.9607,0,23.7564,4.8641,20,27.183,21.6129,14.4826,accident
38.5,18.2698,30,18.6722,4.33333,0,31.4426,21.7639,22.6569,accident
25.3909,32.3481,0,16.8542,19.1389,29.8342,23.5952,19.4286,6.25,accident
16.075,22.5222,18.5762,20.25,4.5,0,18.7083,21.75,38.6167,accident
0,16.2612,37.3712,5,3.25,7.95285,39.3333,36.7083,30.5583,accident
6,15.3123,33.8733,5,0,8.93479,21.9931,16.7417,31.272,accident
25.6833,14.5,35.5,14.9167,8.08333,8.15425,21.1429,7,15.237,accident
28.25,17.3333,37,16.7698,15.1667,9.56174,22.8556,10,26.086,accident
25.2103,12.5539,13.1071,1,0,6,26.8167,3.48889,26.0804,accident
31.0222,11.3642,6.5,11.2083,39.6667,0,19.2815,12.0417,23.3427,accident
14.2417,19.7843,13.4472,7.58333,0,0,36.1434,2.75,21.1222,accident
24.1167,34.7667,13.4071,2.5,0,26.5,18.6349,15.6767,14.2852,accident
28.6534,18.9653,18.1573,13.3,17.8333,3.66667,11.1359,7.16667,17.45,accident
14.9274,29.6967,0,0,5.75439,22.0915,0,23.3333,8.26667,accident
23.7852,18.4521,39.3333,18.7196,0,12.7843,17.5714,0,33.6667,accident
23.338,24.274,0,14.8952,7.05,24.1061,26.5093,0,7.35104,accident
24.125,30.0097,0,12,10.1342,30.0686,0,24.6111,10.257,accident
32.5,18.8343,38,21.3811,22.1667,18.9525,10.7778,11.0278,13.5641,accident
34.5536,31.5388,0,21.0403,7.83333,19.4249,10.25,6.16667,6.13158,accident
34.1596,34.1498,0,16.1341,10.1278,25.955,9.25,4.06286,10.2656,accident
0,27.8117,0,14.2,4.42857,26.5886,2.5,0,5.71316,accident
28.5,28.8282,0,23.3955,3.04444,24.6224,19.9738,0,6.60185,accident
12.213,31.9689,0,22.3298,5.22327,29.3828,5.625,0,12.788,accident
0,22.128,0,17.9444,14.5417,27.3399,14.1667,21.1235,16.5362,accident
28.8389,27.5549,0,20.1404,5.98328,27.1001,19.7778,7.55556,7.45432,accident
0,16.2496,0,19.8356,4.34804,25.7476,23.4551,36.9444,4.65527,accident
34.2593,14.5568,0,21.8947,3.71111,24.266,28,0,20.503,accident
23.1649,16.8218,0,17.4572,6.98485,28.6406,0,37.8333,20.3559,accident
14.4815,24.2234,0,19,13.8642,21.3407,4.19048,11.5083,19.2833,accident
0,12.8876,36,39,14.5833,24,12.5667,19.7192,25.6296,accident
0,13.6659,19.8333,33.6667,15.6667,0,21.2222,20.1688,37.3571,accident
0,10.4983,0,24.3095,17.625,35.75,19.8864,17.2528,11.606,accident
34,15.0725,39.7333,20.2944,13.3426,21.3413,16.5458,17.1247,4.25641,accident
0,10.7078,29.5833,22.1581,0,20.9583,28.0747,5.38889,16.0507,accident
14.5,8.7366,0,0,3.375,8.5,0,10.9213,13.0741,accident
