%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  White_Pixel_0 NUMERIC
@ATTRIBUTE  White_Pixel_1 NUMERIC
@ATTRIBUTE  White_Pixel_2 NUMERIC
@ATTRIBUTE  White_Pixel_3 NUMERIC
@ATTRIBUTE  White_Pixel_4 NUMERIC
@ATTRIBUTE  White_Pixel_5 NUMERIC
@ATTRIBUTE  White_Pixel_6 NUMERIC
@ATTRIBUTE  White_Pixel_7 NUMERIC
@ATTRIBUTE  White_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
81,-81,25.5,425,-425,31.5,108,-108,17,57,-57,1,752,-752,36,265,-265,30,236,-236,12.5,467,-467,20,288,-288,21.5,accident
232,-232,19.5,549,-549,35,170,-170,17.5,230,-230,1,635,-635,246,216,-216,10,299,-299,7.5,305,-305,11.5,273,-273,15.5,accident
88,-88,3,344,-344,29,156,-156,15,262,-262,1,737,-737,18,276,-276,7.5,257,-257,11,471,-471,141.5,245,-245,7.5,accident
229,-229,21,502,-502,32.5,92,-92,11,375,-375,2,900,-900,35,293,-293,28,568,-568,18,211,-211,8.5,243,-243,11.5,accident
220,-220,26,645,-645,32.5,200,-200,31,283,-283,6,679,-679,19,282,-282,6,421,-421,17.5,645,-645,22.5,420,-420,18.5,accident
61,-61,0,197,-197,20,38,-38,5,98,-98,0,159,-159,2,205,-205,63,265,-265,1.5,203,-203,24.5,172,-172,9,accident
54,-54,4,197,-197,25.5,38,-38,0,97,-97,7,106,-106,6.5,126,-126,20.5,161,-161,10,147,-147,0,124,-124,9.5,accident
38,-38,4,241,-241,25,1,-1,0,124,-124,13,111,-111,4.5,127,-127,19.5,179,-179,21,127,-127,3,152,-152,16,accident
18,-18,2,281,-281,56,75,-75,0,136,-136,17,138,-138,3,182,-182,26.5,241,-241,25,184,-184,41.5,166,-166,11,accident
11,-11,1,262,-262,28,2,-2,0,109,-109,17.5,105,-105,2,148,-148,18.5,181,-181,9.5,174,-174,41,166,-166,25.5,accident
79,-79,9,211,-211,28,65,-65,0,127,-127,18,113,-113,2,131,-131,23,59,-59,8.5,70,-70,15.5,219,-219,18,accident
115,-115,9.5,112,-112,19.5,24,-24,0,133,-133,9,86,-86,11,126,-126,9.5,132,-132,6.5,122,-122,0,92,-92,10,accident
41,-41,3,147,-147,19,0,0,0,90,-90,12,107,-107,9.5,85,-85,15,134,-134,11,118,-118,0,143,-143,31,accident
94,-94,1,141,-141,22,44,-44,0,99,-99,12,52,-52,5.5,106,-106,18,101,-101,7,119,-119,0,134,-134,26.5,accident
120,-120,11.5,244,-244,25.5,3,-3,0,108,-108,13,58,-58,0,192,-192,29,139,-139,13,174,-174,14,130,-130,42.5,accident
60,-60,1,55,-55,8,2,-2,0,63,-63,2,13,-13,0.5,63,-63,4,39,-39,0,32,-32,0,29,-29,3.5,accident
30,-30,4,43,-43,4,82,-82,0,32,-32,1,31,-31,0.5,33,-33,0,31,-31,0,37,-37,1,71,-71,0.5,accident
41,-41,1,68,-68,9,12,-12,1,37,-37,4,35,-35,0,65,-65,7.5,41,-41,0,53,-53,0,51,-51,0,accident
73,-73,3.5,89,-89,8.5,3,-3,0,43,-43,5.5,27,-27,0,84,-84,11,45,-45,0,51,-51,5.5,36,-36,0.5,accident
49,-49,2,114,-114,13.5,65,-65,0,92,-92,8.5,42,-42,2,84,-84,13,79,-79,3.5,50,-50,7,82,-82,9,accident
78,-78,8.5,121,-121,2,101,-101,13.5,104,-104,9,87,-87,4,95,-95,1,152,-152,6.5,173,-173,1.5,126,-126,10.5,accident
85,-85,7.5,189,-189,18,53,-53,0,108,-108,4,98,-98,1,126,-126,14,184,-184,5.5,242,-242,4.5,128,-128,15,accident
82,-82,3.5,117,-117,11,57,-57,0,123,-123,0,80,-80,0,112,-112,0,134,-134,5.5,123,-123,39,122,-122,14.5,accident
44,-44,5,159,-159,13.5,50,-50,5,160,-160,7,91,-91,2,147,-147,7,174,-174,17.5,143,-143,11.5,81,-81,13,accident
21,-21,1,185,-185,29,95,-95,10.5,143,-143,11,102,-102,2,133,-133,2,188,-188,12.5,165,-165,11.5,158,-158,9.5,accident
1,-1,0,518,-518,40.5,4,-4,0.5,217,-217,22.5,197,-197,1,311,-311,44.5,402,-402,36,321,-321,36.5,379,-379,36,accident
56,-56,0,463,-463,34,5,-5,0,123,-123,13,189,-189,7,316,-316,45.5,367,-367,45.5,278,-278,28,326,-326,15.5,accident
100,-100,0,403,-403,53.5,60,-60,9,219,-219,19,154,-154,1,318,-318,49.5,283,-283,29.5,244,-244,17,243,-243,3.5,accident
184,-184,16,397,-397,53,33,-33,4.5,230,-230,15,183,-183,1,308,-308,39,288,-288,11,281,-281,3.5,377,-377,20.5,accident
17,-17,1,437,-437,37,213,-213,32,242,-242,21,101,-101,1,226,-226,34,334,-334,60.5,63,-63,0,86,-86,0,accident
30,-30,0,230,-230,19.5,121,-121,0,81,-81,0,58,-58,4,124,-124,22,60,-60,0,32,-32,3,147,-147,34.5,accident
