%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

% Global features from the images :
@ATTRIBUTE  Black_Pixel_Global NUMERIC
@ATTRIBUTE  Airs_Global NUMERIC
@ATTRIBUTE  Length_Area_Global NUMERIC
@ATTRIBUTE  Mass_Center_X_Global NUMERIC
@ATTRIBUTE  Mass_Center_Y_Global NUMERIC
@ATTRIBUTE  Hough_Lines_Global NUMERIC
% Features from the images splited in 9 : 
@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person, police, road-block}

@DATA
0.0793608,0.0435633,0.0842898,0.405577,0.43788,43,0.0217742,0.0186828,0.43524,0.106631,0.114247,0.319489,0.432618,0.511001,0.0290323,0.00497312,0.147941,0.794156,0.0153226,0.0122312,0,0,0.202151,0.102419,0.177077,0.363457,0.0712366,0.0680108,0.563333,0.375978,0.0634409,0.033871,0.121797,0.798541,0.125538,0.104704,0.135545,0.252416,0.0774194,0.0133065,0.793343,0.336041,accident
0.128293,0.0319083,0.130806,0.373296,0.435516,35,0.0931353,0.058611,0.616501,0.199976,0.220393,0.17222,0.312574,0.351056,0.0682457,0.0158571,0.248921,0.536132,0.0923324,0.275592,0.326241,0.339623,0.254918,0.146527,0.153598,0.386011,0.0867122,0.00782818,0.625532,0.2,0.120032,0.0867122,0.534644,0.670032,0.122441,0.365516,0.141109,0.411463,0.109595,0.0114412,0.57765,0.478679,accident
0.0894786,0.26261,0.0975532,0.466337,0.474933,33,0.0251572,0.00114351,0.457547,0.363636,0.0983419,0.0135792,0.533752,0.401369,0.0445969,0.00371641,0.185706,0.788108,0.0748999,0.000714694,0.471698,0.931818,0.210692,0.0553173,0.494681,0.391688,0.0789022,0.00871927,0.516187,0.362217,0.0734706,0.00314465,0.262686,0.327393,0.134648,0.0100057,0.26573,0.273892,0.07004,0.0375929,0.59972,0.559147,accident
0.104331,0.195815,0.0843475,0.412252,0.505553,51,0.0619589,0.0151515,0.708248,0.46075,0.135823,0.0181277,0.462578,0.452682,0.0248918,0.00270563,0.106737,0.823261,0.101461,0.111472,0.272321,0.274621,0.243506,0.118506,0.168007,0.452565,0.0792749,0.0576299,0.549946,0.552118,0.15368,0.214286,0.399312,0.524664,0.0570887,0.0404491,0.0992842,0.280947,0.0657468,0.0298972,0.859127,0.572861,accident
0.107118,0.0314527,0.101271,0.391733,0.340452,44,0.0566135,0.0486361,0.737418,0.50189,0.16598,0.0216161,0.395002,0.470595,0.0514668,0.0347401,0.276571,0.738075,0.0728255,0.00617602,0.33908,0.322139,0.17473,0.0159547,0.274916,0.277555,0.0725682,0.00308801,0.781609,0.691542,0.108338,0.196732,0.275069,0.404335,0.16598,0.147967,0.11473,0.191183,0.10808,0.0380854,0.816377,0.54828,accident
0.143983,0.156998,0.185287,0.359659,0.34238,4,0.106996,0.026749,0.768519,0.592593,0.165981,0.0301783,0.12963,0.135802,0.138546,0.0336077,0.484278,0.675266,0.142661,0.00891632,0.315329,0.489712,0.119342,0.0624143,0.164609,0.216049,0.130316,0.00823045,0.290123,0.135802,0.208505,0.0294925,0.274799,0.530562,0.237311,0.127572,0.355967,0.355453,0.17284,0.0294925,0.6298,0.327702,accident
0.126543,0.126809,0.145319,0.538769,0.470187,8,0.0814176,0.0181992,0.483333,0.586207,0.181034,0.1159,0.410802,0.490038,0.0507663,0.0292146,0,0,0.103448,0.0162835,0.225694,0.482759,0.0938697,0.0181992,0.138889,0.396552,0.12069,0.0268199,0.661725,0.316053,0.176245,0.0215517,0.154101,0.467532,0.231801,0.117337,0.604001,0.48399,0.122605,0.0651341,0.437879,0.289394,accident
0.141473,0.135757,0.125366,0.496825,0.360012,6,0.120235,0.0439883,0.543939,0.396774,0.171554,0.0461877,0.532793,0.393573,0.0835777,0.00733138,0,0,0.180352,0.00733138,0,0,0.117302,0.0249267,0,0,0.164223,0.0124633,0,0,0.196481,0.0109971,0.290634,0.453568,0.180352,0.0469208,0.347125,0.607113,0.178886,0.0381232,0.441041,0.514598,accident
0.133603,0.0780702,0.128998,0.414996,0.430912,9,0.0551378,0.00313283,0.392857,0.407895,0.199248,0.130952,0.476916,0.456654,0.0626566,0.0056391,0.170635,0.437719,0.200501,0.12782,0.44983,0.351504,0.114035,0.0175439,0.0952381,0.269737,0.184211,0.0307018,0,0,0.218045,0.230576,0.558881,0.472673,0.179198,0.0350877,0.392188,0.385445,0.101504,0.0269424,0.385348,0.214119,accident
0.144601,0.192616,0.157394,0.481359,0.368464,6,0.0237557,0,0.903846,0.852941,0.209276,0.0582579,0.544234,0.452902,0.107466,0.0237557,0.211538,0.688235,0.161765,0.020362,0.583042,0.533757,0.115385,0.0243213,0.230769,0.0784314,0.150452,0.0294118,0.185897,0.0294118,0.21267,0.0220588,0.401584,0.717232,0.186652,0.256222,0.17447,0.159704,0.178733,0.0345023,0.591689,0.586551,accident
