@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 10'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_2_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Y_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Black_Pixel_0 numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_1_X_0 numeric
@attribute Airs_Contours_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Mass_Center_Y_0 numeric
@attribute Hough_Lines_Vertical_0 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Hough_Lines_DiagonalPos_0 numeric
@attribute Hough_Lines_DiagonalNeg_0 numeric
@attribute Airs_Center_X_1 numeric
@attribute Airs_Center_Y_1 numeric
@attribute Airs_Triangle_1_X_1 numeric
@attribute Airs_Triangle_1_Y_1 numeric
@attribute Mass_Center_X_1 numeric
@attribute Mass_Center_Y_1 numeric
@attribute Hough_Lines_Vertical_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Hough_Lines_DiagonalPos_1 numeric
@attribute Hough_Lines_DiagonalNeg_1 numeric
@attribute Hough_Circles_Radius_1 numeric
@attribute Airs_Center_X_2 numeric
@attribute Airs_Triangle_1_X_2 numeric
@attribute Airs_Triangle_1_Y_2 numeric
@attribute Mass_Center_X_2 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Hough_Lines_Vertical_2 numeric
@attribute Hough_Lines_Horizontal_2 numeric
@attribute Hough_Lines_DiagonalPos_2 numeric
@attribute Hough_Lines_DiagonalNeg_2 numeric
@attribute Hough_Lines_Nb_2 numeric
@attribute Hough_Circles_Radius_2 numeric
@attribute Black_Pixel_3 numeric
@attribute Airs_Center_X_3 numeric
@attribute Airs_Triangle_1_X_3 numeric
@attribute Airs_Triangle_1_Y_3 numeric
@attribute Mass_Center_X_3 numeric
@attribute Mass_Center_Y_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_Horizontal_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Hough_Circles_Radius_3 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
47.4474,64.1077,43.3561,0.463171,0.489779,63.8889,15.2778,8.33333,12.5,46.377,39.9574,23.3972,0,7.45825,72.8723,2.12766,1144.98,62.766,0.744922,0.482708,56.25,15.625,12.5,15.625,39.8936,58.9664,1.06383,-5.07903,0.278906,0.544343,20,0,0,80,27.7872,57.9787,-61.7021,22.835,0.707665,0.358469,73.1707,12.1951,7.31707,7.31707,41,20.8909,6.16564,40.4255,85.8535,-7.65783,0.543991,0.341359,23.0769,38.4615,23.0769,15.3846,38.8633,accident
49.6838,-17.3333,41.6705,0.404364,0.375124,78.3333,18.3333,0,3.33333,44.6667,51.7886,20.2846,1,17.2358,51.3333,-36,1278.97,82,0.577625,0.344266,54.5455,12.1212,18.1818,15.1515,42.6667,61.7192,1.33333,-56.514,0.290558,0.389571,35.7143,14.2857,0,50,28.5061,50.6667,97.3333,191.85,0.603791,0.415228,73.3333,3.33333,6.66667,16.6667,30,22.561,8.1626,43.3333,155.297,-11.3243,0.771222,0.703257,44.4444,33.3333,22.2222,0,38.4146,accident
48.1678,31.5951,48.2131,0.461954,0.469593,87.7551,0,6.12245,6.12245,52.4954,47.9765,18.7,1,6.375,68.75,36.4062,845.787,86.25,0.651683,0.481585,76.4706,0,23.5294,0,38.75,49.5,4.53085,-18.0527,0.154526,0.766614,76,4,0,20,19.5556,49.375,-8.68552,98.1479,0.586129,0.399041,88.4615,0,11.5385,0,26,21.8571,7.6375,46.25,114.938,115.265,0.40962,0.288694,66.6667,0,11.1111,22.2222,34.375,accident
47.2626,-5.09602,40.3206,0.34695,0.473214,70.3704,5.55556,11.1111,12.963,54.5748,44.8347,18.7884,1,12.3448,56.7273,5.74713,1453.1,70.8812,0.785864,0.545962,69.2308,0,30.7692,0,32.7586,60.5,1.14943,3.6,0.197457,0.539106,53.8462,0,0,46.1538,23,51.7241,32.6019,183,0.48292,0.514315,57.8947,5.26316,36.8421,0,38,12.3333,5.86207,48.8506,72.029,-23.6717,0.788689,0.41881,58.8235,17.6471,5.88235,17.6471,27,accident
49.4314,-7.1798,39.3627,0.384146,0.328166,71.9298,12.2807,7.01754,8.77193,50.8833,47.1101,20.7174,1,11.2111,55.5556,11.9088,1280.14,82.7778,0.829432,0.565709,79.4118,2.94118,17.6471,0,42.7778,49.5,1.11111,-5.54545,0.140664,0.477369,68,0,0,32,31.4,58.3333,-60,47.5714,0.598246,0.446706,66.6667,24.2424,3.0303,6.06061,33,33.5,7.56667,41.6667,1.11111,-11,0.550712,0.490166,16.6667,41.6667,25,16.6667,31,accident
46.2621,70.1724,98.0605,0.470543,0.600113,10.7143,25,32.1429,32.1429,53.1969,43.8691,36.9309,0,3.26882,0,0,0,78,0,0,16.6667,0,83.3333,0,33.3333,79.3444,-0.787149,-29.619,0.114467,0.480898,33.3333,0,0,66.6667,38.4793,49.3333,18.2373,82.7616,0.194815,0.923835,25,25,50,0,8,59.6774,9.31183,43.2608,-6.4127,170.664,0.456915,0.381457,25,50,0,25,58.0645,accident
45.5661,33.1361,39.5072,0.443675,0.615369,24,36,8,32,60.1201,45.6028,27.0567,0,10.058,66.3636,87.7686,364.093,78.1818,0.790869,0.438874,16.6667,0,50,33.3333,24.5455,133.545,26.7449,203.712,0.211206,0.682849,0,0,0,100,48.227,45.1223,43.5616,-23.0481,0.180606,0.743085,57.1429,28.5714,14.2857,0,7,31.9149,10.4836,49.0909,45.6566,-9.55686,0.691934,0.289766,0,50,16.6667,33.3333,31.9149,accident
46.7306,38.1648,72.001,0.318745,0.52738,36.8421,26.3158,21.0526,15.7895,56.9378,52.2807,28.8304,0,12.3636,66.3636,96.3636,406.299,81.8182,0.773042,0.399226,50,0,50,0,23.6364,130.864,65.5411,287.36,0.213636,0.633138,40,0,0,60,60.7407,48.1818,-15.0097,229.262,0.438567,0.513692,18.1818,36.3636,45.4545,0,11,51.1111,9.85859,46.2085,44.9923,-13.1408,0.679826,0.363451,0,37.5,0,62.5,13.3333,accident
44.7157,-7.30537,86.7679,0.390961,0.504096,27.2727,27.2727,18.1818,27.2727,57.0076,50.3233,25.431,0,8.67294,66.6667,40.867,440.992,89.3939,0.77337,0.490597,66.6667,0,33.3333,0,25.7576,96.6112,1.51515,15.8541,0.236111,0.584086,0,0,0,100,49.0148,46.9697,-20.1576,176.361,0.480173,0.30423,30.7692,30.7692,38.4615,0,13,28.4483,8.09822,46.9528,49.0349,-5.23933,0.468359,0.342838,22.2222,44.4444,0,33.3333,48.2759,accident
45.9089,42.5987,69.104,0.400231,0.585106,20,32,20,28,45.9934,49.5931,26.5871,0,10,70,41.3986,350.371,94.5455,0.574439,0.401742,33.3333,0,66.6667,0,26.3636,104.167,1.81818,-34.7222,0.234983,0.46576,20,0,0,80,48.9583,50,-18.7742,203.055,0.539773,0.530184,25,50,25,0,8,36.4583,11.4394,46.2377,61.1189,-42.4012,0.722502,0.368109,0,28.5714,14.2857,57.1429,40.9722,accident
