%1. Title : 
%2. Sources : 
%
%
%
@RELATION Imagette

% Global features from the images :
@ATTRIBUTE  Black_Pixel_Global NUMERIC
@ATTRIBUTE  Airs_Center_X_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Center_Y_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Radius_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Triangle_1_X_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Triangle_1_Y_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Triangle_2_X_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Triangle_2_Y_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Triangle_3_X_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Triangle_3_Y_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Contours_GLOBAL NUMERIC
@ATTRIBUTE  Airs_Length_Contours_GLOBAL NUMERIC
@ATTRIBUTE  Harris_Corners_X_GLOBAL NUMERIC
@ATTRIBUTE  Harris_Corners_Y_GLOBAL NUMERIC
@ATTRIBUTE  Mass_Center_X_Global NUMERIC
@ATTRIBUTE  Mass_Center_Y_Global NUMERIC
@ATTRIBUTE  Hough_Lines_Vertical_Global NUMERIC
@ATTRIBUTE  Hough_Lines_Horizontal_Global NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalPos_Global NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalNeg_Global NUMERIC
@ATTRIBUTE  Hough_Lines_Nb_Global NUMERIC
@ATTRIBUTE  Hough_Circles_X_Global NUMERIC
@ATTRIBUTE  Hough_Circles_Y_Global NUMERIC
@ATTRIBUTE  Hough_Circles_Radius_Global NUMERIC
@ATTRIBUTE  Hough_Circles_Nb_Global NUMERIC
@ATTRIBUTE  Rows_Or_Cols_Global NUMERIC
% Features from the images splited in 4 : 
@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Airs_Center_X_0 NUMERIC
@ATTRIBUTE  Airs_Center_Y_0 NUMERIC
@ATTRIBUTE  Airs_Radius_0 NUMERIC
@ATTRIBUTE  Airs_Triangle_1_X_0 NUMERIC
@ATTRIBUTE  Airs_Triangle_1_Y_0 NUMERIC
@ATTRIBUTE  Airs_Triangle_2_X_0 NUMERIC
@ATTRIBUTE  Airs_Triangle_2_Y_0 NUMERIC
@ATTRIBUTE  Airs_Triangle_3_X_0 NUMERIC
@ATTRIBUTE  Airs_Triangle_3_Y_0 NUMERIC
@ATTRIBUTE  Airs_Contours_0 NUMERIC
@ATTRIBUTE  Airs_Length_Contours_0 NUMERIC
@ATTRIBUTE  Harris_Corners_X_0 NUMERIC
@ATTRIBUTE  Harris_Corners_Y_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Hough_Lines_Vertical_0 NUMERIC
@ATTRIBUTE  Hough_Lines_Horizontal_0 NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalPos_0 NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalNeg_0 NUMERIC
@ATTRIBUTE  Hough_Lines_Nb_0 NUMERIC
@ATTRIBUTE  Hough_Circles_X_0 NUMERIC
@ATTRIBUTE  Hough_Circles_Y_0 NUMERIC
@ATTRIBUTE  Hough_Circles_Radius_0 NUMERIC
@ATTRIBUTE  Hough_Circles_Nb_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Airs_Center_X_1 NUMERIC
@ATTRIBUTE  Airs_Center_Y_1 NUMERIC
@ATTRIBUTE  Airs_Radius_1 NUMERIC
@ATTRIBUTE  Airs_Triangle_1_X_1 NUMERIC
@ATTRIBUTE  Airs_Triangle_1_Y_1 NUMERIC
@ATTRIBUTE  Airs_Triangle_2_X_1 NUMERIC
@ATTRIBUTE  Airs_Triangle_2_Y_1 NUMERIC
@ATTRIBUTE  Airs_Triangle_3_X_1 NUMERIC
@ATTRIBUTE  Airs_Triangle_3_Y_1 NUMERIC
@ATTRIBUTE  Airs_Contours_1 NUMERIC
@ATTRIBUTE  Airs_Length_Contours_1 NUMERIC
@ATTRIBUTE  Harris_Corners_X_1 NUMERIC
@ATTRIBUTE  Harris_Corners_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Hough_Lines_Vertical_1 NUMERIC
@ATTRIBUTE  Hough_Lines_Horizontal_1 NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalPos_1 NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalNeg_1 NUMERIC
@ATTRIBUTE  Hough_Lines_Nb_1 NUMERIC
@ATTRIBUTE  Hough_Circles_X_1 NUMERIC
@ATTRIBUTE  Hough_Circles_Y_1 NUMERIC
@ATTRIBUTE  Hough_Circles_Radius_1 NUMERIC
@ATTRIBUTE  Hough_Circles_Nb_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Airs_Center_X_2 NUMERIC
@ATTRIBUTE  Airs_Center_Y_2 NUMERIC
@ATTRIBUTE  Airs_Radius_2 NUMERIC
@ATTRIBUTE  Airs_Triangle_1_X_2 NUMERIC
@ATTRIBUTE  Airs_Triangle_1_Y_2 NUMERIC
@ATTRIBUTE  Airs_Triangle_2_X_2 NUMERIC
@ATTRIBUTE  Airs_Triangle_2_Y_2 NUMERIC
@ATTRIBUTE  Airs_Triangle_3_X_2 NUMERIC
@ATTRIBUTE  Airs_Triangle_3_Y_2 NUMERIC
@ATTRIBUTE  Airs_Contours_2 NUMERIC
@ATTRIBUTE  Airs_Length_Contours_2 NUMERIC
@ATTRIBUTE  Harris_Corners_X_2 NUMERIC
@ATTRIBUTE  Harris_Corners_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Hough_Lines_Vertical_2 NUMERIC
@ATTRIBUTE  Hough_Lines_Horizontal_2 NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalPos_2 NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalNeg_2 NUMERIC
@ATTRIBUTE  Hough_Lines_Nb_2 NUMERIC
@ATTRIBUTE  Hough_Circles_X_2 NUMERIC
@ATTRIBUTE  Hough_Circles_Y_2 NUMERIC
@ATTRIBUTE  Hough_Circles_Radius_2 NUMERIC
@ATTRIBUTE  Hough_Circles_Nb_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Airs_Center_X_3 NUMERIC
@ATTRIBUTE  Airs_Center_Y_3 NUMERIC
@ATTRIBUTE  Airs_Radius_3 NUMERIC
@ATTRIBUTE  Airs_Triangle_1_X_3 NUMERIC
@ATTRIBUTE  Airs_Triangle_1_Y_3 NUMERIC
@ATTRIBUTE  Airs_Triangle_2_X_3 NUMERIC
@ATTRIBUTE  Airs_Triangle_2_Y_3 NUMERIC
@ATTRIBUTE  Airs_Triangle_3_X_3 NUMERIC
@ATTRIBUTE  Airs_Triangle_3_Y_3 NUMERIC
@ATTRIBUTE  Airs_Contours_3 NUMERIC
@ATTRIBUTE  Airs_Length_Contours_3 NUMERIC
@ATTRIBUTE  Harris_Corners_X_3 NUMERIC
@ATTRIBUTE  Harris_Corners_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Hough_Lines_Vertical_3 NUMERIC
@ATTRIBUTE  Hough_Lines_Horizontal_3 NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalPos_3 NUMERIC
@ATTRIBUTE  Hough_Lines_DiagonalNeg_3 NUMERIC
@ATTRIBUTE  Hough_Lines_Nb_3 NUMERIC
@ATTRIBUTE  Hough_Circles_X_3 NUMERIC
@ATTRIBUTE  Hough_Circles_Y_3 NUMERIC
@ATTRIBUTE  Hough_Circles_Radius_3 NUMERIC
@ATTRIBUTE  Hough_Circles_Nb_3 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person, police, road-block}

@DATA
8.09025,47.4474,28.7832,110.449,120.522,48.5935,64.1077,48.5935,64.1077,48.5935,3543.6,3525.5,43.3561,43.3561,0.463171,0.489779,63.8889,15.2778,8.33333,12.5,72,46.377,39.9574,23.3972,106,0,7.45825,72.8723,53.1853,51.3685,2.12766,25.4365,2.26347,25.4365,2.26347,25.4365,1144.98,922.5,62.766,62.766,0.744922,0.482708,56.25,15.625,12.5,15.625,32,46.0993,53.0466,45.5197,12,5.30771,39.8936,58.9664,55.7748,1.06383,-5.07903,1.13173,-5.07903,1.13173,-5.07903,566.523,377.5,2.12766,2.12766,0.278906,0.544343,20,0,0,80,10,57.5588,50.0283,27.7872,19,13.5896,57.9787,50.2948,58.3793,-61.7021,22.835,-65.6406,22.835,-65.6406,22.835,1361.49,2901,83.5106,83.5106,0.707665,0.358469,73.1707,12.1951,7.31707,7.31707,41,61.3982,47.3118,20.8909,7,6.16564,40.4255,50.2948,58.0398,85.8535,-7.65783,91.3335,-7.65783,91.3335,-7.65783,802.806,1121,0.531915,0.531915,0.543991,0.341359,23.0769,38.4615,23.0769,15.3846,13,54.1033,53.4562,38.8633,7,accident
12.9512,49.6838,30.6059,92.6614,-26,58.0012,-17.3333,58.0012,-17.3333,58.0012,1231.76,17692.5,41.6705,41.6705,0.404364,0.375124,78.3333,18.3333,0,3.33333,60,44.6667,51.7886,20.2846,30,1,17.2358,51.3333,63.95,52.1067,-36,118.977,-48,118.977,-48,118.977,1278.97,1345.5,82,82,0.577625,0.344266,54.5455,12.1212,18.1818,15.1515,33,85.3333,58.5366,8.53659,2,9.31707,42.6667,61.7192,50.9121,1.33333,-56.514,1.77778,-56.514,1.77778,-56.514,706.162,15.5,10.6667,10.6667,0.290558,0.389571,35.7143,14.2857,0,50,14,53.3333,57.3171,28.5061,8,17.6423,50.6667,58.0012,53.2122,97.3333,191.85,129.778,191.85,129.778,191.85,1357.26,493,84,84,0.603791,0.415228,73.3333,3.33333,6.66667,16.6667,30,69.3333,43.9024,22.561,4,8.1626,43.3333,58.7448,51.2367,155.297,-11.3243,207.063,-11.3243,207.063,-11.3243,626.459,92,0.666667,0.666667,0.771222,0.703257,44.4444,33.3333,22.2222,0,9,48,53.6585,38.4146,2,accident
8.90683,48.1678,28.4683,116.395,50.868,-12.064,31.5951,-12.064,31.5951,-12.064,3624.09,6371.5,48.2131,48.2131,0.461954,0.469593,87.7551,0,6.12245,6.12245,49,52.4954,47.9765,18.7,85,1,6.375,68.75,49.5,55.2876,36.4062,98,45.5078,98,45.5078,98,845.787,190.5,86.25,86.25,0.651683,0.481585,76.4706,0,23.5294,0,17,40,40,27.1667,6,8.7125,38.75,49.5,57.6823,4.53085,-18.0527,5.66356,-18.0527,5.66356,-18.0527,847.201,34.5,20,20,0.154526,0.766614,76,4,0,20,25,48.3333,39.5556,19.5556,9,13.3875,49.375,49.5,61.9072,-8.68552,98.1479,-10.8569,98.1479,-10.8569,98.1479,1379.72,2218,89.0625,89.0625,0.586129,0.399041,88.4615,0,11.5385,0,26,59.2857,53.1429,21.8571,7,7.6375,46.25,49.5,62.2128,114.938,115.265,143.672,115.265,143.672,115.265,874.298,1307.5,1,1,0.40962,0.288694,66.6667,0,11.1111,22.2222,9,47.5,53,34.375,8,accident
10.6439,47.2626,27.7277,117.151,-8.91803,49.2562,-5.09602,49.2562,-5.09602,49.2562,3904.58,863.5,40.3206,40.3206,0.34695,0.473214,70.3704,5.55556,11.1111,12.963,54,54.5748,44.8347,18.7884,85,1,12.3448,56.7273,52.1924,58.9754,5.74713,98,6.60589,98,6.60589,98,1453.1,366.5,70.8812,70.8812,0.785864,0.545962,69.2308,0,30.7692,0,39,61.3027,49.3333,20.3333,6,6.22989,32.7586,60.5,47.8978,1.14943,3.6,1.32118,3.6,1.32118,3.6,467.69,342,9.77011,9.77011,0.197457,0.539106,53.8462,0,0,46.1538,13,41.3793,54.6667,23,6,17.5287,51.7241,49.5,62.4001,32.6019,183,37.4734,183,37.4734,183,1641.83,2547,63.7931,63.7931,0.48292,0.514315,57.8947,5.26316,36.8421,0,38,52.1073,50.6667,12.3333,6,5.86207,48.8506,52.8299,54.4693,72.029,-23.6717,82.7919,-23.6717,82.7919,-23.6717,644.648,63.5,80.0766,80.0766,0.788689,0.41881,58.8235,17.6471,5.88235,17.6471,17,56.3218,46,27,8,accident
10.4725,49.4314,26.9204,111.264,-12.9954,49.0087,-7.1798,49.0087,-7.1798,49.0087,2604.88,3168,39.3627,39.3627,0.384146,0.328166,71.9298,12.2807,7.01754,8.77193,57,50.8833,47.1101,20.7174,81,1,11.2111,55.5556,50.5,58.9917,11.9088,98,13.232,98,13.232,98,1280.14,1788.5,82.7778,82.7778,0.829432,0.565709,79.4118,2.94118,17.6471,0,34,63.4343,52,14.6364,11,9.58889,42.7778,49.5,61.3045,1.11111,-5.54545,1.23457,-5.54545,1.23457,-5.54545,833.819,323.5,6.66667,6.66667,0.140664,0.477369,68,0,0,32,25,56,44.8,31.4,10,14.1222,58.3333,49,61.4924,-60,47.5714,-66.6667,47.5714,-66.6667,47.5714,1293.8,1579.5,80,80,0.598246,0.446706,66.6667,24.2424,3.0303,6.06061,33,57.7778,52,33.5,4,7.56667,41.6667,48.5,61.7012,1.11111,-11,1.23457,-11,1.23457,-11,726.931,166.5,0.555556,0.555556,0.550712,0.490166,16.6667,41.6667,25,16.6667,12,51.1111,46,31,4,accident
6.83974,46.2621,51.7231,82.6387,105.96,71.68,70.1724,71.68,70.1724,71.68,1302.42,921,98.0605,98.0605,0.470543,0.600113,10.7143,25,32.1429,32.1429,28,53.1969,43.8691,36.9309,55,0,3.26882,0,0,0,0,0,0,0,0,0,0,0,78,78,0,0,16.6667,0,83.3333,0,6,0,0,0,0,7.87097,33.3333,79.3444,37.9041,-0.787149,-29.619,-1.04953,-29.619,-1.04953,-29.619,368.175,351.5,8,8,0.114467,0.480898,33.3333,0,0,66.6667,6,63.2381,43.318,38.4793,7,8.64516,49.3333,150.884,37.1372,18.2373,82.7616,24.3164,82.7616,24.3164,82.7616,450.834,76.5,18.6667,18.6667,0.194815,0.923835,25,25,50,0,8,58.6667,32.2581,59.6774,2,9.31183,43.2608,79.6156,42.2873,-6.4127,170.664,-8.55026,170.664,-8.55026,170.664,737.706,1031.5,15.6667,15.6667,0.456915,0.381457,25,50,0,25,12,48,66.6667,58.0645,3,accident
9.23903,45.5661,67.2422,60.548,36.7811,-3.3846,33.1361,-3.3846,33.1361,-3.3846,1215.27,19,39.5072,39.5072,0.443675,0.615369,24,36,8,32,25,60.1201,45.6028,27.0567,30,0,10.058,66.3636,112.042,25.6533,87.7686,-104.12,159.579,-104.12,159.579,-104.12,364.093,72,78.1818,78.1818,0.790869,0.438874,16.6667,0,50,33.3333,6,80,25.5319,17.0213,1,6.0735,24.5455,133.545,20.5097,26.7449,203.712,48.627,203.712,48.627,203.712,161.522,29.5,0.909091,0.909091,0.211206,0.682849,0,0,0,100,4,53.3333,45.3901,48.227,6,11.2959,45.1223,130.795,29.0506,43.5616,-23.0481,79.203,-23.0481,79.203,-23.0481,283.167,328,27.2727,27.2727,0.180606,0.743085,57.1429,28.5714,14.2857,0,7,50.9091,42.5532,31.9149,1,10.4836,49.0909,124.491,27.3726,45.6566,-9.55686,83.0119,-9.55686,83.0119,-9.55686,401.273,389,98.1818,98.1818,0.691934,0.289766,0,50,16.6667,33.3333,6,50.9091,42.5532,31.9149,2,accident
10.6263,46.7306,72.0126,59.2241,41.9813,-9.31619,38.1648,-9.31619,38.1648,-9.31619,1387.57,560,72.001,72.001,0.318745,0.52738,36.8421,26.3158,21.0526,15.7895,19,56.9378,52.2807,28.8304,19,0,12.3636,66.3636,116.17,25.6375,96.3636,-119.506,175.207,-119.506,175.207,-119.506,406.299,57.5,81.8182,81.8182,0.773042,0.399226,50,0,50,0,8,80,26.6667,15.5556,1,6.86869,23.6364,130.864,21.0143,65.5411,287.36,119.166,287.36,119.166,287.36,168.108,39.5,0.909091,0.909091,0.213636,0.633138,40,0,0,60,5,60.6061,32.5926,60.7407,3,13.8586,48.1818,103.704,33.3798,-15.0097,229.262,-27.2903,229.262,-27.2903,229.262,560.925,58,23.6364,23.6364,0.438567,0.513692,18.1818,36.3636,45.4545,0,11,55.7576,62.2222,51.1111,3,9.85859,46.2085,135.628,27.3885,44.9923,-13.1408,81.8042,-13.1408,81.8042,-13.1408,410.966,73.5,86.0606,86.0606,0.679826,0.363451,0,37.5,0,62.5,8,80,62.2222,13.3333,1,accident
8.93417,44.7157,53.5273,73.1641,-9.64309,86.7672,-7.30537,86.7672,-7.30537,86.7672,1576.45,690.5,86.7679,86.7679,0.390961,0.504096,27.2727,27.2727,18.1818,27.2727,22,57.0076,50.3233,25.431,32,0,8.67294,66.6667,84.7206,32.7704,40.867,166.468,61.9197,166.468,61.9197,166.468,440.992,76,89.3939,89.3939,0.77337,0.490597,66.6667,0,33.3333,0,9,45.4545,37.931,36.2069,4,6.08673,25.7576,96.6112,29.2826,1.51515,15.8541,2.29568,15.8541,2.29568,15.8541,257.262,57.5,0.757576,0.757576,0.236111,0.584086,0,0,0,100,4,63.2035,44.335,49.0148,7,12.3041,46.9697,83.2342,41.5717,-20.1576,176.361,-30.5418,176.361,-30.5418,176.361,650.557,770.5,94.3182,94.3182,0.480173,0.30423,30.7692,30.7692,38.4615,0,13,72.7273,48.2759,28.4483,2,8.09822,46.9528,95.0198,31.9593,49.0349,-5.23933,74.2953,-5.23933,74.2953,-5.23933,422.581,59,82.5758,82.5758,0.468359,0.342838,22.2222,44.4444,0,33.3333,9,49.697,70.3448,48.2759,5,accident
10.5229,45.9089,64.0904,61.2177,47.2846,-8.82364,42.5987,-8.82364,42.5987,-8.82364,1488.19,1427,69.104,69.104,0.400231,0.585106,20,32,20,28,25,45.9934,49.5931,26.5871,19,0,10,70,101.997,27.5705,41.3986,199.653,75.2702,199.653,75.2702,199.653,350.371,155,94.5455,94.5455,0.574439,0.401742,33.3333,0,66.6667,0,6,36.3636,33.3333,45.8333,2,7.68939,26.3636,104.167,26.5862,1.81818,-34.7222,3.30578,-34.7222,3.30578,-34.7222,218.504,39,0.909091,0.909091,0.234983,0.46576,20,0,0,80,5,65.4545,41.6667,48.9583,2,13.6364,50,101.997,35.0276,-18.7742,203.055,-34.1349,203.055,-34.1349,203.055,699.427,207.5,7.27273,7.27273,0.539773,0.530184,25,50,25,0,8,50.9091,50,36.4583,2,11.4394,46.2377,122.395,28.4083,61.1189,-42.4012,111.125,-42.4012,111.125,-42.4012,320.78,236,92.7273,92.7273,0.722502,0.368109,0,28.5714,14.2857,57.1429,7,41.2121,47.2222,40.9722,3,accident
