%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Contours_size_0 NUMERIC
@ATTRIBUTE  Contours_size_1 NUMERIC
@ATTRIBUTE  Contours_size_2 NUMERIC
@ATTRIBUTE  Contours_size_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
20.5,43.6569,46.5142,35.7539,41.5,0,17.317,21.6213,24.5,153.841,32.3431,26.0968,19.5,153.154,52.5041,34.2387,accident
56.5,140.225,41.4202,21.9108,23.5,93.3553,19.1061,24.2758,215.5,217.64,34.5114,19.6752,14,131.497,24.8283,27.2221,accident
9.5,145.296,30.9971,15.535,20,150.61,11.5031,40.6772,72,140.569,46.7401,26.9439,9.5,102.77,26.8121,23.803,accident
14,135.882,43.3207,34.7689,24.5,35.5563,11.3856,35.0966,52.5,110.669,29.475,26.6495,14.5,103.012,46.0446,35.1882,accident
17,136.125,44.6489,29.2767,36,0,10.9608,23.0797,22,217.782,39.3929,29.1144,13.5,220.953,32.3621,34.4609,accident
4,57.799,30.5,13.125,20.5,85.9828,7.59865,31.5142,22,168.024,45.3369,33.1938,23,125.64,15.7014,35.3437,bomb
19.5,160.953,53.9512,37.5118,8.5,60.5269,10.3856,38.7222,9.5,90.1838,37.3528,31.146,18.5,141.296,16.1865,49.5081,bomb
13,84.4264,54.5641,17.8269,6.5,60.5269,3.97741,47.348,24,92.1838,44.5081,31.8628,24,146.024,13.8166,43.743,bomb
11,65.9411,56.0374,24.5825,7.5,50.0416,4.53333,45.125,16.5,96.1838,36.8397,31.6423,22.5,120.953,18.5554,48.0145,bomb
22.5,130.024,52.5582,25.6333,0,0,0,0,16.5,139.054,52.0354,26.14,27,123.196,9.04679,25.2333,bomb
31.5,115.924,37.3781,48.2853,4.5,157.698,47.037,44.5741,180,182.569,22.19,12.9309,21,201.924,26.6992,12.116,car
16.5,0,17.8135,50.7772,24,128.368,38.2907,50.0732,9.5,162.77,16.0684,7.82017,46.5,250.693,25.2298,8.08262,car
28.5,92.3675,48.5318,46.4341,1.5,62.4853,30.5185,32.8889,28,105.456,24.3093,8.26102,29,265.924,35.0337,17.5431,car
18.5,133.64,29.2701,53.7353,5.5,136.87,35.9966,57.47,19,157.054,27.6984,11.4999,20,175.296,31.6786,9.28467,car
29,139.338,32.2136,45.0885,7,157.74,42.0655,48.5595,85,373.12,26.3112,11.3983,174.5,250.451,38.0149,13.085,car
29.5,132.326,46.2074,41.1693,25,87.1543,27.8873,28.2729,80,276.759,55.5194,14.8465,63,134.066,12.1236,24.8636,casualty
10,25.5563,30.8708,21.2708,16.5,107.598,18.1587,42.6548,44,174.108,42.1995,21.129,27,93.196,8.34456,24.0787,casualty
14.5,117.154,48.0824,35.0861,18,80.5269,25.2694,34.9278,86,275.73,33.9667,11.6034,48,163.765,10.5204,20.0024,casualty
15.5,143.983,52.5267,10.192,11.5,29.4558,18.1,23.4444,104.5,292.316,49.4613,24.5157,45,159.764,13.9074,26.4169,casualty
22.5,140.468,44.3636,16.1951,20,0,16.0789,24.3092,91.5,225.706,41.0152,25.1715,35,157.823,13.9438,22.3787,casualty
15.5,139.64,51.0568,20.0084,0,0,0,0,34.5,207.037,44.5733,23.0965,30.5,115.154,12.0669,28.0766,electricity
18.5,157.296,36.2783,14.9915,1.5,59.2132,12.037,38.0741,11,73.598,30.3182,28.4924,16,100.083,8.66667,34.2848,electricity
3.5,138.083,48.2024,19.6905,3.5,54.3848,12.9206,61.5317,6,56.4853,41.6002,26.915,45,185.279,10.2993,23.4775,electricity
8.5,98.5269,55.65,26.701,15.5,99.1543,13.7363,51.4482,14,153.882,44.8597,43.4913,39,182.794,7.02137,19.0285,electricity
22.5,192.409,54.175,30.033,25.5,101.64,14.2995,53.4051,20,126.711,54.915,51.0065,41,156.794,8.19004,20.8486,electricity
12.5,114.326,16.0873,21.908,31,134.167,15.7542,28.9337,14.5,231.539,23.6195,26.6874,30.5,152.752,23.4497,10.7012,fire-brigade
7,144.527,34.1999,14.6508,67,57.1127,17.3802,30.1823,12.5,222.468,28.9211,22.5999,49,158.593,26.9262,25.0955,fire-brigade
13.5,181.397,27.4866,15.7606,43.5,63.4558,19.7336,31.1312,6.5,229.154,43.203,44.5919,78.5,266.032,26.3673,28.4119,fire-brigade
13.5,211.296,30.5215,24.3746,40.5,84.6274,20.9337,20.0263,12.5,232.953,25.5619,36.9514,50.5,180.35,36.9187,23.111,fire-brigade
15.5,170.083,38.0612,24.3819,31.5,149.581,13.1474,27.7322,21.5,227.581,33.9825,44.7231,42.5,200.35,36.0833,20.3663,fire-brigade
96,99.0538,41.2645,43.4544,41,93.8406,24.5682,32.8319,18.5,119.296,25.6295,22.6248,19.5,175.439,20.4469,22.2018,fire
19.5,97.9828,33.2196,21.6568,16,155.64,13.0513,30.6396,17.5,137.64,53.8763,50.573,12.5,121.012,23.2361,31.9352,fire
30,105.296,30.9212,36.8624,28,138.711,11.8153,28.6901,40.5,189.137,45.6838,18.8261,17,127.497,28.083,24.9919,fire
36.5,248.836,35.5926,35.5997,9,161.983,12.2809,27.4792,38,0,44.9428,32.5555,20.5,123.154,20.2316,24.3246,fire
19.5,97.6396,34.9217,39.2577,52.5,130.326,18.7472,20.7772,30,0,31.56,24.2036,9.5,0,37.6404,43.7719,fire
